Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,SCA,PassLive,PassDead,TO,Sh,Fld,Def,Match Report
1,Stoke City,2018-05-13,Swansea City,eng Premier League,W 2-1,2,1,+1,43,2,0,1,1,15,13,1,0,0,1,0,Match Report
2,Manchester City,2018-05-13,Southampton,eng Premier League,W 1-0,1,0,+1,69,1,0,0,0,26,18,4,1,2,1,0,Match Report
3,Swansea City,2018-05-13,Stoke City,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,39,21,4,3,8,3,0,Match Report
4,Huddersfield,2018-05-13,Arsenal,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,32,20,6,0,4,2,0,Match Report
5,Everton,2018-05-13,West Ham,eng Premier League,L 1-3,1,3,-2,43,1,0,0,0,23,16,2,2,2,0,1,Match Report
6,Brighton,2018-05-13,Liverpool,eng Premier League,L 0-4,0,4,-4,28,0,0,0,0,4,3,0,1,0,0,0,Match Report
7,Arsenal,2018-05-13,Huddersfield,eng Premier League,W 1-0,1,0,+1,55,1,0,0,0,16,9,2,3,1,1,0,Match Report
8,Chelsea,2018-05-13,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,10,9,0,1,0,0,0,Match Report
9,Newcastle Utd,2018-05-13,Chelsea,eng Premier League,W 3-0,3,0,+3,42,3,0,0,0,27,19,1,2,2,0,3,Match Report
10,Leicester City,2018-05-13,Tottenham,eng Premier League,L 4-5,4,5,-1,36,4,0,0,0,27,19,6,1,0,1,0,Match Report
11,Burnley,2018-05-13,Bournemouth,eng Premier League,L 1-2,1,2,-1,51,1,0,0,0,16,10,4,1,1,0,0,Match Report
12,Manchester Utd,2018-05-13,Watford,eng Premier League,W 1-0,1,0,+1,52,1,0,0,0,13,11,1,1,0,0,0,Match Report
13,Liverpool,2018-05-13,Brighton,eng Premier League,W 4-0,4,0,+4,72,4,0,0,0,36,30,1,2,2,0,1,Match Report
14,West Ham,2018-05-13,Everton,eng Premier League,W 3-1,3,1,+2,57,3,0,0,0,29,21,3,4,0,1,0,Match Report
15,West Brom,2018-05-13,Crystal Palace,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,14,12,0,0,0,1,1,Match Report
16,Watford,2018-05-13,Manchester Utd,eng Premier League,L 0-1,0,1,-1,48,0,0,0,0,12,9,1,0,1,1,0,Match Report
17,Bournemouth,2018-05-13,Burnley,eng Premier League,W 2-1,2,1,+1,49,2,0,0,0,27,18,4,0,3,1,1,Match Report
18,Crystal Palace,2018-05-13,West Brom,eng Premier League,W 2-0,2,0,+2,59,2,0,0,0,21,15,1,3,1,1,0,Match Report
