Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Manchester Utd,2021-05-23,Wolves,eng Premier League,W 2-1,2,1,+1,43,1,1,1,0,425,2176,966,20,21,2,21,4,400,32,Match Report
2,Brighton,2021-05-23,Arsenal,eng Premier League,L 0-2,0,2,-2,46,0,0,0,0,382,1951,981,9,11,1,17,11,437,23,Match Report
3,Southampton,2021-05-23,West Ham,eng Premier League,L 0-3,0,3,-3,62,0,0,0,0,432,2691,1337,29,22,4,18,9,457,37,Match Report
4,Fulham,2021-05-23,Newcastle Utd,eng Premier League,L 0-2,0,2,-2,64,0,0,0,0,565,2946,1804,41,23,7,11,8,562,53,Match Report
5,Aston Villa,2021-05-23,Chelsea,eng Premier League,W 2-1,2,1,+1,29,1,1,1,0,147,922,423,10,6,4,10,10,187,19,Match Report
6,Everton,2021-05-23,Manchester City,eng Premier League,L 0-5,0,5,-5,33,0,0,1,1,290,1664,751,18,11,2,7,3,286,18,Match Report
7,West Brom,2021-05-23,Leeds United,eng Premier League,L 1-3,1,3,-2,36,1,0,0,0,235,1124,610,11,6,1,20,14,208,29,Match Report
8,Wolves,2021-05-23,Manchester Utd,eng Premier League,L 1-2,1,2,-1,57,1,0,0,0,469,2172,984,15,19,5,14,3,529,51,Match Report
9,Manchester City,2021-05-23,Everton,eng Premier League,W 5-0,5,0,+5,67,5,0,0,0,578,2733,1470,25,19,8,12,9,682,45,Match Report
10,Liverpool,2021-05-23,Crystal Palace,eng Premier League,W 2-0,2,0,+2,69,2,0,0,0,449,2170,1140,26,19,9,24,13,530,60,Match Report
11,Chelsea,2021-05-23,Aston Villa,eng Premier League,L 1-2,1,2,-1,71,1,0,0,0,406,2323,1274,25,23,5,19,8,562,79,Match Report
12,Newcastle Utd,2021-05-23,Fulham,eng Premier League,W 2-0,2,0,+2,36,1,1,1,0,272,1434,687,10,12,3,11,7,291,14,Match Report
13,Leicester City,2021-05-23,Tottenham,eng Premier League,L 2-4,2,4,-2,47,0,2,2,0,322,1638,686,15,16,4,15,13,363,30,Match Report
14,Arsenal,2021-05-23,Brighton,eng Premier League,W 2-0,2,0,+2,54,2,0,0,0,477,2447,1285,21,10,9,13,7,525,57,Match Report
15,Tottenham,2021-05-23,Leicester City,eng Premier League,W 4-2,4,2,+2,53,3,0,0,0,434,2315,1011,20,16,5,20,15,427,37,Match Report
16,Burnley,2021-05-23,Sheffield Utd,eng Premier League,L 0-1,0,1,-1,57,0,0,0,0,312,1659,736,11,10,1,15,10,372,34,Match Report
17,Leeds United,2021-05-23,West Brom,eng Premier League,W 3-1,3,1,+2,64,2,1,1,0,318,2174,1392,34,15,1,18,3,435,44,Match Report
18,Crystal Palace,2021-05-23,Liverpool,eng Premier League,L 0-2,0,2,-2,31,0,0,0,0,178,928,519,8,4,2,15,9,179,12,Match Report
19,West Ham,2021-05-23,Southampton,eng Premier League,W 3-0,3,0,+3,38,3,0,0,0,227,1169,527,9,10,5,8,11,231,28,Match Report
20,Sheffield Utd,2021-05-23,Burnley,eng Premier League,W 1-0,1,0,+1,43,1,0,0,0,263,1620,838,20,14,4,15,10,264,23,Match Report
21,Arsenal,2021-05-19,Crystal Palace,eng Premier League,W 3-1,3,1,+2,68,3,0,0,0,537,2667,1218,14,11,2,18,13,550,55,Match Report
22,Tottenham,2021-05-19,Aston Villa,eng Premier League,L 1-2,1,2,-1,60,1,0,0,0,404,2458,1396,21,13,6,10,7,504,39,Match Report
23,Crystal Palace,2021-05-19,Arsenal,eng Premier League,L 1-3,1,3,-2,32,1,0,0,0,206,1179,603,13,10,4,17,5,205,25,Match Report
24,Aston Villa,2021-05-19,Tottenham,eng Premier League,W 2-1,2,1,+1,40,1,0,0,0,288,1837,1104,29,15,13,17,15,316,33,Match Report
25,Sheffield Utd,2021-05-19,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,353,2066,943,16,18,1,11,4,416,24,Match Report
26,West Brom,2021-05-19,West Ham,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,286,1634,851,21,18,4,15,10,280,30,Match Report
27,Wolves,2021-05-19,Everton,eng Premier League,L 0-1,0,1,-1,59,0,0,0,0,404,2268,1300,25,17,6,22,9,484,40,Match Report
