Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Brentford,2023-05-28,Manchester City,eng Premier League,W 1-0,1,0,+1,35,1,0,0,0,266,1075,531,16,7,6,10,9,269,13,Match Report
2,Wolves,2023-05-28,Arsenal,eng Premier League,L 0-5,0,5,-5,49,0,0,0,0,292,1752,865,13,7,3,10,9,400,22,Match Report
3,Brighton,2023-05-28,Aston Villa,eng Premier League,L 1-2,1,2,-1,59,1,0,0,0,298,1563,818,19,6,9,18,9,365,33,Match Report
4,Arsenal,2023-05-28,Wolves,eng Premier League,W 5-0,5,0,+5,51,5,0,0,0,341,1815,998,20,14,8,10,5,410,44,Match Report
5,Southampton,2023-05-28,Liverpool,eng Premier League,D 4-4,4,4,0,31,4,0,0,0,199,1273,715,21,9,6,13,7,225,14,Match Report
6,Fulham,2023-05-28,Manchester Utd,eng Premier League,L 1-2,1,2,-1,47,1,0,1,1,316,1978,1074,23,18,1,20,12,378,24,Match Report
7,Manchester Utd,2023-05-28,Fulham,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,310,1369,680,16,10,8,9,4,422,45,Match Report
8,Leicester City,2023-05-28,West Ham,eng Premier League,W 2-1,2,1,+1,48,2,0,0,0,439,2070,1025,17,12,8,11,8,492,34,Match Report
9,West Ham,2023-05-28,Leicester City,eng Premier League,L 1-2,1,2,-1,52,1,0,0,0,455,2316,1284,25,15,11,10,7,516,54,Match Report
10,Crystal Palace,2023-05-28,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,66,1,0,0,0,498,2694,1484,29,15,6,19,11,489,51,Match Report
11,Liverpool,2023-05-28,Southampton,eng Premier League,D 4-4,4,4,0,69,4,0,0,0,531,2580,1311,29,17,13,17,13,559,77,Match Report
12,Tottenham,2023-05-28,Leeds United,eng Premier League,W 4-1,4,1,+3,48,4,0,0,0,323,1914,886,18,15,4,16,9,359,28,Match Report
13,Chelsea,2023-05-28,Newcastle Utd,eng Premier League,D 1-1,1,1,0,64,0,0,0,0,549,2648,1567,36,19,7,10,5,551,54,Match Report
14,Bournemouth,2023-05-28,Everton,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,404,2047,1091,15,6,2,20,5,474,40,Match Report
15,Leeds United,2023-05-28,Tottenham,eng Premier League,L 1-4,1,4,-3,52,1,0,0,0,347,1739,864,21,19,1,17,19,374,57,Match Report
16,Everton,2023-05-28,Bournemouth,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,191,1225,718,18,15,5,11,6,248,31,Match Report
