Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Match Report
1,Liverpool,2019-05-12,Wolves,eng Premier League,W 2-0,2,0,+2,59,2,0,0,0,538,654,82.3,7,28,9,2,40,9185,3015,248,272,91.2,232,261,88.9,48,90,53.3,Match Report
2,Wolves,2019-05-12,Liverpool,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,344,457,75.3,7,27,6,0,36,6673,2890,156,180,86.7,112,146,76.7,62,99,62.6,Match Report
3,Arsenal,2019-05-12,Burnley,eng Premier League,W 3-1,3,1,+2,60,3,0,0,0,484,583,83.0,13,34,10,1,53,8407,2892,230,253,90.9,204,225,90.7,42,73,57.5,Match Report
4,Tottenham,2019-05-12,Everton,eng Premier League,D 2-2,2,2,0,55,2,0,0,0,474,585,81.0,7,20,7,0,34,8336,2663,208,231,90.0,203,239,84.9,52,79,65.8,Match Report
5,Burnley,2019-05-12,Arsenal,eng Premier League,L 1-3,1,3,-2,40,1,0,0,0,295,391,75.4,12,27,9,3,19,6011,2409,121,139,87.1,117,141,83.0,53,99,53.5,Match Report
6,Watford,2019-05-12,West Ham,eng Premier League,L 1-4,1,4,-3,49,1,0,0,0,361,467,77.3,11,28,8,2,43,6369,2766,174,197,88.3,133,161,82.6,39,69,56.5,Match Report
7,Southampton,2019-05-12,Huddersfield,eng Premier League,D 1-1,1,1,0,53,1,0,0,0,357,498,71.7,8,34,8,2,46,6139,2442,158,202,78.2,162,208,77.9,28,67,41.8,Match Report
8,Manchester Utd,2019-05-12,Cardiff City,eng Premier League,L 0-2,0,2,-2,73,0,0,0,0,552,664,83.1,22,62,12,1,69,8528,3281,289,318,90.9,194,225,86.2,42,69,60.9,Match Report
9,Chelsea,2019-05-12,Leicester City,eng Premier League,D 0-0,0,0,0,53,0,0,0,0,487,573,85.0,13,39,11,2,41,7930,2485,240,268,89.6,186,201,92.5,42,62,67.7,Match Report
10,Crystal Palace,2019-05-12,Bournemouth,eng Premier League,W 5-3,5,3,+2,46,4,0,0,0,362,467,77.5,14,28,8,0,46,5489,2217,217,239,90.8,110,130,84.6,27,70,38.6,Match Report
11,Bournemouth,2019-05-12,Crystal Palace,eng Premier League,L 3-5,3,5,-2,54,3,0,0,0,448,558,80.3,15,46,6,0,59,7784,2589,229,265,86.4,177,205,86.3,39,71,54.9,Match Report
12,Manchester City,2019-05-12,Brighton,eng Premier League,W 4-1,4,1,+3,75,4,0,0,0,755,834,90.5,15,48,19,0,62,10523,2850,434,456,95.2,239,268,89.2,33,50,66.0,Match Report
13,Everton,2019-05-12,Tottenham,eng Premier League,D 2-2,2,2,0,45,2,0,0,0,382,478,79.9,11,17,8,3,31,6579,2443,171,200,85.5,155,169,91.7,36,69,52.2,Match Report
14,Leicester City,2019-05-12,Chelsea,eng Premier League,D 0-0,0,0,0,47,0,0,0,0,423,499,84.8,6,24,3,0,32,7719,2445,167,181,92.3,212,232,91.4,37,63,58.7,Match Report
15,Newcastle Utd,2019-05-12,Fulham,eng Premier League,W 4-0,4,0,+4,33,4,0,0,0,306,391,78.3,9,14,7,1,25,5488,2214,137,157,87.3,110,125,88.0,41,74,55.4,Match Report
16,Huddersfield,2019-05-12,Southampton,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,285,437,65.2,6,19,3,1,27,4611,1770,165,206,80.1,73,108,67.6,34,89,38.2,Match Report
17,West Ham,2019-05-12,Watford,eng Premier League,W 4-1,4,1,+3,51,3,1,1,0,426,492,86.6,9,25,7,1,32,7086,2698,219,234,93.6,139,157,88.5,44,67,65.7,Match Report
18,Fulham,2019-05-12,Newcastle Utd,eng Premier League,L 0-4,0,4,-4,67,0,0,0,0,711,812,87.6,9,57,14,2,76,11963,3830,347,373,93.0,306,337,90.8,45,77,58.4,Match Report
19,Brighton,2019-05-12,Manchester City,eng Premier League,L 1-4,1,4,-3,25,1,0,0,0,192,272,70.6,4,14,1,1,9,3663,1605,94,110,85.5,65,86,75.6,28,64,43.8,Match Report
20,Cardiff City,2019-05-12,Manchester Utd,eng Premier League,W 2-0,2,0,+2,27,1,1,1,0,142,251,56.6,8,13,3,0,16,2870,1800,51,65,78.5,50,77,64.9,28,83,33.7,Match Report
21,Manchester City,2019-05-06,Leicester City,eng Premier League,W 1-0,1,0,+1,61,1,0,0,0,577,688,83.9,10,72,13,0,81,10357,2821,243,282,86.2,277,306,90.5,54,81,66.7,Match Report
22,Leicester City,2019-05-06,Manchester City,eng Premier League,L 0-1,0,1,-1,39,0,0,0,0,347,435,79.8,4,10,2,0,16,6716,2462,143,162,88.3,145,173,83.8,46,79,58.2,Match Report
23,Brighton,2019-05-05,Arsenal,eng Premier League,D 1-1,1,1,0,30,0,1,1,0,189,277,68.2,8,10,6,1,20,3667,1770,86,100,86.0,69,94,73.4,29,63,46.0,Match Report
24,Manchester Utd,2019-05-05,Huddersfield,eng Premier League,D 1-1,1,1,0,64,1,0,0,0,545,650,83.8,17,49,14,1,68,9096,3177,249,277,89.9,232,268,86.6,39,63,61.9,Match Report
25,Arsenal,2019-05-05,Brighton,eng Premier League,D 1-1,1,1,0,70,0,1,1,0,523,636,82.2,12,38,18,2,77,8508,2638,262,298,87.9,215,238,90.3,34,64,53.1,Match Report
26,Watford,2019-05-05,Chelsea,eng Premier League,L 0-3,0,3,-3,42,0,0,0,0,308,420,73.3,11,26,16,4,35,4859,2192,166,196,84.7,92,114,80.7,29,69,42.0,Match Report
27,Huddersfield,2019-05-05,Manchester Utd,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,257,373,68.9,6,20,6,0,25,4249,2100,138,168,82.1,83,114,72.8,24,64,37.5,Match Report
28,Chelsea,2019-05-05,Watford,eng Premier League,W 3-0,3,0,+3,58,3,0,0,0,471,572,82.3,16,26,14,2,55,7023,2729,266,296,89.9,147,172,85.5,29,58,50.0,Match Report
29,Fulham,2019-05-04,Wolves,eng Premier League,L 0-1,0,1,-1,60,0,0,0,0,536,628,85.4,4,23,1,0,30,9798,3286,222,240,92.5,262,294,89.1,44,77,57.1,Match Report
30,Newcastle Utd,2019-05-04,Liverpool,eng Premier League,L 2-3,2,3,-1,31,2,0,0,0,225,335,67.2,9,20,7,4,14,4151,1892,100,130,76.9,76,95,80.0,32,77,41.6,Match Report
31,Southampton,2019-05-04,West Ham,eng Premier League,L 0-3,0,3,-3,44,0,0,0,0,318,435,73.1,9,29,11,1,49,5503,2185,163,187,87.2,119,156,76.3,30,69,43.5,Match Report
32,Crystal Palace,2019-05-04,Cardiff City,eng Premier League,W 3-2,3,2,+1,60,3,0,0,0,364,486,74.9,15,25,11,3,53,5233,2443,197,226,87.2,111,139,79.9,22,62,35.5,Match Report
33,Tottenham,2019-05-04,Bournemouth,eng Premier League,L 0-1,0,1,-1,47,0,0,0,0,341,441,77.3,8,26,8,2,32,5925,2231,146,169,86.4,139,163,85.3,36,73,49.3,Match Report
34,Cardiff City,2019-05-04,Crystal Palace,eng Premier League,L 2-3,2,3,-1,40,1,0,0,0,193,323,59.8,16,20,7,2,25,3824,2163,89,124,71.8,44,72,61.1,46,89,51.7,Match Report
35,Wolves,2019-05-04,Fulham,eng Premier League,W 1-0,1,0,+1,40,1,0,0,0,306,416,73.6,12,25,7,2,34,5317,2058,140,173,80.9,115,145,79.3,33,67,49.3,Match Report
36,Bournemouth,2019-05-04,Tottenham,eng Premier League,W 1-0,1,0,+1,53,1,0,0,0,401,502,79.9,17,37,15,6,54,7242,2527,168,193,87.0,168,192,87.5,50,82,61.0,Match Report
37,Liverpool,2019-05-04,Newcastle Utd,eng Premier League,W 3-2,3,2,+1,69,3,0,0,0,605,730,82.9,11,29,13,3,49,11048,3270,253,282,89.7,276,311,88.7,66,106,62.3,Match Report
38,West Ham,2019-05-04,Southampton,eng Premier League,W 3-0,3,0,+3,56,3,0,0,0,437,552,79.2,11,31,7,0,41,6753,2531,276,306,90.2,107,139,77.0,42,76,55.3,Match Report
39,Burnley,2019-05-03,Everton,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,295,413,71.4,4,29,10,3,39,5504,2592,152,177,85.9,91,125,72.8,49,90,54.4,Match Report
40,Everton,2019-05-03,Burnley,eng Premier League,W 2-0,2,0,+2,59,1,0,0,0,484,599,80.8,11,36,8,3,47,8077,2619,237,265,89.4,173,205,84.4,49,90,54.4,Match Report
41,Manchester City,2019-04-28,Burnley,eng Premier League,W 1-0,1,0,+1,69,1,0,0,0,554,663,83.6,19,41,13,4,59,8962,2495,289,314,92.0,208,245,84.9,46,77,59.7,Match Report
42,Leicester City,2019-04-28,Arsenal,eng Premier League,W 3-0,3,0,+3,66,3,0,0,0,538,656,82.0,19,47,13,2,65,9772,3511,221,254,87.0,244,278,87.8,60,88,68.2,Match Report
43,Arsenal,2019-04-28,Leicester City,eng Premier League,L 0-3,0,3,-3,34,0,0,0,0,211,332,63.6,6,18,5,1,25,3906,1948,97,116,83.6,77,104,74.0,29,83,34.9,Match Report
44,Manchester Utd,2019-04-28,Chelsea,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,421,515,81.7,4,28,5,0,31,7260,2474,182,203,89.7,185,205,90.2,37,66,56.1,Match Report
45,Burnley,2019-04-28,Manchester City,eng Premier League,L 0-1,0,1,-1,31,0,0,0,0,178,304,58.6,2,16,4,1,19,3380,1693,85,112,75.9,51,71,71.8,32,90,35.6,Match Report
46,Chelsea,2019-04-28,Manchester Utd,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,388,470,82.6,11,22,10,2,43,6222,2198,212,237,89.5,123,139,88.5,38,61,62.3,Match Report
47,Newcastle Utd,2019-04-27,Brighton,eng Premier League,D 1-1,1,1,0,50,1,0,0,0,415,518,80.1,8,23,5,0,26,6711,1982,206,227,90.7,148,171,86.5,40,91,44.0,Match Report
48,Watford,2019-04-27,Wolves,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,439,548,80.1,8,26,6,3,37,7450,2592,209,235,88.9,163,191,85.3,51,77,66.2,Match Report
49,Crystal Palace,2019-04-27,Everton,eng Premier League,D 0-0,0,0,0,37,0,0,0,0,216,349,61.9,4,15,4,0,24,3765,1925,119,152,78.3,69,100,69.0,25,64,39.1,Match Report
50,Tottenham,2019-04-27,West Ham,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,537,667,80.5,11,32,8,0,51,8558,3058,270,304,88.8,218,254,85.8,34,67,50.7,Match Report
51,Fulham,2019-04-27,Cardiff City,eng Premier League,W 1-0,1,0,+1,71,1,0,0,0,568,667,85.2,7,35,9,1,51,9780,3537,253,271,93.4,271,305,88.9,35,69,50.7,Match Report
52,Southampton,2019-04-27,Bournemouth,eng Premier League,D 3-3,3,3,0,44,3,0,0,0,280,398,70.4,13,32,9,3,35,5042,2110,131,160,81.9,110,144,76.4,32,77,41.6,Match Report
53,Everton,2019-04-27,Crystal Palace,eng Premier League,D 0-0,0,0,0,63,0,0,0,0,460,602,76.4,13,43,12,2,69,8639,3359,202,250,80.8,191,224,85.3,59,91,64.8,Match Report
54,West Ham,2019-04-27,Tottenham,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,280,402,69.7,12,29,4,0,36,4875,2115,143,166,86.1,91,113,80.5,34,89,38.2,Match Report
55,Bournemouth,2019-04-27,Southampton,eng Premier League,D 3-3,3,3,0,56,3,0,0,0,378,498,75.9,7,21,7,2,23,6214,2353,205,238,86.1,134,171,78.4,30,65,46.2,Match Report
