Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Bournemouth,2020-07-26,Everton,eng Premier League,W 3-1,3,1,+2,31,2,1,1,0,216,329,65.7,9,21,7,4,24,3522,1982,93,120,77.5,58,81,71.6,29,64,45.3,18,13,5,11,2,9,23,39.1,14,16,3,13,13,31,15,0,1.5,0.8,-0.2,-1.0,0.6,1.0,+1.5,+1.2,+1.4,0.06,12,0.17,0.33,6,50.0,19.4,1,1.3,0.26,+0.3,468,51,150,168,152,26,467,200,1117,566,18,9,4,13,16,214,24,Match Report
2,Bournemouth,2020-07-19,Southampton,eng Premier League,L 0-2,0,2,-2,44,0,0,0,0,199,354,56.2,8,30,12,3,40,4234,2347,77,117,65.8,78,123,63.4,41,92,44.6,17,7,4,11,2,6,16,37.5,10,22,4,18,11,28,11,0,0.5,0.5,-1.9,-1.2,0.4,1.0,-0.5,-0.5,-0.4,0.05,11,0.00,0.00,3,27.3,16.8,0,3.1,0.32,+1.1,467,47,129,205,136,25,467,191,861,412,8,9,1,14,17,194,40,Match Report
3,Bournemouth,2020-07-15,Manchester City,eng Premier League,L 1-2,1,2,-1,29,1,0,0,0,200,318,62.9,9,23,12,3,36,3451,1727,104,139,74.8,64,90,71.1,22,62,35.5,9,6,7,2,0,2,14,14.3,12,4,0,4,12,21,12,0,1.6,1.6,+0.9,+0.9,1.3,1.2,-0.6,-0.6,-0.3,0.11,15,0.07,0.33,3,20.0,15.3,1,1.0,0.24,-1.0,403,30,117,155,137,34,403,191,989,460,12,7,2,8,7,198,35,Match Report
4,Bournemouth,2020-07-12,Leicester City,eng Premier League,W 4-1,4,1,+3,44,2,1,1,0,336,475,70.7,6,33,4,3,38,6146,2618,151,188,80.3,143,175,81.7,36,82,43.9,6,6,1,5,0,1,6,16.7,5,11,5,6,11,17,25,2,2.5,1.7,+1.0,+0.2,0.6,0.6,+0.5,+0.3,+0.4,0.21,8,0.25,0.67,3,37.5,17.5,0,1.4,0.27,+0.4,570,63,178,255,131,18,569,298,1728,787,16,8,4,16,11,334,37,Match Report
5,Bournemouth,2020-07-09,Tottenham,eng Premier League,D 0-0,0,0,0,37,0,0,0,0,204,317,64.4,8,19,5,2,23,3347,1441,104,121,86.0,67,93,72.0,21,62,33.9,15,11,6,5,4,7,11,63.6,4,13,5,8,12,27,28,0,1.4,1.4,+0.9,+0.9,1.4,0.9,-1.4,-1.4,-1.4,0.16,9,0.00,0.00,2,22.2,12.4,0,0.0,,0.0,438,58,170,140,131,21,438,203,991,469,8,7,2,12,14,203,23,Match Report
6,Bournemouth,2020-07-04,Manchester Utd,eng Premier League,L 2-5,2,5,-3,32,1,1,1,0,232,317,73.2,3,19,0,0,13,4006,1858,114,133,85.7,80,100,80.0,28,61,45.9,10,4,7,2,1,2,13,15.4,11,9,5,4,11,21,19,0,1.8,1.0,-0.7,-0.7,0.6,0.2,+0.2,0.0,+0.4,0.18,6,0.17,0.50,2,33.3,17.9,0,5.0,0.41,0.0,424,82,182,144,101,11,423,193,1089,470,9,8,2,14,8,226,13,Match Report
7,Bournemouth,2020-07-01,Newcastle Utd,eng Premier League,L 1-4,1,4,-3,55,1,0,0,0,441,541,81.5,10,37,6,1,40,7960,2595,183,203,90.1,206,236,87.3,44,82,53.7,16,8,6,9,1,9,19,47.4,10,3,1,2,8,24,7,0,1.6,1.6,-0.3,-0.3,1.5,0.9,-0.6,-0.6,-0.5,0.14,12,0.08,1.00,1,8.3,17.4,1,3.4,0.48,-0.6,630,49,196,255,132,25,630,376,2076,1047,19,12,3,15,8,439,38,Match Report
8,Bournemouth,2020-06-24,Wolves,eng Premier League,L 0-1,0,1,-1,46,0,0,0,0,291,396,73.5,3,22,3,1,20,5149,1951,137,154,89.0,110,132,83.3,34,74,45.9,17,12,11,5,1,6,14,42.9,8,10,1,9,6,23,17,0,0.1,0.1,-1.5,-1.5,0.1,0.1,-0.1,-0.1,-0.1,0.03,4,0.00,,0,0.0,24.9,0,0.4,0.18,-0.6,489,58,151,237,108,7,489,250,1492,661,13,10,1,14,5,287,20,Match Report
9,Bournemouth,2020-06-20,Crystal Palace,eng Premier League,L 0-2,0,2,-2,58,0,0,0,0,437,534,81.8,11,35,7,1,46,7294,2458,203,228,89.0,189,214,88.3,29,49,59.2,18,10,13,1,4,5,14,35.7,9,11,1,10,7,25,10,0,0.5,0.5,-0.3,-0.3,0.4,0.5,-0.5,-0.5,-0.4,0.04,12,0.00,0.00,1,8.3,19.7,1,1.3,0.66,-0.7,639,31,133,255,204,23,639,445,2421,1247,25,19,5,17,9,435,46,Match Report
10,Bournemouth,2020-03-07,Liverpool,eng Premier League,L 1-2,1,2,-1,26,1,0,0,0,162,282,57.4,6,12,3,1,13,2767,1386,91,123,74.0,38,70,54.3,23,64,35.9,9,6,6,3,0,6,20,30.0,14,17,4,13,13,22,45,1,1.4,1.4,-0.4,-0.4,1.4,0.9,-0.4,-0.4,-0.4,0.23,6,0.17,0.33,3,50.0,15.6,0,2.4,0.41,+0.4,397,77,180,128,92,12,397,187,1031,567,12,8,3,8,4,162,13,Match Report
11,Bournemouth,2020-02-29,Chelsea,eng Premier League,D 2-2,2,2,0,27,2,0,0,0,226,332,68.1,9,15,7,3,21,4148,1965,112,146,76.7,77,100,77.0,33,63,52.4,8,4,1,7,0,1,12,8.3,11,10,5,5,12,20,55,0,1.4,1.4,-0.6,-0.6,1.4,1.0,+0.6,+0.6,+0.6,0.15,9,0.22,0.40,5,55.6,9.6,0,1.5,0.25,-0.5,483,98,188,210,88,14,483,242,1211,522,9,8,2,18,12,223,20,Match Report
