Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Norwich City,2020-07-26,Manchester City,eng Premier League,L 0-5,0,5,-5,27,0,0,0,0,209,292,71.6,4,9,1,0,12,3669,1663,106,125,84.8,71,84,84.5,25,63,39.7,14,5,7,7,0,5,24,20.8,19,15,10,5,14,28,27,2,1.0,1.0,-2.2,-2.2,1.0,0.3,-1.0,-1.0,-1.0,0.20,5,0.00,0.00,4,80.0,19.8,0,3.7,0.41,-1.3,390,118,221,130,40,8,390,187,924,475,8,3,4,10,10,209,12,Match Report
2,Norwich City,2020-07-18,Burnley,eng Premier League,L 0-2,0,2,-2,42,0,0,0,0,290,386,75.1,4,13,0,0,11,5195,1989,129,145,89.0,105,118,89.0,42,93,45.2,6,4,5,1,0,1,5,20.0,4,10,8,2,8,14,30,1,0.3,0.3,-1.5,-1.5,0.2,0.1,-0.3,-0.3,-0.2,0.05,6,0.00,0.00,2,33.3,13.4,0,1.5,0.19,+0.5,482,112,238,195,54,7,482,296,1576,689,10,8,2,12,7,286,11,Match Report
3,Norwich City,2020-07-14,Chelsea,eng Premier League,L 0-1,0,1,-1,33,0,0,0,0,305,401,76.1,2,11,0,0,20,5110,2031,154,179,86.0,112,132,84.8,29,67,43.3,15,12,8,6,1,6,18,33.3,12,13,4,9,13,28,25,2,0.1,0.1,-2.4,-2.4,0.1,0.1,-0.1,-0.1,-0.1,0.03,2,0.00,,0,0.0,20.6,0,1.7,0.28,+0.7,506,101,255,208,47,3,506,249,1388,671,12,9,2,24,6,305,20,Match Report
4,Norwich City,2020-07-11,West Ham,eng Premier League,L 0-4,0,4,-4,53,0,0,0,0,491,573,85.7,9,24,4,2,40,8417,2768,237,258,91.9,199,215,92.6,43,73,58.9,16,5,9,5,2,10,23,43.5,13,8,0,8,16,32,17,0,0.6,0.6,-2.9,-2.9,0.6,0.8,-0.6,-0.6,-0.6,0.06,11,0.00,0.00,2,18.2,19.8,1,2.7,0.46,-1.3,675,77,255,255,103,13,675,442,2507,1283,20,12,3,15,8,484,40,Match Report
5,Norwich City,2020-07-07,Watford,eng Premier League,L 1-2,1,2,-1,56,1,0,0,0,440,538,81.8,7,31,7,1,49,7486,2588,211,247,85.4,179,205,87.3,37,61,60.7,19,7,13,3,3,5,10,50.0,5,8,0,8,11,30,32,0,1.2,1.2,+0.1,+0.1,1.1,0.4,-0.2,-0.2,-0.1,0.11,12,0.08,0.33,3,25.0,16.9,1,1.8,0.44,-0.2,668,70,255,255,139,12,668,460,2487,1289,16,15,1,13,10,434,48,Match Report
6,Norwich City,2020-07-04,Brighton,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,540,641,84.2,11,42,8,1,48,9069,2867,256,277,92.4,223,250,89.2,38,62,61.3,14,10,9,3,2,9,15,60.0,6,11,3,8,3,17,21,0,0.6,0.6,-0.4,-0.4,0.6,0.6,-0.6,-0.6,-0.6,0.05,12,0.00,0.00,1,8.3,18.4,0,1.0,0.49,0.0,734,57,251,255,155,17,734,472,2505,1382,28,14,5,14,9,529,47,Match Report
7,Norwich City,2020-07-01,Arsenal,eng Premier League,L 0-4,0,4,-4,49,0,0,0,0,377,477,79.0,6,18,1,0,16,6282,2028,174,198,87.9,161,183,88.0,31,66,47.0,19,15,10,8,1,5,12,41.7,7,10,1,9,4,23,20,2,0.3,0.3,-1.2,-1.2,0.2,0.2,-0.3,-0.3,-0.2,0.03,8,0.00,0.00,2,25.0,30.7,1,2.5,0.31,-1.5,566,101,246,222,102,4,566,318,1697,851,9,14,1,14,9,372,16,Match Report
8,Norwich City,2020-06-24,Everton,eng Premier League,L 0-1,0,1,-1,47,0,0,0,0,371,479,77.5,6,24,5,2,27,6188,2137,175,198,88.4,144,171,84.2,36,83,43.4,15,5,7,5,3,5,16,31.3,11,15,4,11,9,24,23,0,0.4,0.4,-0.4,-0.4,0.3,0.2,-0.4,-0.4,-0.3,0.05,9,0.00,0.00,1,11.1,23.7,1,1.2,0.24,+0.2,591,58,181,255,100,15,591,294,1739,884,20,10,5,9,11,368,27,Match Report
9,Norwich City,2020-06-19,Southampton,eng Premier League,L 0-3,0,3,-3,54,0,0,0,0,312,451,69.2,8,19,1,0,21,5369,1933,139,170,81.8,127,165,77.0,30,79,38.0,19,10,9,10,0,12,30,40.0,18,16,8,8,5,24,18,0,0.6,0.6,-1.1,-1.1,0.6,0.4,-0.6,-0.6,-0.6,0.07,9,0.00,0.00,1,11.1,19.3,0,1.9,0.23,-1.1,567,78,248,219,105,12,567,299,1481,764,18,6,6,13,12,308,21,Match Report
10,Norwich City,2020-03-07,Sheffield Utd,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,465,585,79.5,7,18,5,2,24,8078,2707,226,251,90.0,173,201,86.1,53,98,54.1,18,11,12,5,1,8,20,40.0,12,6,3,3,8,26,29,0,2.4,2.4,+1.5,+1.5,0.9,1.0,-2.4,-2.4,-0.9,0.25,12,0.00,0.00,4,33.3,14.8,0,0.5,0.17,-0.5,699,92,255,255,112,16,699,419,2219,1133,24,15,2,21,13,459,24,Match Report
