Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Sheffield Utd,2020-07-26,Southampton,eng Premier League,L 1-3,1,3,-2,28,1,0,0,0,177,287,61.7,5,17,2,2,18,3538,1625,70,97,72.2,80,106,75.5,25,70,35.7,12,9,6,5,1,6,21,28.6,15,11,6,5,11,23,36,0,1.4,1.4,-0.2,+0.6,1.4,0.3,-0.4,-0.4,-0.4,0.29,5,0.20,0.33,3,60.0,11.6,0,1.8,0.21,-1.2,395,74,190,143,65,13,395,146,829,302,6,3,4,8,6,176,18,Match Report
2,Sheffield Utd,2020-07-20,Everton,eng Premier League,L 0-1,0,1,-1,51,0,0,0,0,401,532,75.4,6,39,12,4,45,7171,2433,179,205,87.3,155,186,83.3,53,102,52.0,17,11,6,8,3,9,16,56.3,7,7,0,7,10,27,11,0,0.5,0.5,+0.2,+0.2,0.4,0.9,-0.5,-0.5,-0.4,0.07,8,0.00,,0,0.0,13.4,0,0.3,0.13,-0.7,614,31,131,255,200,20,614,311,1494,690,9,9,0,13,5,398,45,Match Report
3,Sheffield Utd,2020-07-16,Leicester City,eng Premier League,L 0-2,0,2,-2,46,0,0,0,0,331,452,73.2,4,25,3,0,32,6096,2268,153,189,81.0,121,144,84.0,44,86,51.2,10,6,3,7,0,4,11,36.4,7,8,4,4,11,21,29,0,0.7,0.7,-1.9,-1.9,0.7,0.3,-0.7,-0.7,-0.7,0.15,5,0.00,0.00,1,20.0,13.3,0,2.3,0.34,+0.3,549,47,144,255,139,12,549,275,1308,608,14,7,1,18,14,328,32,Match Report
4,Sheffield Utd,2020-07-11,Chelsea,eng Premier League,W 3-0,3,0,+3,24,3,0,0,0,174,282,61.7,6,18,8,4,20,3053,1440,95,114,83.3,52,84,61.9,21,65,32.3,7,3,3,2,2,2,8,25.0,6,8,4,4,11,18,37,0,2.3,2.3,+1.2,+1.2,1.0,0.7,+0.7,+0.7,0.0,0.27,9,0.33,0.75,4,44.4,10.6,0,0.9,0.23,+0.9,380,71,160,97,129,18,380,146,871,413,6,8,3,6,5,170,19,Match Report
5,Sheffield Utd,2020-07-08,Wolves,eng Premier League,W 1-0,1,0,+1,44,1,0,0,0,309,456,67.8,6,33,9,3,46,5457,2134,145,182,79.7,109,150,72.7,37,83,44.6,16,8,9,6,1,9,23,39.1,14,5,0,5,5,21,18,0,0.5,0.5,+0.1,+0.1,0.4,0.7,+0.5,+0.5,+0.6,0.08,7,0.14,0.33,3,42.9,12.9,0,0.2,0.23,+0.2,537,39,106,253,185,27,537,275,1613,831,16,11,4,7,5,306,46,Match Report
6,Sheffield Utd,2020-07-05,Burnley,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,343,502,68.3,9,23,8,3,30,5856,2129,168,198,84.8,126,167,75.4,32,90,35.6,12,8,4,6,2,4,9,44.4,5,4,0,4,9,21,20,0,1.1,1.1,-0.2,-0.2,1.0,1.0,-0.1,-0.1,0.0,0.11,10,0.10,0.33,3,30.0,14.7,0,1.0,0.25,0.0,595,54,175,241,181,19,595,262,1408,733,13,7,1,14,7,339,30,Match Report
7,Sheffield Utd,2020-07-02,Tottenham,eng Premier League,W 3-1,3,1,+2,33,3,0,0,0,225,344,65.4,7,16,5,2,20,4835,2328,94,123,76.4,85,117,72.6,42,86,48.8,18,12,10,7,1,3,12,25.0,9,14,2,12,16,34,28,0,1.6,1.6,+0.5,+0.5,1.6,1.3,+1.4,+1.4,+1.4,0.23,7,0.43,0.60,5,71.4,13.1,0,1.0,0.52,0.0,453,78,170,163,127,20,453,227,1286,587,13,13,4,13,9,224,20,Match Report
8,Sheffield Utd,2020-06-24,Manchester Utd,eng Premier League,L 0-3,0,3,-3,32,0,0,0,0,288,365,78.9,4,19,4,1,26,4975,1821,145,156,92.9,104,123,84.6,27,65,41.5,15,5,9,4,2,8,24,33.3,16,11,4,7,15,30,20,0,0.1,0.1,-2.3,-2.3,0.1,0.2,-0.1,-0.1,-0.1,0.03,4,0.00,0.00,1,25.0,24.6,0,1.9,0.32,-1.1,461,61,174,188,103,6,461,233,1187,574,12,14,2,7,5,283,26,Match Report
9,Sheffield Utd,2020-06-21,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,54,0,0,0,0,452,559,80.9,7,44,6,4,46,8237,2780,202,226,89.4,194,219,88.6,49,90,54.4,16,9,6,9,1,7,16,43.8,9,11,2,9,4,20,12,1,0.6,0.6,-1.4,-1.4,0.6,1.0,-0.6,-0.6,-0.6,0.09,7,0.00,0.00,1,14.3,13.8,0,2.7,0.34,-0.3,637,47,149,255,162,12,637,454,2006,1012,14,17,1,13,3,448,46,Match Report
10,Sheffield Utd,2020-06-17,Aston Villa,eng Premier League,D 0-0,0,0,0,54,0,0,0,0,412,528,78.0,3,34,2,1,33,7858,2642,172,192,89.6,185,217,85.3,48,97,49.5,18,13,9,5,4,6,17,35.3,11,9,3,6,6,24,19,0,0.3,0.3,-1.0,-1.0,0.3,0.5,-0.3,-0.3,-0.3,0.07,5,0.00,0.00,1,20.0,15.6,0,0.8,0.14,+0.8,619,52,156,255,174,11,619,416,1721,835,10,16,4,15,4,409,33,Match Report
