Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Aston Villa,2021-05-23,Chelsea,eng Premier League,W 2-1,2,1,+1,29,1,1,1,0,187,272,68.8,4,18,4,0,19,3895,1936,71,96,74.0,85,99,85.9,30,61,49.2,14,11,7,4,3,6,9,66.7,3,15,5,10,7,21,38,0,1.1,0.3,-2.2,-3.0,0.2,0.4,+0.9,+0.7,+0.8,0.05,5,0.20,0.50,2,40.0,21.4,0,2.0,0.29,+1.0,394,89,195,140,68,17,393,147,922,423,10,6,4,10,10,187,19,Match Report
2,Aston Villa,2021-05-19,Tottenham,eng Premier League,W 2-1,2,1,+1,40,1,0,0,0,320,404,79.2,16,38,11,1,34,5368,2340,166,182,91.2,109,125,87.2,30,63,47.6,18,9,6,7,5,11,22,50.0,11,16,4,12,11,29,16,1,1.4,1.4,+0.6,+0.6,1.3,0.7,-0.4,-0.4,-0.3,0.07,20,0.05,0.25,4,20.0,17.0,0,0.8,0.20,-0.2,518,67,158,205,166,34,518,288,1837,1104,29,15,13,17,15,316,33,Match Report
3,Aston Villa,2021-05-16,Crystal Palace,eng Premier League,L 2-3,2,3,-1,55,2,0,0,0,344,449,76.6,12,37,15,2,44,6815,3060,152,176,86.4,116,142,81.7,62,94,66.0,13,7,6,5,2,3,14,21.4,11,19,12,7,8,21,30,0,1.4,1.4,-0.5,-0.5,1.0,1.3,+0.6,+0.6,0.0,0.07,19,0.11,0.40,5,26.3,17.9,2,1.8,0.23,-1.2,584,77,198,205,185,27,584,347,1597,597,7,9,1,24,8,341,43,Match Report
4,Aston Villa,2021-05-13,Everton,eng Premier League,D 0-0,0,0,0,58,0,0,0,0,450,548,82.1,11,21,6,2,39,8087,2758,198,225,88.0,191,219,87.2,52,82,63.4,7,5,4,2,1,2,8,25.0,6,6,1,5,6,13,17,0,0.6,0.6,-0.4,-0.4,0.5,0.9,-0.6,-0.6,-0.5,0.05,13,0.00,0.00,2,15.4,19.2,1,0.5,0.10,+0.5,632,71,206,255,135,18,632,368,2136,1158,23,22,4,12,5,447,38,Match Report
5,Aston Villa,2021-05-09,Manchester Utd,eng Premier League,L 1-3,1,3,-2,41,1,0,0,0,326,421,77.4,7,20,8,2,28,5718,2260,142,156,91.0,147,174,84.5,28,71,39.4,14,5,11,1,2,8,17,47.1,9,18,7,11,10,24,20,0,0.5,0.5,-1.2,-0.4,0.3,0.4,+0.5,+0.5,-0.3,0.05,11,0.09,0.20,5,45.5,20.5,0,2.3,0.19,-0.7,520,87,205,220,100,22,520,267,1239,653,11,5,4,13,6,325,28,Match Report
6,Aston Villa,2021-05-01,Everton,eng Premier League,W 2-1,2,1,+1,53,2,0,0,0,410,512,80.1,7,32,9,1,41,7528,3192,180,201,89.6,170,197,86.3,48,85,56.5,15,9,6,8,1,6,12,50.0,6,12,6,6,7,22,20,1,1.6,1.6,+0.6,+0.6,1.3,0.7,+0.4,+0.4,-0.3,0.14,13,0.15,0.40,5,38.5,19.6,1,0.2,0.08,-0.8,626,79,230,254,145,27,626,258,1353,632,12,7,4,25,12,408,41,Match Report
7,Aston Villa,2021-04-25,West Brom,eng Premier League,D 2-2,2,2,0,70,1,1,1,0,496,613,80.9,20,54,18,5,57,9074,3362,216,250,86.4,225,251,89.6,51,90,56.7,13,6,7,6,0,2,8,25.0,6,6,1,5,7,20,15,1,3.2,2.4,+1.7,+1.7,1.3,1.1,-1.2,-1.4,-1.3,0.11,23,0.04,0.10,10,43.5,16.1,0,1.4,0.10,+0.4,728,57,175,255,255,48,727,423,2116,1233,22,18,8,20,3,495,57,Match Report
8,Aston Villa,2021-04-21,Manchester City,eng Premier League,L 1-2,1,2,-1,28,1,0,0,0,261,337,77.4,8,16,4,3,22,5012,1844,98,111,88.3,129,149,86.6,32,65,49.2,12,6,8,2,2,5,17,29.4,12,8,3,5,5,17,22,0,0.7,0.7,-0.5,-0.5,0.7,0.5,+0.3,+0.3,+0.3,0.09,8,0.13,0.33,3,37.5,14.6,0,1.3,0.43,-0.7,417,71,186,159,76,13,417,256,1063,535,11,6,3,11,3,259,21,Match Report
9,Aston Villa,2021-04-10,Liverpool,eng Premier League,L 1-2,1,2,-1,35,1,0,0,0,235,342,68.7,8,19,5,1,25,4475,2369,113,137,82.5,69,90,76.7,42,86,48.8,18,5,6,11,1,7,18,38.9,11,23,7,16,17,35,24,1,0.5,0.5,-1.7,-1.7,0.5,0.4,+0.5,+0.5,+0.5,0.06,9,0.11,0.20,5,55.6,17.4,0,2.7,0.27,+0.7,479,89,182,203,96,15,479,210,883,368,6,13,2,12,9,233,25,Match Report
10,Aston Villa,2021-04-04,Fulham,eng Premier League,W 3-1,3,1,+2,53,3,0,0,0,359,468,76.7,10,32,7,4,37,6913,2400,141,159,88.7,155,182,85.2,54,100,54.0,15,7,4,6,5,8,20,40.0,12,15,3,12,14,29,11,2,1.5,1.5,+0.5,+0.5,1.4,1.2,+1.5,+1.5,+1.6,0.10,14,0.21,0.75,4,28.6,19.7,0,1.1,0.15,+0.1,590,57,188,249,160,22,590,295,1773,822,14,13,5,19,11,356,37,Match Report
