Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Newcastle Utd,2021-05-23,Fulham,eng Premier League,W 2-0,2,0,+2,36,1,1,1,0,292,376,77.7,6,13,4,1,14,5323,2292,114,127,89.8,129,156,82.7,33,66,50.0,13,5,8,3,2,5,12,41.7,7,15,7,8,10,23,32,2,1.3,0.5,+0.3,-0.5,0.4,0.3,+0.7,+0.5,-0.4,0.06,9,0.11,0.33,3,33.3,21.4,0,0.0,,0.0,491,94,255,144,86,12,490,272,1434,687,10,12,3,11,7,291,14,Match Report
2,Newcastle Utd,2021-05-19,Sheffield Utd,eng Premier League,W 1-0,1,0,+1,51,1,0,0,0,465,534,87.1,12,21,6,3,39,8630,3056,170,186,91.4,233,249,93.6,48,71,67.6,8,1,6,2,0,4,11,36.4,7,4,1,3,6,14,21,0,1.6,1.6,+0.7,+0.7,1.4,0.8,-0.6,-0.6,-0.4,0.11,16,0.06,0.20,5,31.3,19.2,2,0.1,0.06,+0.1,639,74,255,255,124,17,639,286,1878,1018,17,19,5,22,6,463,39,Match Report
3,Newcastle Utd,2021-05-14,Manchester City,eng Premier League,L 3-4,3,4,-1,18,2,1,2,1,146,218,67.0,6,8,5,4,19,2612,1321,66,80,82.5,47,61,77.0,21,52,40.4,13,5,11,2,0,6,19,31.6,13,9,2,7,7,20,22,0,2.2,0.5,+0.8,-0.9,0.4,0.4,+0.8,+1.5,+0.6,0.06,9,0.22,0.67,3,33.3,17.8,1,2.1,0.35,-1.9,318,58,160,107,55,18,316,153,899,528,15,7,6,12,13,146,19,Match Report
4,Newcastle Utd,2021-05-07,Leicester City,eng Premier League,W 4-2,4,2,+2,32,4,0,0,0,216,310,69.7,6,11,3,0,12,4335,1832,81,101,80.2,97,119,81.5,34,71,47.9,9,5,4,5,0,2,18,11.1,16,15,9,6,6,15,38,0,2.7,2.7,+0.5,+0.5,1.4,1.0,+1.3,+1.3,-0.4,0.21,14,0.29,0.67,6,42.9,17.2,2,2.0,0.22,0.0,437,87,188,188,67,13,437,165,1083,553,15,11,6,11,8,215,12,Match Report
5,Newcastle Utd,2021-05-02,Arsenal,eng Premier League,L 0-2,0,2,-2,39,0,0,0,0,363,434,83.6,5,19,0,0,14,6626,2222,165,172,95.9,150,172,87.2,43,77,55.8,12,6,7,5,0,6,14,42.9,8,9,5,4,7,19,13,0,0.3,0.3,-1.7,-1.7,0.3,0.2,-0.3,-0.3,-0.3,0.05,5,0.00,0.00,1,20.0,20.4,0,1.7,0.43,-0.3,508,71,232,198,82,8,508,355,1854,966,17,14,4,10,2,358,14,Match Report
6,Newcastle Utd,2021-04-24,Liverpool,eng Premier League,D 1-1,1,1,0,32,1,0,0,0,309,397,77.8,6,18,9,2,26,5770,2678,142,161,88.2,106,125,84.8,51,85,60.0,15,5,9,6,0,10,20,50.0,10,17,5,12,12,27,15,2,1.0,1.0,-1.4,-1.4,1.0,0.7,0.0,0.0,0.0,0.15,7,0.14,0.25,4,57.1,16.0,0,1.8,0.20,+0.8,517,94,255,187,75,18,517,311,1727,834,18,7,4,16,10,303,25,Match Report
7,Newcastle Utd,2021-04-17,West Ham,eng Premier League,W 3-2,3,2,+1,34,2,0,0,0,226,306,73.9,13,16,2,1,20,4169,1914,93,119,78.2,98,110,89.1,29,58,50.0,16,10,8,4,4,9,22,40.9,13,16,6,10,11,27,35,0,2.2,2.2,+0.3,+1.1,1.3,0.4,-0.2,-0.2,-0.3,0.14,16,0.13,0.33,6,37.5,19.1,0,2.1,0.18,+0.1,435,76,209,153,79,12,435,232,1367,738,20,15,4,17,4,222,20,Match Report
8,Newcastle Utd,2021-04-11,Burnley,eng Premier League,W 2-1,2,1,+1,44,2,0,0,0,262,394,66.5,8,19,6,5,24,4874,1996,121,147,82.3,91,120,75.8,44,100,44.0,10,5,7,3,0,2,4,50.0,2,10,6,4,9,19,40,0,1.2,1.2,-0.8,-0.8,1.1,0.9,+0.8,+0.8,+0.9,0.13,10,0.20,0.50,4,40.0,12.7,0,0.6,0.16,-0.4,527,91,226,213,92,17,527,187,1178,670,13,6,2,19,4,260,24,Match Report
9,Newcastle Utd,2021-04-04,Tottenham,eng Premier League,D 2-2,2,2,0,42,2,0,0,0,285,402,70.9,11,28,8,6,25,5835,2240,109,127,85.8,117,151,77.5,53,104,51.0,11,4,3,7,1,4,19,21.1,15,10,3,7,5,16,19,1,3.4,3.4,+0.8,+0.8,2.2,1.6,-1.4,-1.4,-1.2,0.20,22,0.09,0.33,6,27.3,13.9,0,2.5,0.63,+0.5,516,65,173,197,149,31,516,227,1340,536,11,13,3,12,3,283,25,Match Report
10,Newcastle Utd,2021-03-20,Brighton,eng Premier League,L 0-3,0,3,-3,35,0,0,0,0,330,414,79.7,3,19,3,1,19,5590,2191,163,179,91.1,109,133,82.0,38,65,58.5,11,6,4,6,1,5,17,29.4,12,9,4,5,16,27,15,0,0.1,0.1,-0.8,-0.8,0.1,0.1,-0.1,-0.1,-0.1,0.03,3,0.00,0.00,1,33.3,19.5,0,1.5,0.25,-1.5,497,73,193,239,70,4,497,336,1428,602,7,7,1,13,7,325,19,Match Report
