Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,West Brom,2021-05-23,Leeds United,eng Premier League,L 1-3,1,3,-2,36,1,0,0,0,211,306,69.0,8,18,7,1,30,3794,1827,88,106,83.0,92,117,78.6,26,64,40.6,19,11,13,4,2,16,23,69.6,7,11,5,6,8,27,16,1,1.0,1.0,-1.3,-0.5,0.6,0.5,0.0,0.0,-0.6,0.07,14,0.07,0.20,5,35.7,18.9,0,2.7,0.20,-0.3,420,69,144,166,116,19,420,235,1124,610,11,6,1,20,14,208,29,Match Report
2,West Brom,2021-05-19,West Ham,eng Premier League,L 1-3,1,3,-2,52,1,0,0,0,287,409,70.2,7,26,5,1,31,5160,2360,132,156,84.6,108,149,72.5,36,75,48.0,10,5,2,4,4,9,14,64.3,5,11,3,8,12,22,22,0,1.1,1.1,-2.3,-1.5,0.4,0.6,-0.1,-0.1,-0.4,0.08,14,0.07,0.25,4,28.6,19.5,1,3.1,0.39,+0.1,518,63,154,199,175,22,517,286,1634,851,21,18,4,15,10,280,30,Match Report
3,West Brom,2021-05-16,Liverpool,eng Premier League,L 1-2,1,2,-1,24,1,0,0,0,140,241,58.1,8,18,2,1,20,3216,1976,52,71,73.2,45,66,68.2,37,86,43.0,16,2,9,4,3,9,19,47.4,10,17,10,7,17,33,32,0,1.0,1.0,-1.0,-1.0,0.9,0.3,0.0,0.0,+0.1,0.11,9,0.11,0.33,3,33.3,15.6,1,1.1,0.19,-0.9,369,82,165,120,86,16,369,159,735,350,8,6,3,16,6,138,20,Match Report
4,West Brom,2021-05-09,Arsenal,eng Premier League,L 1-3,1,3,-2,35,1,0,0,0,233,336,69.3,9,23,6,3,28,4777,1747,80,100,80.0,109,132,82.6,36,85,42.4,14,11,9,3,2,8,15,53.3,7,7,3,4,13,27,12,1,1.8,1.8,+0.8,+0.8,1.7,0.9,-0.8,-0.8,-0.7,0.15,12,0.08,1.00,1,8.3,19.3,0,1.7,0.24,-1.3,432,52,151,170,118,14,432,213,1164,620,12,9,5,18,4,228,28,Match Report
5,West Brom,2021-05-03,Wolves,eng Premier League,D 1-1,1,1,0,43,1,0,0,0,270,387,69.8,7,28,6,3,34,4907,2316,122,150,81.3,95,129,73.6,40,83,48.2,21,8,10,11,0,8,21,38.1,13,10,4,6,10,31,18,2,1.1,1.1,+0.2,+0.2,1.0,0.7,-0.1,-0.1,0.0,0.11,10,0.10,0.33,3,30.0,15.7,0,0.8,0.08,-0.2,511,60,178,217,118,23,511,280,1261,620,11,5,6,23,13,270,34,Match Report
6,West Brom,2021-04-25,Aston Villa,eng Premier League,D 2-2,2,2,0,30,0,1,1,0,155,267,58.1,5,13,6,1,19,2689,1462,68,89,76.4,47,62,75.8,21,74,28.4,10,5,4,4,2,7,17,41.2,10,6,6,0,8,18,30,1,1.5,0.7,-1.7,-1.7,0.2,0.3,-0.5,-0.7,-0.2,0.07,9,0.00,0.00,3,33.3,22.4,2,2.9,0.18,+0.9,386,91,177,132,81,14,385,147,867,395,5,5,1,17,11,153,18,Match Report
7,West Brom,2021-04-22,Leicester City,eng Premier League,L 0-3,0,3,-3,28,0,0,0,0,188,294,63.9,3,15,1,0,20,3620,1580,73,104,70.2,72,94,76.6,30,68,44.1,10,7,3,5,2,3,11,27.3,8,14,5,9,10,20,17,1,0.5,0.5,-1.5,-1.5,0.5,0.5,-0.5,-0.5,-0.5,0.14,4,0.00,0.00,1,25.0,15.2,0,1.8,0.26,-1.2,392,59,158,158,79,10,392,204,831,367,3,4,1,13,9,186,20,Match Report
8,West Brom,2021-04-12,Southampton,eng Premier League,W 3-0,3,0,+3,40,2,1,1,0,215,326,66.0,12,17,7,3,26,3900,2042,94,128,73.4,78,105,74.3,29,63,46.0,15,12,8,4,3,8,20,40.0,12,5,0,5,17,32,26,0,3.0,2.2,+1.4,+1.4,2.1,1.5,0.0,-0.2,-0.1,0.16,14,0.14,0.40,5,35.7,14.9,1,1.5,0.12,+1.5,451,74,164,149,146,33,450,218,1245,625,16,14,6,20,7,213,25,Match Report
9,West Brom,2021-04-03,Chelsea,eng Premier League,W 5-2,5,2,+3,35,5,0,0,0,244,339,72.0,10,21,3,1,17,4127,1706,114,131,87.0,85,113,75.2,27,61,44.3,19,12,10,8,1,7,16,43.8,9,11,5,6,15,34,25,1,1.6,1.6,-0.5,-0.5,1.3,0.7,+3.4,+3.4,+2.7,0.12,14,0.36,0.71,7,50.0,19.4,2,1.5,0.24,-0.5,462,69,181,204,81,14,462,254,1366,625,15,2,4,19,11,243,17,Match Report
10,West Brom,2021-03-13,Crystal Palace,eng Premier League,L 0-1,0,1,-1,55,0,0,0,0,343,458,74.9,9,31,12,5,42,5694,2383,169,188,89.9,111,140,79.3,38,80,47.5,19,14,5,8,6,8,19,42.1,11,11,1,10,8,27,19,0,0.8,0.8,-0.4,+0.4,0.7,1.0,-0.8,-0.8,-0.7,0.07,12,0.00,0.00,1,8.3,18.0,1,1.6,0.15,+0.6,576,41,131,255,152,25,576,300,1369,690,12,10,3,24,8,341,42,Match Report
11,West Brom,2021-03-07,Newcastle Utd,eng Premier League,D 0-0,0,0,0,53,0,0,0,0,328,464,70.7,11,29,17,3,43,6049,2530,171,199,85.9,92,132,69.7,57,110,51.8,11,7,7,4,0,4,8,50.0,4,12,2,10,11,22,26,0,2.0,2.0,+1.5,+1.5,1.5,1.3,-2.0,-2.0,-1.5,0.15,13,0.00,0.00,3,23.1,17.9,0,1.0,0.20,+1.0,578,68,181,181,223,30,578,254,1490,706,21,11,4,14,9,320,43,Match Report
12,West Brom,2021-03-04,Everton,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,391,514,76.1,8,33,7,0,51,7268,2653,161,183,88.0,177,213,83.1,46,94,48.9,9,4,4,1,4,5,17,29.4,12,17,6,11,15,24,22,0,1.0,1.0,0.0,0.0,0.9,0.8,-1.0,-1.0,-0.9,0.09,11,0.00,0.00,3,27.3,16.9,0,0.6,0.20,-0.4,635,54,215,255,173,21,635,346,1703,822,20,9,4,21,5,389,50,Match Report
13,West Brom,2021-02-27,Brighton,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,162,276,58.7,4,15,3,1,16,2759,1320,83,101,82.2,52,80,65.0,20,73,27.4,13,5,3,8,2,3,11,27.3,8,11,2,9,14,27,17,0,0.8,0.8,-2.1,-0.6,0.8,0.7,+0.2,+0.2,+0.2,0.13,6,0.17,0.50,2,33.3,18.3,0,1.0,0.16,+1.0,398,62,166,133,103,11,398,139,909,434,8,5,4,17,10,162,16,Match Report
14,West Brom,2021-02-20,Burnley,eng Premier League,D 0-0,0,0,0,38,0,0,0,0,176,304,57.9,7,12,2,0,21,3231,1668,80,106,75.5,58,87,66.7,27,82,32.9,16,10,12,4,0,9,14,64.3,5,8,1,7,10,26,24,0,1.6,1.6,+1.1,+1.1,1.4,1.1,-1.6,-1.6,-1.4,0.16,10,0.00,0.00,2,20.0,22.9,2,0.0,0.02,0.0,401,56,167,167,74,10,401,159,1068,572,11,7,2,6,9,176,21,Match Report
15,West Brom,2021-02-14,Manchester Utd,eng Premier League,D 1-1,1,1,0,27,1,0,0,0,181,284,63.7,7,16,6,3,19,3505,1586,78,86,90.7,77,101,76.2,24,80,30.0,14,7,13,1,0,9,19,47.4,10,19,4,15,12,26,31,0,1.0,1.0,+0.6,+0.6,1.0,0.8,0.0,0.0,0.0,0.15,7,0.14,0.33,3,42.9,14.0,0,1.3,0.21,+0.3,401,88,202,120,81,10,401,115,657,239,3,6,1,11,7,179,18,Match Report
16,West Brom,2021-02-07,Tottenham,eng Premier League,L 0-2,0,2,-2,35,0,0,0,0,245,341,71.8,4,18,5,4,23,4642,1944,101,121,83.5,94,112,83.9,37,80,46.3,24,14,20,4,0,13,23,56.5,10,14,3,11,5,29,32,0,0.6,0.6,-0.9,-0.9,0.6,0.8,-0.6,-0.6,-0.6,0.14,4,0.00,0.00,1,25.0,10.7,0,1.5,0.26,-0.5,459,72,206,194,64,14,459,208,906,425,8,5,1,13,5,245,23,Match Report
