Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,West Ham,2021-05-23,Southampton,eng Premier League,W 3-0,3,0,+3,38,3,0,0,0,233,349,66.8,10,30,3,1,29,4630,2185,106,131,80.9,82,116,70.7,39,71,54.9,12,6,3,6,3,3,12,25.0,9,13,3,10,10,22,14,0,1.3,1.3,-0.2,-0.2,0.9,0.3,+1.7,+1.7,+1.1,0.10,14,0.21,0.43,7,50.0,15.9,0,1.3,0.26,+1.3,453,59,120,209,128,19,453,227,1169,527,9,10,5,8,11,231,28,Match Report
2,West Ham,2021-05-19,West Brom,eng Premier League,W 3-1,3,1,+2,48,3,0,1,1,263,377,69.8,15,17,9,1,35,4652,2047,127,157,80.9,95,126,75.4,33,69,47.8,16,9,9,6,1,6,18,33.3,12,9,4,5,10,26,36,0,3.4,2.6,+2.3,+1.5,2.5,1.4,-0.4,+0.4,+0.5,0.14,20,0.15,0.33,9,45.0,16.2,1,0.7,0.17,-0.3,506,69,189,175,148,27,505,210,1468,799,24,14,5,17,1,260,35,Match Report
3,West Ham,2021-05-15,Brighton,eng Premier League,D 1-1,1,1,0,49,1,0,0,0,500,597,83.8,13,40,17,5,40,8173,2903,245,268,91.4,189,216,87.5,42,72,58.3,6,2,2,3,1,1,8,12.5,7,13,6,7,12,18,6,1,1.7,1.7,+0.9,+0.9,1.7,1.6,-0.7,-0.7,-1.7,0.12,15,0.07,0.50,2,13.3,18.6,0,0.4,0.18,-0.6,680,48,148,255,180,28,680,402,2444,1069,24,24,2,10,7,497,40,Match Report
4,West Ham,2021-05-09,Everton,eng Premier League,L 0-1,0,1,-1,68,0,0,0,0,580,678,85.5,8,58,12,5,56,8938,3016,326,349,93.4,189,217,87.1,45,77,58.4,16,10,4,9,3,9,23,39.1,14,10,2,8,3,19,12,0,1.3,1.3,-0.2,-0.2,0.5,0.6,-1.3,-1.3,-0.5,0.12,11,0.00,,0,0.0,15.8,0,1.3,0.44,+0.3,777,37,132,255,222,19,777,468,2398,1236,28,15,2,18,11,574,54,Match Report
5,West Ham,2021-05-03,Burnley,eng Premier League,W 2-1,2,1,+1,55,2,0,0,0,456,596,76.5,20,27,16,6,47,6623,2425,256,292,87.7,127,163,77.9,35,77,45.5,10,6,5,4,1,3,12,25.0,9,8,3,5,11,21,33,0,2.3,2.3,+0.3,+1.1,2.3,1.5,-0.3,-0.3,-0.3,0.11,22,0.09,0.50,4,18.2,16.9,1,1.0,0.02,0.0,711,67,235,255,206,32,711,352,2175,1205,31,16,8,8,4,453,47,Match Report
6,West Ham,2021-04-24,Chelsea,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,368,495,74.3,5,36,3,1,27,5736,1934,204,241,84.6,124,146,84.9,25,63,39.7,18,7,11,5,2,7,15,46.7,8,13,5,8,13,31,15,0,0.4,0.4,-2.1,-2.1,0.2,0.2,-0.4,-0.4,-0.2,0.04,9,0.00,0.00,2,22.2,23.2,1,1.7,0.28,+0.7,595,54,159,255,160,10,595,301,1639,668,15,15,1,9,13,364,27,Match Report
7,West Ham,2021-04-17,Newcastle Utd,eng Premier League,L 2-3,2,3,-1,66,1,1,1,0,478,583,82.0,11,31,8,4,42,7973,2403,228,246,92.7,188,217,86.6,45,81,55.6,11,7,5,3,3,7,17,41.2,10,15,9,6,9,20,8,2,1.9,1.2,-0.3,-1.1,1.0,0.8,+0.1,-0.2,0.0,0.08,15,0.07,0.20,5,33.3,19.3,0,1.4,0.24,-0.6,677,52,148,255,193,22,676,403,2277,1155,19,15,5,16,7,472,41,Match Report
8,West Ham,2021-04-11,Leicester City,eng Premier League,W 3-2,3,2,+1,37,3,0,0,0,289,404,71.5,4,13,2,0,20,5256,2046,137,165,83.0,106,134,79.1,39,81,48.1,10,5,5,3,2,6,17,35.3,11,13,6,7,15,25,28,3,0.8,0.8,-0.1,-0.1,0.8,0.3,+2.2,+2.2,+2.2,0.21,4,0.75,0.75,4,100.0,15.4,0,1.0,0.24,-1.0,513,84,220,234,64,9,513,291,1258,459,7,7,3,12,7,286,20,Match Report
9,West Ham,2021-04-05,Wolves,eng Premier League,W 3-2,3,2,+1,35,3,0,0,0,261,361,72.3,8,19,3,2,22,4932,2489,127,151,84.1,104,131,79.4,27,61,44.3,11,8,4,7,0,4,21,19.0,17,5,2,3,12,23,26,0,1.3,1.3,-0.9,-0.9,1.2,0.6,+1.7,+1.7,+1.8,0.14,9,0.33,0.50,6,66.7,12.6,0,2.1,0.42,+0.1,466,58,172,190,112,14,466,252,1485,721,21,16,4,14,8,256,21,Match Report
10,West Ham,2021-03-21,Arsenal,eng Premier League,D 3-3,3,3,0,38,3,0,0,0,281,394,71.3,12,29,9,3,36,4798,1842,120,147,81.6,105,132,79.5,32,69,46.4,12,5,5,6,1,6,15,40.0,9,9,6,3,12,24,21,0,2.4,2.4,+1.0,+1.0,2.1,1.0,+0.6,+0.6,+0.9,0.16,15,0.20,0.60,5,33.3,12.9,0,1.4,0.23,+0.4,487,68,163,196,133,25,487,244,1519,693,16,7,7,9,5,276,36,Match Report
11,West Ham,2021-03-14,Manchester Utd,eng Premier League,L 0-1,0,1,-1,39,0,0,0,0,356,456,78.1,5,26,4,2,32,6488,2579,141,170,82.9,171,194,88.1,36,70,51.4,13,7,8,4,1,7,15,46.7,8,11,7,4,10,23,25,0,0.6,0.6,-1.0,-1.0,0.5,0.5,-0.6,-0.6,-0.5,0.08,7,0.00,,0,0.0,14.0,0,0.8,0.19,+0.8,562,66,213,234,122,16,562,285,1549,721,17,7,5,9,7,351,32,Match Report
12,West Ham,2021-03-08,Leeds United,eng Premier League,W 2-0,2,0,+2,35,2,0,1,1,211,310,68.1,9,11,4,2,19,3796,2118,106,130,81.5,72,97,74.2,29,67,43.3,14,8,6,7,1,6,12,50.0,6,13,5,8,18,32,17,0,1.8,0.9,+0.4,-0.5,0.7,0.6,+0.2,+1.1,+0.3,0.06,15,0.13,0.50,4,26.7,21.2,1,0.3,0.13,+0.3,426,67,179,157,96,19,425,213,1230,620,17,8,2,16,11,207,18,Match Report
13,West Ham,2021-02-27,Manchester City,eng Premier League,L 1-2,1,2,-1,37,1,0,0,0,330,417,79.1,8,21,3,2,19,5864,1957,150,171,87.7,143,171,83.6,32,61,52.5,13,9,9,2,2,8,16,50.0,8,10,5,5,20,33,18,2,1.5,1.5,+1.0,+1.0,1.9,0.8,-0.5,-0.5,-0.9,0.22,9,0.11,0.33,3,33.3,13.0,0,0.4,0.12,-1.6,504,66,202,223,88,15,504,346,1854,923,17,11,4,10,4,328,18,Match Report
14,West Ham,2021-02-21,Tottenham,eng Premier League,W 2-1,2,1,+1,32,2,0,0,0,175,290,60.3,3,20,4,1,24,3325,1729,77,106,72.6,63,91,69.2,29,74,39.2,23,14,11,11,1,12,23,52.2,11,14,3,11,13,36,26,0,1.1,1.1,0.0,0.0,0.8,0.6,+0.9,+0.9,+0.2,0.44,4,0.50,0.50,4,100.0,7.6,0,0.7,0.19,-0.3,411,68,146,173,98,12,411,201,1222,580,14,11,5,18,9,174,24,Match Report
15,West Ham,2021-02-15,Sheffield Utd,eng Premier League,W 3-0,3,0,+3,46,2,1,1,0,374,469,79.7,8,20,2,0,29,6116,2251,182,207,87.9,133,156,85.3,35,62,56.5,9,2,4,5,0,4,11,36.4,7,3,1,2,9,18,20,0,1.9,1.1,+1.3,+0.5,0.5,0.4,+1.1,+0.9,+1.5,0.10,12,0.17,0.25,8,66.7,19.0,2,1.3,0.26,+1.3,553,57,165,255,120,18,552,336,2321,1238,24,16,10,10,10,371,28,Match Report
16,West Ham,2021-02-06,Fulham,eng Premier League,D 0-0,0,0,0,40,0,0,0,0,287,396,72.5,7,21,6,4,26,5303,2085,120,143,83.9,118,140,84.3,37,80,46.3,9,6,6,1,2,3,11,27.3,8,9,6,3,6,15,25,0,1.0,1.0,-0.5,-0.5,1.0,1.0,-1.0,-1.0,-1.0,0.13,8,0.00,0.00,1,12.5,13.3,1,0.1,0.03,+0.1,494,67,187,210,100,16,494,234,1170,528,13,6,4,16,8,284,26,Match Report
