Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Brighton,2022-05-22,West Ham,eng Premier League,W 3-1,3,1,+2,50,3,0,0,0,426,527,80.8,15,28,18,2,46,7074,2433,211,233,90.6,173,206,84.0,33,66,50.0,12,8,6,4,2,3,4,75.0,1,13,3,10,6,18,26,0,1.6,1.6,+1.3,+1.3,1.3,1.5,+1.4,+1.4,+1.7,0.09,18,0.17,0.43,7,38.9,16.4,0,0.7,0.34,-0.3,626,76,198,235,199,33,626,458,1997,1062,18,15,5,11,13,418,45,Match Report
2,Brighton,2022-05-15,Leeds United,eng Premier League,D 1-1,1,1,0,50,1,0,0,0,328,441,74.4,13,33,14,3,40,6338,2863,129,162,79.6,149,172,86.6,45,89,50.6,13,5,8,3,2,2,8,25.0,6,19,4,15,9,22,26,1,2.2,2.2,+0.6,+0.6,1.8,1.7,-1.2,-1.2,-0.8,0.15,15,0.07,0.17,6,40.0,14.3,0,1.1,0.27,+0.1,574,82,196,236,147,26,574,209,1311,652,17,11,5,21,10,327,40,Match Report
3,Brighton,2022-05-07,Manchester Utd,eng Premier League,W 4-0,4,0,+4,42,4,0,0,0,315,418,75.4,11,21,14,2,41,5512,2001,140,162,86.4,129,158,81.6,35,72,48.6,11,9,2,3,6,1,10,10.0,9,13,3,10,10,21,20,0,2.3,2.3,+1.5,+1.5,1.5,1.4,+1.7,+1.7,+0.5,0.15,17,0.24,0.80,5,29.4,15.9,0,1.0,0.20,+1.0,525,56,153,194,182,40,525,221,1202,725,21,12,4,11,7,315,41,Match Report
4,Brighton,2022-04-30,Wolves,eng Premier League,W 3-0,3,0,+3,51,2,1,2,1,423,518,81.7,13,19,4,1,27,6784,2210,206,232,88.8,149,172,86.6,39,68,57.4,22,18,11,7,4,11,24,45.8,13,9,5,4,9,31,12,0,2.6,1.1,+2.0,+0.4,1.0,0.7,+0.4,+0.9,0.0,0.07,15,0.13,0.25,8,53.3,21.4,0,0.1,0.05,+0.1,630,59,182,255,180,26,628,425,2509,1230,29,29,8,14,8,418,27,Match Report
5,Brighton,2022-04-24,Southampton,eng Premier League,D 2-2,2,2,0,48,1,0,0,0,257,400,64.3,4,27,6,3,23,5037,1965,99,136,72.8,115,163,70.6,37,76,48.7,17,8,5,6,6,1,7,14.3,6,19,7,12,6,23,32,0,1.7,1.7,+0.8,+0.8,0.5,1.0,-0.7,-0.7,-0.5,0.23,8,0.13,0.20,5,62.5,11.4,0,1.0,0.19,-1.0,535,79,191,180,168,27,535,233,1141,586,17,8,5,20,10,253,22,Match Report
6,Brighton,2022-04-20,Manchester City,eng Premier League,L 0-3,0,3,-3,35,0,0,0,0,276,385,71.7,1,15,3,0,24,5219,1914,109,134,81.3,128,155,82.6,30,67,44.8,20,10,11,2,7,10,14,71.4,4,18,8,10,5,25,16,1,0.2,0.2,-1.1,-1.1,0.1,0.2,-0.2,-0.2,-0.1,0.08,2,0.00,0.00,1,50.0,19.0,1,1.7,0.34,-1.3,488,88,223,182,89,7,488,263,1185,665,13,6,2,15,6,274,24,Match Report
7,Brighton,2022-04-16,Tottenham,eng Premier League,W 1-0,1,0,+1,51,1,0,0,0,440,539,81.6,9,40,3,0,32,7298,2145,207,222,93.2,172,193,89.1,33,77,42.9,17,10,7,7,3,6,15,40.0,9,16,2,14,9,26,13,0,0.6,0.6,+0.1,+0.1,0.4,0.6,+0.4,+0.4,-0.4,0.05,12,0.08,0.25,4,33.3,17.0,0,0.0,,0.0,628,54,171,255,163,22,628,358,2183,975,16,13,1,9,12,435,31,Match Report
8,Brighton,2022-04-09,Arsenal,eng Premier League,W 2-1,2,1,+1,36,2,0,0,0,217,316,68.7,6,6,5,0,20,3608,1260,100,117,85.5,92,108,85.2,14,58,24.1,21,13,12,7,2,6,12,50.0,6,17,10,7,16,37,30,0,0.6,0.6,-1.3,-1.3,0.5,0.3,+1.4,+1.4,+1.5,0.07,8,0.25,0.67,3,37.5,23.1,0,0.7,0.18,-0.3,440,78,187,169,88,8,440,206,977,529,11,12,0,18,6,216,19,Match Report
9,Brighton,2022-04-02,Norwich City,eng Premier League,D 0-0,0,0,0,63,0,0,1,1,428,551,77.7,21,45,17,4,60,7087,2430,222,244,91.0,157,195,80.5,38,78,48.7,14,11,5,9,0,6,9,66.7,3,7,3,4,10,24,12,0,2.8,2.0,+2.4,+1.6,1.6,1.2,-2.8,-2.0,-1.6,0.07,30,0.00,0.00,4,13.3,18.7,1,0.0,,0.0,654,37,109,255,255,42,653,446,1822,927,22,20,5,18,9,421,59,Match Report
10,Brighton,2022-03-16,Tottenham,eng Premier League,L 0-2,0,2,-2,48,0,0,0,0,447,543,82.3,10,31,9,2,46,7989,2191,184,204,90.2,215,233,92.3,40,82,48.8,16,10,1,9,6,9,13,69.2,4,8,5,3,11,27,12,2,0.7,0.7,-1.5,-1.5,0.5,0.6,-0.7,-0.7,-0.5,0.05,15,0.00,,0,0.0,18.3,0,3.6,0.51,+1.6,640,57,153,255,199,24,640,355,1849,848,15,19,5,18,10,445,45,Match Report
