Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Chelsea,2022-05-22,Watford,eng Premier League,W 2-1,2,1,+1,71,2,0,0,0,688,770,89.4,16,63,17,2,65,11366,3632,355,383,92.7,263,285,92.3,60,79,75.9,32,16,10,17,5,14,21,66.7,7,13,3,10,9,41,11,0,2.2,2.2,+1.6,+1.6,2.2,1.3,-0.2,-0.2,-0.2,0.12,19,0.11,0.25,8,42.1,16.9,0,1.5,0.51,+0.5,898,43,190,255,245,33,898,604,2980,1676,28,22,6,11,14,686,64,Match Report
2,Chelsea,2022-05-19,Leicester City,eng Premier League,D 1-1,1,1,0,67,1,0,0,0,727,805,90.3,15,60,14,3,67,11599,3132,344,364,94.5,313,332,94.3,40,65,61.5,10,5,3,4,3,3,8,37.5,5,9,0,9,11,21,6,0,1.6,1.6,+1.6,+1.6,1.5,1.5,-0.6,-0.6,-0.5,0.08,20,0.05,0.14,7,35.0,20.0,2,0.2,0.17,-0.8,902,32,130,255,255,24,902,642,3080,1598,21,22,4,19,13,717,67,Match Report
3,Chelsea,2022-05-11,Leeds United,eng Premier League,W 3-0,3,0,+3,67,3,0,0,0,759,850,89.3,15,55,12,3,67,12180,3824,385,410,93.9,291,322,90.4,60,77,77.9,17,9,6,10,1,6,10,60.0,4,5,1,4,8,25,11,0,1.3,1.3,+0.9,+0.9,1.2,1.3,+1.7,+1.7,+1.8,0.08,17,0.18,1.00,3,17.6,16.9,0,0.0,,0.0,936,42,189,255,219,29,936,594,2443,1278,27,26,6,11,9,752,67,Match Report
4,Chelsea,2022-05-07,Wolves,eng Premier League,D 2-2,2,2,0,59,1,1,1,0,450,538,83.6,12,37,11,3,41,7611,2519,202,228,88.6,201,221,91.0,34,66,51.5,20,10,7,10,3,5,18,27.8,13,6,1,5,8,28,17,0,1.7,0.9,-0.3,-1.1,0.7,0.7,+0.3,+0.1,+0.3,0.05,18,0.06,0.20,5,27.8,18.2,2,0.7,0.19,-1.3,645,53,167,255,173,32,644,362,2109,1242,24,18,8,12,10,445,41,Match Report
5,Chelsea,2022-05-01,Everton,eng Premier League,L 0-1,0,1,-1,77,0,0,0,0,666,770,86.5,13,56,12,4,64,10181,3227,353,379,93.1,262,291,90.0,28,47,59.6,18,6,9,8,1,6,14,42.9,8,10,1,9,5,23,18,1,0.8,0.8,0.0,0.0,0.7,1.1,-0.8,-0.8,-0.7,0.05,17,0.00,0.00,5,29.4,17.9,0,1.1,0.27,+0.1,882,64,219,255,255,30,882,532,2857,1682,28,29,3,19,8,663,64,Match Report
6,Chelsea,2022-04-28,Manchester Utd,eng Premier League,D 1-1,1,1,0,64,1,0,0,0,584,680,85.9,18,55,20,4,70,9007,3080,326,348,93.7,192,224,85.7,42,66,63.6,12,6,2,7,3,5,13,38.5,8,8,2,6,9,21,15,0,1.9,1.9,+1.3,+1.3,1.8,1.6,-0.9,-0.9,-0.8,0.09,21,0.05,0.17,6,28.6,17.4,0,0.4,0.13,-0.6,774,37,155,255,255,41,774,468,2254,1156,30,20,9,14,12,582,70,Match Report
7,Chelsea,2022-04-24,West Ham,eng Premier League,W 1-0,1,0,+1,66,1,0,1,1,655,757,86.5,20,44,11,2,73,10432,3579,346,370,93.5,259,295,87.8,42,66,63.6,11,6,4,4,3,3,7,42.9,4,16,2,14,9,20,7,0,3.0,2.2,+2.5,+1.7,1.6,0.9,-2.0,-1.2,-0.6,0.09,25,0.04,0.25,4,16.0,19.0,0,0.5,0.27,+0.5,865,56,221,255,255,45,864,575,3069,1840,44,34,14,16,7,649,73,Match Report
8,Chelsea,2022-04-20,Arsenal,eng Premier League,L 2-4,2,4,-2,67,2,0,0,0,632,750,84.3,8,49,10,1,43,10151,2822,310,336,92.3,263,288,91.3,38,74,51.4,23,13,11,8,4,11,18,61.1,7,13,3,10,10,33,7,1,0.7,0.7,-1.3,-0.6,0.4,1.0,+1.3,+1.3,+0.6,0.06,11,0.18,1.00,2,18.2,15.9,0,2.4,0.36,-1.6,849,63,219,255,234,28,849,578,2810,1295,23,21,5,14,14,629,43,Match Report
9,Chelsea,2022-04-09,Southampton,eng Premier League,W 6-0,6,0,+6,70,6,0,0,0,684,776,88.1,16,60,14,1,63,10056,3370,379,406,93.3,256,289,88.6,25,41,61.0,29,19,7,18,4,11,14,78.6,3,9,3,6,4,33,16,0,4.2,4.2,+3.7,+3.7,1.7,1.5,+1.8,+1.8,-0.7,0.19,24,0.25,0.43,14,58.3,15.3,0,0.5,0.51,+0.5,893,42,180,255,190,28,893,516,2896,1583,29,21,7,12,11,679,63,Match Report
10,Chelsea,2022-04-02,Brentford,eng Premier League,L 1-4,1,4,-3,70,1,0,0,0,609,698,87.2,17,49,14,2,46,9716,3080,331,362,91.4,206,227,90.7,54,80,67.5,9,7,5,2,2,2,5,40.0,3,17,6,11,6,15,13,2,1.3,1.3,-0.5,-0.5,1.1,1.5,-0.3,-0.3,-0.1,0.07,21,0.05,0.13,8,38.1,20.1,0,2.0,0.34,-2.0,801,59,196,255,255,33,801,560,2479,1219,24,35,5,16,12,608,46,Match Report
11,Chelsea,2022-03-13,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,71,1,0,0,0,509,607,83.9,6,41,8,1,42,8227,2509,246,267,92.1,226,256,88.3,27,54,50.0,14,8,9,3,2,10,17,58.8,7,12,0,12,6,20,14,0,1.1,1.1,+0.9,+0.9,1.1,0.9,-0.1,-0.1,-0.1,0.14,8,0.13,0.33,3,37.5,16.4,1,0.2,0.09,+0.2,708,53,226,255,185,16,708,437,2159,1189,21,19,6,25,13,505,42,Match Report
12,Chelsea,2022-03-10,Norwich City,eng Premier League,W 3-1,3,1,+2,66,3,0,0,0,671,741,90.6,11,49,11,0,47,10274,3459,358,380,94.2,248,265,93.6,38,50,76.0,15,10,12,3,0,4,9,44.4,5,7,1,6,11,26,17,0,1.8,1.8,+0.7,+1.5,1.4,1.4,+1.2,+1.2,+1.6,0.12,15,0.20,0.43,7,46.7,12.7,1,1.7,0.23,+0.7,837,62,220,255,215,35,837,507,2711,1495,30,25,9,10,7,668,47,Match Report
13,Chelsea,2022-03-05,Burnley,eng Premier League,W 4-0,4,0,+4,72,4,0,0,0,735,829,88.7,10,41,14,1,53,11540,3543,364,391,93.1,293,317,92.4,45,73,61.6,14,9,8,4,2,8,12,66.7,4,11,4,7,4,18,14,1,2.3,2.3,+1.6,+1.6,1.6,0.9,+1.7,+1.7,+1.4,0.21,11,0.36,0.80,5,45.5,18.1,0,0.0,,0.0,927,72,255,255,213,27,927,506,2611,1367,21,20,5,19,13,730,53,Match Report
14,Chelsea,2022-02-19,Crystal Palace,eng Premier League,W 1-0,1,0,+1,58,1,0,0,0,458,564,81.2,6,34,6,2,44,7659,2541,221,256,86.3,179,201,89.1,42,73,57.5,17,8,5,9,3,10,18,55.6,8,9,2,7,8,25,16,1,0.9,0.9,+0.4,+0.4,0.6,0.7,+0.1,+0.1,+0.4,0.10,9,0.11,0.33,3,33.3,17.0,1,0.0,,0.0,660,58,192,255,151,17,660,307,1752,1032,18,16,4,17,13,455,44,Match Report
15,Chelsea,2022-01-23,Tottenham,eng Premier League,W 2-0,2,0,+2,64,2,0,0,0,557,658,84.7,13,35,7,2,58,9219,3147,269,296,90.9,232,258,89.9,41,68,60.3,15,11,3,10,2,5,13,38.5,8,6,1,5,10,25,12,0,1.2,1.2,+0.7,+0.7,1.1,1.0,+0.8,+0.8,+0.9,0.08,15,0.13,0.29,7,46.7,15.9,0,0.4,0.12,+0.4,737,50,188,255,173,23,737,556,2336,1237,23,9,9,9,7,552,57,Match Report
16,Chelsea,2022-01-18,Brighton,eng Premier League,D 1-1,1,1,0,56,1,0,0,0,528,628,84.1,9,37,8,1,53,8839,2974,248,274,90.5,231,264,87.5,38,64,59.4,14,7,6,7,1,7,14,50.0,7,13,5,8,10,24,25,0,0.7,0.7,0.0,0.0,0.5,0.8,+0.3,+0.3,+0.5,0.05,15,0.07,0.33,3,20.0,21.1,1,0.5,0.30,-0.5,741,81,255,255,212,27,741,406,2368,1260,26,16,10,14,8,525,53,Match Report
17,Chelsea,2022-01-15,Manchester City,eng Premier League,L 0-1,0,1,-1,44,0,0,0,0,410,495,82.8,3,22,2,1,27,6440,2078,212,232,91.4,167,179,93.3,23,60,38.3,22,13,13,6,3,9,25,36.0,16,11,2,9,11,33,23,1,0.3,0.3,-0.7,-0.7,0.2,0.4,-0.3,-0.3,-0.2,0.08,4,0.00,0.00,1,25.0,19.1,0,1.5,0.25,+0.5,604,88,255,241,83,7,604,370,1647,764,13,8,2,19,5,408,27,Match Report
18,Chelsea,2022-01-02,Liverpool,eng Premier League,D 2-2,2,2,0,54,2,0,0,0,493,619,79.6,9,28,12,2,51,7993,2764,232,268,86.6,181,212,85.4,44,85,51.8,19,11,5,13,1,9,19,47.4,10,12,2,10,17,36,16,2,1.2,1.2,-0.1,-0.1,1.0,0.8,+0.8,+0.8,0.0,0.08,15,0.13,0.33,6,40.0,18.0,3,1.1,0.19,-0.9,739,58,231,255,195,29,739,490,2100,949,14,8,6,19,8,489,51,Match Report
19,Chelsea,2021-12-29,Brighton,eng Premier League,D 1-1,1,1,0,47,1,0,0,0,369,475,77.7,8,40,7,1,36,6063,2730,195,218,89.4,128,155,82.6,34,70,48.6,23,15,12,10,1,7,21,33.3,14,11,4,7,10,33,25,0,0.7,0.7,-0.2,-0.2,0.5,1.2,+0.3,+0.3,+0.5,0.06,11,0.09,0.20,5,45.5,13.6,0,1.2,0.20,+0.2,602,71,190,255,152,28,602,351,1881,825,18,18,11,12,16,365,36,Match Report
