Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Leeds United,2022-05-22,Brentford,eng Premier League,W 2-1,2,1,+1,51,1,1,1,0,347,479,72.4,6,32,6,0,42,5754,2280,158,189,83.6,140,178,78.7,28,74,37.8,10,6,1,7,2,3,10,30.0,7,8,1,7,14,24,8,1,1.3,0.5,+0.5,-0.3,0.3,0.5,+0.7,+0.5,-0.3,0.04,13,0.08,0.20,5,38.5,24.7,0,0.9,0.19,-0.1,565,47,143,255,135,20,564,341,1647,803,14,14,8,13,6,344,42,Match Report
2,Leeds United,2022-05-15,Brighton,eng Premier League,D 1-1,1,1,0,50,1,0,0,0,308,449,68.6,15,24,11,5,31,5386,2389,129,160,80.6,112,150,74.7,36,82,43.9,13,7,5,5,3,3,14,21.4,11,13,2,11,11,24,7,0,1.6,1.6,-0.6,-0.6,1.2,1.2,-0.6,-0.6,-0.2,0.09,19,0.05,0.25,4,21.1,15.1,1,0.8,0.13,-0.2,549,55,202,199,153,29,549,253,1286,712,20,8,6,14,11,303,30,Match Report
3,Leeds United,2022-05-11,Chelsea,eng Premier League,L 0-3,0,3,-3,33,0,0,0,0,325,412,78.9,3,10,3,3,17,5259,1843,157,180,87.2,128,150,85.3,24,57,42.1,16,10,9,7,0,7,22,31.8,15,8,3,5,10,26,18,1,0.4,0.4,-0.9,-0.9,0.4,0.3,-0.4,-0.4,-0.4,0.08,5,0.00,,0,0.0,19.3,0,1.0,0.33,-2.0,518,81,230,235,55,8,518,287,1382,564,6,7,0,19,11,322,16,Match Report
4,Leeds United,2022-05-08,Arsenal,eng Premier League,L 1-2,1,2,-1,36,1,0,0,0,302,389,77.6,2,7,1,0,12,5213,1867,149,160,93.1,112,139,80.6,32,69,46.4,24,15,18,4,2,12,27,44.4,15,10,2,8,2,26,25,1,0.3,0.3,-1.7,-1.7,0.3,0.3,+0.7,+0.7,+0.7,0.10,3,0.33,0.50,2,66.7,11.0,0,2.1,0.23,+0.1,482,103,255,170,30,7,482,225,1126,477,6,4,2,6,7,299,12,Match Report
5,Leeds United,2022-04-30,Manchester City,eng Premier League,L 0-4,0,4,-4,42,0,0,0,0,363,471,77.1,4,20,8,1,35,6145,2125,170,194,87.6,156,184,84.8,28,62,45.2,29,13,16,10,3,18,41,43.9,23,17,7,10,3,32,13,0,1.3,1.3,-1.1,-1.1,1.1,0.7,-1.3,-1.3,-1.1,0.20,7,0.00,0.00,1,14.3,12.2,0,2.2,0.36,-1.8,581,100,255,200,84,24,581,282,1439,778,15,6,6,11,6,361,35,Match Report
6,Leeds United,2022-04-25,Crystal Palace,eng Premier League,D 0-0,0,0,0,47,0,0,0,0,308,444,69.4,8,23,4,0,39,5146,2191,140,173,80.9,122,157,77.7,30,79,38.0,29,17,15,11,3,15,39,38.5,24,12,4,8,12,41,25,0,0.5,0.5,-1.4,-1.4,0.4,0.3,-0.5,-0.5,-0.4,0.05,9,0.00,0.00,2,22.2,17.4,0,1.0,0.14,+1.0,570,76,247,228,102,10,570,286,1461,908,14,9,2,20,6,304,39,Match Report
7,Leeds United,2022-04-09,Watford,eng Premier League,W 3-0,3,0,+3,51,3,0,0,0,290,454,63.9,7,20,3,1,24,4746,2148,149,189,78.8,96,145,66.2,30,79,38.0,46,27,27,13,6,32,59,54.2,27,12,0,12,18,64,18,0,0.7,0.7,-0.4,-0.4,0.4,0.2,+2.3,+2.3,+1.6,0.07,10,0.30,0.60,5,50.0,17.9,0,1.0,0.95,+1.0,611,38,235,255,119,9,611,236,1119,474,10,6,2,22,12,288,24,Match Report
8,Leeds United,2022-04-02,Southampton,eng Premier League,D 1-1,1,1,0,56,1,0,0,0,361,510,70.8,8,26,16,1,59,6182,2825,167,218,76.6,139,180,77.2,40,75,53.3,19,11,8,10,1,13,27,48.1,14,15,4,11,10,29,35,0,1.2,1.2,-0.2,-0.2,0.8,0.6,-0.2,-0.2,-0.8,0.10,12,0.08,0.33,3,25.0,17.8,0,1.2,0.24,+0.2,660,77,232,255,146,36,660,225,1410,780,20,15,6,25,5,358,59,Match Report
9,Leeds United,2022-03-18,Wolves,eng Premier League,W 3-2,3,2,+1,52,3,0,0,0,385,491,78.4,9,33,8,0,36,6819,2319,171,195,87.7,170,197,86.3,36,73,49.3,26,17,12,10,4,17,31,54.8,14,10,2,8,7,33,15,0,2.0,2.0,+0.8,+0.8,1.4,1.3,+1.0,+1.0,-0.4,0.15,15,0.20,0.60,5,33.3,13.8,1,2.0,0.25,0.0,602,49,206,255,108,23,602,335,1425,794,18,6,4,13,8,380,36,Match Report
10,Leeds United,2022-03-13,Norwich City,eng Premier League,W 2-1,2,1,+1,52,2,0,0,0,350,475,73.7,11,29,12,2,48,5933,2529,168,197,85.3,126,166,75.9,39,73,53.4,28,17,13,13,2,18,35,51.4,17,21,4,17,14,42,14,0,2.5,2.5,+1.0,+1.0,2.4,2.4,-0.5,-0.5,-0.4,0.22,13,0.15,0.29,7,53.8,14.4,1,0.8,0.21,-0.2,611,65,215,237,166,32,611,314,1695,871,25,11,7,27,5,343,48,Match Report
11,Leeds United,2022-03-10,Aston Villa,eng Premier League,L 0-3,0,3,-3,51,0,0,0,0,352,463,76.0,3,29,4,0,37,6037,2267,182,210,86.7,125,157,79.6,38,73,52.1,25,18,11,13,1,11,29,37.9,18,10,4,6,6,31,14,0,0.2,0.2,-1.3,-1.3,0.2,0.2,-0.2,-0.2,-0.2,0.05,4,0.00,0.00,1,25.0,22.5,0,2.6,0.29,-0.4,560,56,188,255,107,11,560,236,1539,905,13,9,5,18,4,350,37,Match Report
12,Leeds United,2022-03-05,Leicester City,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,397,504,78.8,15,47,13,3,50,7185,2671,175,196,89.3,160,191,83.8,48,83,57.8,21,8,12,5,4,14,29,48.3,15,18,3,15,7,28,23,0,1.7,1.7,+1.3,+1.3,1.3,1.4,-1.7,-1.7,-1.3,0.09,19,0.00,0.00,4,21.1,13.3,0,0.4,0.10,-0.6,650,67,222,255,175,30,650,309,1857,1014,21,10,3,18,9,394,49,Match Report
13,Leeds United,2022-02-26,Tottenham,eng Premier League,L 0-4,0,4,-4,50,0,0,0,0,411,495,83.0,12,43,9,1,50,7083,2195,175,201,87.1,189,216,87.5,32,47,68.1,17,6,6,7,4,9,22,40.9,13,14,3,11,9,26,6,0,1.5,1.5,-0.4,-0.4,0.9,1.1,-1.5,-1.5,-0.9,0.08,19,0.00,0.00,2,10.5,18.0,1,2.4,0.24,-1.6,584,35,121,255,201,39,584,282,1740,988,16,11,5,14,6,410,50,Match Report
14,Leeds United,2022-02-23,Liverpool,eng Premier League,L 0-6,0,6,-6,37,0,0,0,0,302,413,73.1,2,14,2,0,19,5276,1857,138,153,90.2,130,167,77.8,28,73,38.4,21,10,12,8,1,12,32,37.5,20,16,3,13,15,36,9,0,0.2,0.2,-5.6,-4.0,0.2,0.2,-0.2,-0.2,-0.2,0.08,3,0.00,0.00,2,66.7,21.1,0,4.6,0.19,-1.4,511,98,255,200,50,4,511,328,1414,723,9,11,0,18,7,300,18,Match Report
15,Leeds United,2022-02-20,Manchester Utd,eng Premier League,L 2-4,2,4,-2,54,2,0,0,0,345,446,77.4,14,27,6,2,40,5780,2310,161,180,89.4,154,187,82.4,24,56,42.9,24,12,10,9,5,10,25,40.0,15,12,4,8,17,41,16,1,1.8,1.8,-0.4,-0.4,1.7,0.8,+0.2,+0.2,+0.3,0.11,16,0.13,0.33,6,37.5,19.3,0,2.0,0.22,-2.0,565,63,223,237,117,17,565,364,2209,1175,30,10,8,22,8,342,39,Match Report
16,Leeds United,2022-02-12,Everton,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,421,528,79.7,6,27,5,1,43,7174,2536,185,211,87.7,179,208,86.1,40,63,63.5,29,16,15,9,5,13,20,65.0,7,12,7,5,13,42,19,0,0.3,0.3,-2.5,-2.5,0.2,0.2,-0.3,-0.3,-0.2,0.04,7,0.00,,0,0.0,24.1,0,3.1,0.31,+0.1,678,74,255,255,122,11,678,436,2272,1319,17,12,2,32,4,416,42,Match Report
17,Leeds United,2022-02-09,Aston Villa,eng Premier League,D 3-3,3,3,0,60,3,0,0,0,410,513,79.9,11,27,10,1,54,7462,2453,163,188,86.7,204,235,86.8,35,60,58.3,3,2,1,2,0,2,11,18.2,9,10,2,8,10,13,13,0,1.8,1.8,+0.2,+0.2,0.7,0.5,+1.2,+1.2,+0.3,0.12,16,0.19,0.43,7,43.8,13.9,0,2.3,0.57,-0.7,613,51,177,255,137,22,613,351,2060,1129,13,10,1,12,6,408,54,Match Report
18,Leeds United,2022-01-22,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,62,0,0,0,0,409,528,77.5,6,36,12,2,56,6878,2468,207,243,85.2,157,184,85.3,35,77,45.5,21,13,13,6,2,11,20,55.0,9,14,8,6,7,28,20,0,0.7,0.7,-0.2,-0.2,0.4,0.6,-0.7,-0.7,-0.4,0.05,13,0.00,0.00,4,30.8,16.1,0,1.3,0.43,+0.3,641,74,206,248,195,35,641,410,2633,1693,34,23,11,15,6,406,55,Match Report
19,Leeds United,2022-01-16,West Ham,eng Premier League,W 3-2,3,2,+1,52,3,0,0,0,355,486,73.0,15,18,9,1,22,5545,2124,163,196,83.2,130,165,78.8,28,67,41.8,24,14,17,3,4,10,23,43.5,13,16,4,12,10,34,24,0,2.2,2.2,-0.2,-0.2,2.0,0.7,+0.8,+0.8,+1.0,0.12,18,0.17,0.60,5,27.8,16.8,2,0.9,0.17,-1.1,625,76,255,223,132,30,625,317,1591,815,16,14,5,16,10,352,22,Match Report
