Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Leicester City,2022-05-22,Southampton,eng Premier League,W 4-1,4,1,+3,51,4,0,0,0,375,479,78.3,9,30,9,4,28,6687,2727,161,196,82.1,167,189,88.4,34,61,55.7,20,5,10,8,2,10,18,55.6,8,19,0,19,7,27,16,0,3.4,3.4,+2.3,+3.1,2.5,1.2,+0.6,+0.6,+0.5,0.32,12,0.33,0.67,6,50.0,12.8,0,1.1,0.07,+0.1,588,55,223,250,121,22,588,376,1578,730,13,15,5,17,9,373,28,Match Report
2,Leicester City,2022-05-19,Chelsea,eng Premier League,D 1-1,1,1,0,33,1,0,0,0,311,394,78.9,1,21,0,0,15,5318,1882,143,162,88.3,137,152,90.1,24,58,41.4,18,8,13,4,1,5,21,23.8,16,15,8,7,12,30,31,0,0.1,0.1,-1.6,-1.6,0.0,0.1,+0.9,+0.9,0.0,0.04,2,0.50,1.00,1,50.0,25.1,0,1.5,0.21,+0.5,507,96,255,186,52,0,507,274,1532,720,14,6,1,12,7,309,15,Match Report
3,Leicester City,2022-05-15,Watford,eng Premier League,W 5-1,5,1,+4,59,5,0,0,0,484,580,83.4,13,37,12,3,40,8566,2937,219,240,91.3,218,248,87.9,39,72,54.2,26,14,12,13,1,8,20,40.0,12,12,0,12,7,33,20,1,2.5,2.5,+1.1,+1.1,2.5,1.4,+2.5,+2.5,+2.5,0.19,13,0.38,0.71,7,53.8,16.4,0,1.4,0.28,+0.4,687,69,240,255,136,15,687,453,2368,1295,19,19,2,12,11,481,40,Match Report
4,Leicester City,2022-05-11,Norwich City,eng Premier League,W 3-0,3,0,+3,65,3,0,0,0,607,703,86.3,14,43,17,4,70,10713,3325,256,280,91.4,268,289,92.7,65,95,68.4,24,17,10,10,4,14,22,63.6,8,12,0,12,4,28,11,0,2.0,2.0,+0.9,+0.9,1.4,1.5,+1.0,+1.0,+0.6,0.10,20,0.15,0.38,8,40.0,18.5,0,0.8,0.18,+0.8,808,42,177,255,202,43,808,575,2945,1630,24,26,8,17,7,603,70,Match Report
5,Leicester City,2022-05-08,Everton,eng Premier League,L 1-2,1,2,-1,66,1,0,0,0,581,692,84.0,14,50,10,3,57,9529,2865,275,310,88.7,257,283,90.8,37,65,56.9,16,9,8,3,5,7,18,38.9,11,10,3,7,5,21,7,0,1.5,1.5,+0.4,+0.4,1.1,1.1,-0.5,-0.5,-1.1,0.09,16,0.06,0.13,8,50.0,19.8,0,1.0,0.25,-1.0,778,37,168,255,222,19,778,480,2872,1667,20,26,0,14,11,574,57,Match Report
6,Leicester City,2022-05-01,Tottenham,eng Premier League,L 1-3,1,3,-2,60,1,0,0,0,569,675,84.3,5,34,5,3,38,9628,2691,255,277,92.1,264,297,88.9,41,70,58.6,16,9,9,5,2,10,21,47.6,11,18,2,16,6,22,12,1,0.5,0.5,-0.7,-0.7,0.5,0.4,+0.5,+0.5,+0.5,0.08,6,0.17,0.50,2,33.3,20.4,0,2.1,0.30,-0.9,781,59,197,255,152,13,781,563,2359,1064,16,18,2,18,12,569,38,Match Report
7,Leicester City,2022-04-23,Aston Villa,eng Premier League,D 0-0,0,0,0,64,0,0,0,0,476,579,82.2,2,33,3,1,53,8279,2469,187,209,89.5,235,270,87.0,40,74,54.1,13,7,5,6,2,4,14,28.6,10,15,4,11,6,19,13,0,0.3,0.3,-0.6,-0.6,0.1,0.2,-0.3,-0.3,-0.1,0.06,5,0.00,0.00,2,40.0,24.2,2,0.1,0.04,+0.1,670,51,191,255,141,12,670,455,2422,1202,24,18,4,19,10,474,53,Match Report
8,Leicester City,2022-04-20,Everton,eng Premier League,D 1-1,1,1,0,63,1,0,0,0,542,670,80.9,8,30,7,1,38,8854,2795,268,302,88.7,231,269,85.9,34,68,50.0,11,5,7,1,3,4,14,28.6,10,10,2,8,4,15,18,0,0.9,0.9,-0.9,-0.9,0.6,0.7,+0.1,+0.1,-0.6,0.08,11,0.09,0.33,3,27.3,16.5,0,0.7,0.23,-0.3,762,70,255,255,139,23,762,304,1801,1009,17,10,4,10,6,539,38,Match Report
9,Leicester City,2022-04-17,Newcastle Utd,eng Premier League,L 1-2,1,2,-1,68,1,0,0,0,517,630,82.1,8,41,6,1,43,9097,2903,253,281,90.0,215,248,86.7,44,79,55.7,22,17,6,11,5,8,20,40.0,12,7,0,7,7,29,12,0,0.6,0.6,-1.2,-1.2,0.6,1.2,+0.4,+0.4,+0.4,0.08,8,0.13,0.50,2,25.0,16.4,0,2.0,0.36,0.0,745,53,205,255,156,21,745,391,2172,1169,19,16,3,22,13,514,43,Match Report
10,Leicester City,2022-04-10,Crystal Palace,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,448,546,82.1,8,28,5,2,33,7509,2433,208,238,87.4,192,223,86.1,38,59,64.4,20,9,7,12,1,7,19,36.8,12,18,5,13,11,31,11,0,1.0,1.0,-0.5,+0.4,0.6,0.7,+1.0,+1.0,+1.4,0.08,12,0.17,0.67,3,25.0,21.1,2,1.4,0.14,+0.4,650,66,206,255,121,14,650,407,1655,780,8,5,3,16,15,446,33,Match Report
