Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Liverpool,2022-05-22,Wolves,eng Premier League,W 3-1,3,1,+2,63,3,0,0,0,632,730,86.6,20,57,18,4,75,10615,3920,301,327,92.0,261,293,89.1,54,76,71.1,21,13,9,8,4,11,19,57.9,8,9,0,9,6,27,8,1,2.7,2.7,+1.4,+1.4,2.2,2.4,+0.3,+0.3,+0.8,0.10,29,0.10,0.43,7,24.1,15.6,0,1.5,0.30,+0.5,835,42,157,255,255,59,835,534,3156,1822,36,27,11,14,12,626,74,Match Report
2,Liverpool,2022-05-17,Southampton,eng Premier League,W 2-1,2,1,+1,70,2,0,0,0,690,800,86.3,19,66,16,4,74,11514,3505,323,351,92.0,308,345,89.3,42,63,66.7,18,10,6,5,7,10,14,71.4,4,6,2,4,9,27,14,0,1.3,1.3,+1.2,+1.2,1.2,1.0,+0.7,+0.7,-0.2,0.05,24,0.08,0.40,5,20.8,18.6,0,0.6,0.31,-0.4,906,50,188,255,255,36,906,554,2967,1565,33,19,9,13,10,687,74,Match Report
3,Liverpool,2022-05-10,Aston Villa,eng Premier League,W 2-1,2,1,+1,60,2,0,0,0,468,575,81.4,11,38,11,2,49,8439,3164,208,238,87.4,178,201,88.6,63,92,68.5,15,10,4,9,2,6,18,33.3,12,7,0,7,8,23,14,0,1.8,1.8,+0.3,+0.3,0.8,1.4,+0.2,+0.2,+0.2,0.12,17,0.12,0.40,5,29.4,17.0,2,1.0,0.29,0.0,668,51,188,255,170,35,668,385,2358,1261,31,16,8,13,2,462,49,Match Report
4,Liverpool,2022-05-07,Tottenham,eng Premier League,D 1-1,1,1,0,64,1,0,0,0,561,687,81.7,16,68,18,3,76,10204,3226,240,263,91.3,255,300,85.0,57,94,60.6,19,11,7,7,5,11,20,55.0,9,13,3,10,4,23,14,0,1.3,1.3,+0.4,+0.4,1.2,1.5,-0.3,-0.3,-0.2,0.06,22,0.05,0.33,3,13.6,19.6,1,0.7,0.22,-0.3,804,40,110,255,255,39,804,511,2211,1205,18,23,6,10,15,560,75,Match Report
5,Liverpool,2022-04-30,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,64,1,0,0,0,464,567,81.8,15,36,14,3,39,8177,2960,220,250,88.0,197,227,86.8,42,72,58.3,15,6,9,5,1,4,19,21.1,15,14,1,13,6,21,15,0,2.3,2.3,+2.1,+2.1,1.9,0.8,-1.3,-1.3,-0.9,0.10,24,0.04,0.10,10,41.7,17.7,2,0.2,0.10,+0.2,683,59,216,255,150,32,683,375,2003,1060,16,15,7,16,12,463,39,Match Report
6,Liverpool,2022-04-24,Everton,eng Premier League,W 2-0,2,0,+2,82,2,0,0,0,739,859,86.0,13,75,21,6,84,13151,4089,318,345,92.2,351,386,90.9,65,98,66.3,15,10,8,5,2,12,20,60.0,8,14,4,10,4,19,6,0,1.7,1.7,+1.3,+1.3,1.6,1.4,+0.3,+0.3,+0.4,0.11,18,0.11,0.50,4,22.2,15.3,0,0.1,0.10,+0.1,970,43,165,255,255,40,970,582,2713,1530,21,36,8,20,8,736,84,Match Report
7,Liverpool,2022-04-19,Manchester Utd,eng Premier League,W 4-0,4,0,+4,71,4,0,0,0,850,946,89.9,13,60,13,1,60,14733,4554,390,413,94.4,384,408,94.1,69,102,67.6,15,11,4,9,2,4,11,36.4,7,12,1,11,10,25,7,0,2.0,2.0,+1.9,+1.9,2.0,2.1,+2.0,+2.0,+2.0,0.14,14,0.29,0.80,5,35.7,15.5,0,0.1,0.14,+0.1,1048,70,255,255,231,31,1048,629,2729,1446,22,21,7,14,16,846,59,Match Report
8,Liverpool,2022-04-10,Manchester City,eng Premier League,D 2-2,2,2,0,45,2,0,0,0,399,497,80.3,5,28,8,1,39,7476,2803,167,188,88.8,190,220,86.4,40,74,54.1,18,12,10,7,1,14,24,58.3,10,7,3,4,8,26,19,0,1.3,1.3,0.0,0.0,1.3,1.3,+0.7,+0.7,+0.7,0.22,6,0.33,0.50,4,66.7,22.9,0,0.9,0.22,-1.1,612,94,244,255,112,18,612,292,1296,705,10,11,3,14,12,393,39,Match Report
9,Liverpool,2022-04-02,Watford,eng Premier League,W 2-0,2,0,+2,73,1,1,1,0,648,774,83.7,15,57,7,3,69,11790,3449,270,305,88.5,296,340,87.1,66,92,71.7,23,13,5,10,8,9,14,64.3,5,7,1,6,7,30,4,0,2.2,1.4,+1.5,+0.8,1.3,1.4,-0.2,-0.4,-0.3,0.08,19,0.05,0.50,2,10.5,18.7,0,0.2,0.10,+0.2,880,35,165,255,251,25,879,532,2539,1403,21,18,5,13,11,643,69,Match Report
10,Liverpool,2022-03-16,Arsenal,eng Premier League,W 2-0,2,0,+2,51,2,0,0,0,457,572,79.9,7,28,4,1,33,7819,2719,226,250,90.4,185,227,81.5,40,70,57.1,16,8,8,7,1,2,16,12.5,14,15,4,11,11,27,14,1,0.8,0.8,+0.3,+0.3,0.7,1.0,+1.2,+1.2,+1.3,0.09,9,0.22,0.67,3,33.3,14.4,0,0.3,0.14,+0.3,669,66,207,255,122,16,669,377,1594,838,15,12,5,17,11,456,33,Match Report
11,Liverpool,2022-03-12,Brighton,eng Premier League,W 2-0,2,0,+2,48,1,1,1,0,341,443,77.0,10,36,12,1,41,6782,2815,139,156,89.1,127,158,80.4,65,98,66.3,15,9,5,10,0,4,14,28.6,10,8,1,7,9,24,16,0,2.2,1.5,+1.7,+1.0,1.0,1.6,-0.2,-0.5,0.0,0.09,17,0.06,0.13,8,47.1,15.2,0,0.3,0.08,+0.3,552,47,156,255,140,36,551,292,1447,740,17,12,6,20,10,336,40,Match Report
12,Liverpool,2022-03-05,West Ham,eng Premier League,W 1-0,1,0,+1,68,1,0,0,0,646,758,85.2,17,61,10,1,58,10541,3548,302,336,89.9,278,313,88.8,40,62,64.5,11,6,6,4,1,8,14,57.1,6,11,4,7,5,16,10,0,2.4,2.4,+1.1,+1.1,2.1,1.6,-1.4,-1.4,-1.1,0.11,22,0.05,0.20,5,22.7,19.1,1,0.9,0.23,+0.9,864,67,193,255,255,29,864,534,2820,1493,26,27,9,19,10,643,57,Match Report
