Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Southampton,2022-05-22,Leicester City,eng Premier League,L 1-4,1,4,-3,49,0,1,1,0,349,467,74.7,5,35,9,3,34,5842,2113,177,200,88.5,134,165,81.2,30,65,46.2,17,13,9,6,2,8,15,53.3,7,11,2,9,11,28,9,1,1.1,0.4,-2.3,-3.1,0.3,1.0,-0.1,-0.4,-0.3,0.06,6,0.00,0.00,1,16.7,18.9,1,3.3,0.58,-0.7,566,46,160,251,158,14,565,309,1729,827,20,15,5,14,10,345,34,Match Report
2,Southampton,2022-05-17,Liverpool,eng Premier League,L 1-2,1,2,-1,30,1,0,0,0,243,335,72.5,2,22,2,0,23,4617,1734,105,124,84.7,109,136,80.1,27,67,40.3,15,9,7,6,2,5,16,31.3,11,18,9,9,8,23,42,0,0.1,0.1,-1.2,-1.2,0.1,0.1,+0.9,+0.9,+0.9,0.03,4,0.25,0.50,2,50.0,25.2,1,1.1,0.23,-0.9,477,109,246,161,72,7,477,246,1009,414,6,5,2,17,8,243,23,Match Report
3,Southampton,2022-05-07,Brentford,eng Premier League,L 0-3,0,3,-3,59,0,0,0,0,399,520,76.7,13,34,10,5,41,6304,2362,208,242,86.0,156,186,83.9,24,57,42.1,17,5,10,7,0,11,21,52.4,10,10,5,5,8,25,17,0,1.4,1.4,-1.2,-1.2,0.9,0.9,-1.4,-1.4,-0.9,0.07,19,0.00,0.00,4,21.1,18.8,2,1.2,0.24,-1.8,628,66,174,255,195,29,628,365,1918,1005,17,19,5,11,6,392,41,Match Report
4,Southampton,2022-04-30,Crystal Palace,eng Premier League,L 1-2,1,2,-1,38,1,0,0,0,237,362,65.5,7,13,2,0,21,3990,1873,124,157,79.0,79,103,76.7,24,66,36.4,23,17,11,9,3,5,17,29.4,12,19,6,13,13,36,25,0,0.6,0.6,-0.5,-0.5,0.6,0.5,+0.4,+0.4,+0.4,0.08,8,0.13,0.33,3,37.5,16.4,0,1.0,0.20,-1.0,483,60,177,195,117,15,483,236,1128,558,12,7,2,17,6,235,21,Match Report
5,Southampton,2022-04-24,Brighton,eng Premier League,D 2-2,2,2,0,52,2,0,0,0,291,432,67.4,12,20,6,2,37,4754,2012,161,201,80.1,97,130,74.6,26,68,38.2,13,4,7,3,3,3,7,42.9,4,10,2,8,17,30,23,0,0.9,0.9,-0.8,-0.8,0.6,0.9,+1.1,+1.1,+0.4,0.05,18,0.11,0.40,5,27.8,20.4,1,2.2,0.61,+1.2,557,48,171,214,175,25,557,275,1315,645,14,19,5,13,16,287,37,Match Report
6,Southampton,2022-04-21,Burnley,eng Premier League,L 0-2,0,2,-2,56,0,0,0,0,417,530,78.7,9,35,5,0,41,7268,2387,202,229,88.2,165,198,83.3,41,81,50.6,15,9,8,5,2,5,15,33.3,10,15,5,10,12,27,25,0,0.9,0.9,-0.7,-0.7,0.8,0.8,-0.9,-0.9,-0.8,0.08,11,0.00,0.00,3,27.3,15.1,1,2.2,0.37,+0.2,647,56,206,255,170,17,647,377,1872,874,15,14,6,13,7,414,41,Match Report
7,Southampton,2022-04-16,Arsenal,eng Premier League,W 1-0,1,0,+1,25,1,0,0,0,140,238,58.8,6,11,2,0,14,2695,1272,55,75,73.3,57,74,77.0,20,66,30.3,14,7,8,4,2,6,17,35.3,11,12,4,8,17,31,35,1,0.8,0.8,-0.9,-0.9,0.7,0.2,+0.2,+0.2,+0.3,0.09,9,0.11,0.33,3,33.3,15.9,1,1.5,0.25,+1.5,369,73,165,121,85,13,369,167,904,357,10,6,2,12,5,138,14,Match Report
8,Southampton,2022-04-09,Chelsea,eng Premier League,L 0-6,0,6,-6,30,0,0,0,0,237,333,71.2,4,12,6,0,23,4003,1615,102,122,83.6,81,102,79.4,30,72,41.7,18,11,8,6,4,7,15,46.7,8,14,2,12,10,28,15,2,0.5,0.5,-3.7,-3.7,0.5,0.4,-0.5,-0.5,-0.5,0.12,4,0.00,0.00,1,25.0,17.0,0,4.3,0.32,-1.7,446,49,154,194,103,9,446,254,1322,488,11,8,0,18,18,236,23,Match Report
9,Southampton,2022-04-02,Leeds United,eng Premier League,D 1-1,1,1,0,44,1,0,0,0,250,403,62.0,11,22,10,3,35,4604,2066,111,143,77.6,84,130,64.6,41,88,46.6,9,4,5,2,2,4,8,50.0,4,18,6,12,13,22,25,2,1.4,1.4,+0.2,+0.2,1.1,1.0,-0.4,-0.4,-1.1,0.12,14,0.07,0.20,5,35.7,16.4,1,1.0,0.34,0.0,540,67,168,213,169,35,540,179,1148,532,16,10,2,26,6,247,34,Match Report
10,Southampton,2022-03-13,Watford,eng Premier League,L 1-2,1,2,-1,63,1,0,0,0,425,568,74.8,10,42,10,2,54,7737,2647,171,220,77.7,203,238,85.3,43,80,53.8,17,9,6,10,1,10,18,55.6,8,7,1,6,8,25,12,2,1.4,1.4,-0.3,-0.3,1.3,1.4,-0.4,-0.4,-0.3,0.11,13,0.08,0.17,6,46.2,12.8,1,2.1,0.43,+0.1,678,52,167,255,190,24,678,329,2073,1245,30,18,4,18,11,421,54,Match Report
