Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Tottenham,2022-05-22,Norwich City,eng Premier League,W 5-0,5,0,+5,59,5,0,0,0,574,644,89.1,16,37,14,2,48,9137,2748,283,305,92.8,227,248,91.5,42,61,68.9,8,5,4,3,1,4,6,66.7,2,9,4,5,9,17,13,1,3.4,3.4,+3.0,+3.0,3.2,1.7,+1.6,+1.6,+0.8,0.20,19,0.26,0.42,12,63.2,14.9,0,0.0,,0.0,735,50,215,255,134,28,735,574,2496,1186,15,13,7,12,6,570,48,Match Report
2,Tottenham,2022-05-15,Burnley,eng Premier League,W 1-0,1,0,+1,68,0,1,1,0,600,705,85.1,17,47,14,3,54,10336,2966,278,304,91.4,233,267,87.3,64,89,71.9,9,6,4,1,4,4,7,57.1,3,2,1,1,4,13,17,0,2.2,1.4,+1.5,+0.7,1.3,1.3,-1.2,-1.4,-1.3,0.07,20,0.00,0.00,6,30.0,20.3,0,0.1,0.10,+0.1,791,46,177,255,231,33,790,551,2751,1464,21,17,6,12,12,594,54,Match Report
3,Tottenham,2022-05-12,Arsenal,eng Premier League,W 3-0,3,0,+3,57,2,1,1,0,521,589,88.5,12,34,8,1,30,8578,2277,219,232,94.4,236,250,94.4,38,66,57.6,16,6,7,6,3,12,20,60.0,8,6,2,4,13,29,12,0,2.7,2.0,+2.3,+1.5,1.9,1.1,+0.3,0.0,-0.9,0.14,15,0.13,0.40,5,33.3,14.3,0,0.3,0.05,+0.3,677,59,171,255,140,28,676,404,1778,1018,7,9,1,15,5,518,30,Match Report
4,Tottenham,2022-05-07,Liverpool,eng Premier League,D 1-1,1,1,0,36,1,0,0,0,282,381,74.0,6,15,9,5,29,5146,2010,133,144,92.4,95,122,77.9,39,77,50.6,20,12,11,9,0,5,11,45.5,6,18,13,5,13,33,53,0,0.9,0.9,-0.4,-0.4,0.7,1.2,+0.1,+0.1,+0.3,0.11,8,0.13,0.33,3,37.5,17.5,0,0.4,0.14,-0.6,539,149,255,159,75,12,539,302,1537,815,20,11,4,15,8,281,29,Match Report
5,Tottenham,2022-05-01,Leicester City,eng Premier League,W 3-1,3,1,+2,40,3,0,0,0,350,442,79.2,10,22,8,3,31,6268,2328,163,189,86.2,135,153,88.2,46,70,65.7,20,14,5,12,3,8,16,50.0,8,14,1,13,15,35,25,0,1.2,1.2,+0.7,+0.7,0.7,1.0,+1.8,+1.8,+2.3,0.09,13,0.23,0.43,7,53.8,14.2,0,0.7,0.34,-0.3,566,61,210,232,131,26,566,355,2103,1006,26,13,9,12,6,348,31,Match Report
6,Tottenham,2022-04-23,Brentford,eng Premier League,D 0-0,0,0,0,56,0,0,0,0,454,554,81.9,7,41,13,4,49,7476,2376,231,259,89.2,187,211,88.6,26,54,48.1,11,8,4,5,2,6,8,75.0,2,19,8,11,13,24,34,0,0.6,0.6,-0.3,-0.3,0.5,0.9,-0.6,-0.6,-0.5,0.07,9,0.00,,0,0.0,16.7,0,0.1,0.13,+0.1,683,72,189,255,194,26,683,385,2181,1191,29,22,5,24,9,453,49,Match Report
7,Tottenham,2022-04-16,Brighton,eng Premier League,L 0-1,0,1,-1,49,0,0,0,0,418,513,81.5,3,19,3,0,31,7744,2257,157,177,88.7,213,230,92.6,40,78,51.3,15,8,10,5,0,3,9,33.3,6,11,3,8,8,23,18,1,0.5,0.5,-0.1,-0.1,0.4,0.3,-0.5,-0.5,-0.4,0.10,5,0.00,,0,0.0,20.8,0,1.2,0.31,+0.2,600,81,255,241,80,14,600,331,1722,1011,9,10,4,12,11,415,31,Match Report
8,Tottenham,2022-04-09,Aston Villa,eng Premier League,W 4-0,4,0,+4,48,4,0,0,0,423,489,86.5,6,13,3,0,24,7014,2098,208,220,94.5,160,176,90.9,34,53,64.2,20,9,14,6,0,9,18,50.0,9,13,6,7,6,26,30,1,1.1,1.1,-0.5,-0.5,0.9,0.3,+2.9,+2.9,+2.1,0.10,11,0.36,0.80,5,45.5,18.8,0,1.1,0.14,+1.1,602,100,255,236,72,15,602,331,2104,1134,18,13,8,9,7,422,24,Match Report
9,Tottenham,2022-04-03,Newcastle Utd,eng Premier League,W 5-1,5,1,+4,60,5,0,0,0,566,631,89.7,17,29,10,3,43,9159,2557,267,278,96.0,236,266,88.7,37,54,68.5,17,10,7,9,1,8,15,53.3,7,7,4,3,2,19,18,0,3.1,3.1,+2.5,+2.5,2.5,1.4,+1.9,+1.9,+1.5,0.16,19,0.26,0.83,6,31.6,16.0,1,0.6,0.58,-0.4,713,67,229,255,147,29,713,439,2408,1255,23,19,8,6,8,564,43,Match Report
10,Tottenham,2022-03-20,West Ham,eng Premier League,W 3-1,3,1,+2,53,2,0,0,0,561,635,88.3,14,37,5,1,31,8528,2471,310,324,95.7,185,210,88.1,40,64,62.5,13,9,9,2,2,7,15,46.7,8,4,0,4,7,20,9,0,3.0,3.0,+2.4,+2.4,2.8,1.5,-1.0,-1.0,-0.8,0.18,17,0.12,0.50,4,23.5,16.6,0,0.3,0.26,-0.7,704,41,176,255,171,21,704,560,2911,1425,31,17,10,12,5,557,31,Match Report
