Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Watford,2022-05-22,Chelsea,eng Premier League,L 1-2,1,2,-1,29,1,0,0,0,224,309,72.5,6,17,7,3,22,4017,1869,103,121,85.1,84,105,80.0,27,54,50.0,25,13,18,7,0,11,17,64.7,6,9,4,5,14,39,17,0,0.6,0.6,-1.6,-1.6,0.6,0.3,+0.4,+0.4,+0.4,0.08,8,0.13,0.33,3,37.5,21.9,1,3.0,0.37,+1.0,421,67,183,167,76,12,421,254,1294,518,8,9,2,3,18,222,21,Match Report
2,Watford,2022-05-15,Leicester City,eng Premier League,L 1-5,1,5,-4,41,1,0,0,0,303,400,75.8,10,29,5,1,30,5841,2498,129,147,87.8,126,148,85.1,40,79,50.6,19,10,7,9,3,8,13,61.5,5,5,0,5,16,35,10,2,1.4,1.4,-1.1,-1.1,1.0,1.0,-0.4,-0.4,-1.0,0.11,13,0.08,0.20,5,38.5,12.4,0,3.2,0.46,-1.8,492,47,144,207,145,25,492,252,1360,671,18,9,8,12,18,298,29,Match Report
3,Watford,2022-05-11,Everton,eng Premier League,D 0-0,0,0,0,48,0,0,0,0,400,496,80.6,2,33,2,0,32,7141,2501,172,195,88.2,182,203,89.7,40,78,51.3,15,10,8,5,2,7,17,41.2,10,14,7,7,12,27,21,0,0.3,0.3,-0.4,-0.4,0.2,0.7,-0.3,-0.3,-0.2,0.05,6,0.00,,0,0.0,20.0,1,0.9,0.18,+0.9,629,75,248,255,110,9,629,350,1782,913,16,12,1,18,14,396,29,Match Report
4,Watford,2022-05-07,Crystal Palace,eng Premier League,L 0-1,0,1,-1,33,0,0,0,0,194,284,68.3,4,15,0,0,11,3863,2037,93,107,86.9,65,84,77.4,35,77,45.5,16,10,9,5,2,8,20,40.0,12,9,4,5,11,27,24,0,0.4,0.4,-1.8,-1.0,0.4,0.4,-0.4,-0.4,-0.4,0.07,6,0.00,0.00,1,16.7,17.7,0,1.5,0.08,+0.5,391,72,185,149,64,10,391,212,995,457,8,4,1,14,7,192,11,Match Report
5,Watford,2022-04-30,Burnley,eng Premier League,L 1-2,1,2,-1,47,0,0,0,0,248,393,63.1,8,17,7,2,27,4203,1838,124,156,79.5,87,124,70.2,28,84,33.3,16,8,8,7,1,8,10,80.0,2,18,6,12,8,24,28,1,1.0,1.0,-0.6,-0.6,0.7,0.5,-1.0,-1.0,-0.7,0.08,13,0.00,0.00,1,7.7,15.5,1,0.9,0.16,-1.1,529,67,186,200,147,26,529,256,1490,716,21,13,6,18,11,242,26,Match Report
6,Watford,2022-04-23,Manchester City,eng Premier League,L 1-5,1,5,-4,27,1,0,0,0,194,269,72.1,5,10,1,0,12,3402,1457,92,107,86.0,74,89,83.1,23,52,44.2,11,7,6,5,0,5,13,38.5,8,12,5,7,16,27,30,1,0.5,0.5,-3.2,-2.4,0.5,0.6,+0.5,+0.5,+0.5,0.10,5,0.20,0.50,2,40.0,14.5,0,3.1,0.27,-1.9,381,76,173,154,65,10,381,218,1071,457,10,11,4,16,11,191,12,Match Report
7,Watford,2022-04-16,Brentford,eng Premier League,L 1-2,1,2,-1,50,1,0,0,0,328,443,74.0,10,30,13,5,44,5708,2357,161,180,89.4,126,158,79.7,33,76,43.4,13,11,6,4,3,9,21,42.9,12,12,4,8,17,30,21,0,1.7,1.7,-0.2,-0.2,1.0,0.8,-0.7,-0.7,0.0,0.11,18,0.06,0.25,4,22.2,16.3,2,2.4,0.48,+0.4,577,45,182,229,169,23,577,249,1536,633,14,11,1,22,13,324,43,Match Report
8,Watford,2022-04-09,Leeds United,eng Premier League,L 0-3,0,3,-3,49,0,0,0,0,294,441,66.7,5,24,3,1,39,4815,2226,159,205,77.6,96,135,71.1,28,63,44.4,21,15,11,7,3,9,21,42.9,12,11,0,11,14,35,20,1,1.1,1.1,+0.4,+0.4,1.0,0.5,-1.1,-1.1,-1.0,0.14,8,0.00,0.00,1,12.5,26.0,1,2.1,0.42,-0.9,593,44,175,255,175,13,593,293,1677,718,17,18,3,23,14,294,39,Match Report
9,Watford,2022-04-02,Liverpool,eng Premier League,L 0-2,0,2,-2,27,0,0,0,0,180,293,61.4,5,13,3,1,12,3085,1226,74,100,74.0,73,97,75.3,20,66,30.3,23,8,15,6,2,12,18,66.7,6,16,7,9,14,37,23,1,0.6,0.6,-1.5,-0.8,0.6,0.2,-0.6,-0.6,-0.6,0.13,5,0.00,0.00,2,40.0,15.3,0,2.0,0.34,0.0,419,72,184,176,67,6,419,153,959,457,9,6,1,15,14,178,12,Match Report
10,Watford,2022-03-13,Southampton,eng Premier League,W 2-1,2,1,+1,37,2,0,0,0,220,337,65.3,7,29,7,1,26,4679,2038,76,101,75.2,86,120,71.7,47,95,49.5,18,15,9,9,0,7,14,50.0,7,14,2,12,20,38,33,0,1.7,1.7,+0.3,+0.3,1.2,0.5,+0.3,+0.3,-0.2,0.19,9,0.22,0.40,5,55.6,16.9,0,2.1,0.35,+1.1,481,67,182,189,120,22,481,181,1183,525,17,10,7,21,7,217,26,Match Report
