Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Crystal Palace,2023-05-28,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,66,1,0,0,0,491,584,84.1,13,57,12,4,51,8458,2904,215,241,89.2,219,240,91.3,38,65,58.5,15,6,4,7,4,7,9,77.8,2,9,1,8,2,17,13,0,1.4,1.4,+0.9,+0.9,1.3,1.1,-0.4,-0.4,-0.3,0.10,15,0.07,0.33,3,20.0,17.3,1,0.6,0.15,-0.4,677,35,172,255,186,30,677,498,2694,1484,29,15,6,19,11,489,51,Match Report
2,Crystal Palace,2023-05-20,Fulham,eng Premier League,D 2-2,2,2,0,51,2,0,0,0,316,413,76.5,7,27,8,0,33,5750,2151,148,178,83.1,133,148,89.9,31,68,45.6,12,4,7,4,1,5,11,45.5,6,14,4,10,9,21,18,0,1.6,1.6,-0.1,+0.7,0.6,0.8,+0.4,+0.4,+0.4,0.18,11,0.18,0.40,5,45.5,16.9,1,1.4,0.10,-0.6,530,65,172,241,125,26,530,300,1753,960,16,10,6,17,7,311,33,Match Report
3,Crystal Palace,2023-05-13,Bournemouth,eng Premier League,W 2-0,2,0,+2,59,2,0,0,0,539,647,83.3,13,46,12,3,45,10034,2893,219,249,88.0,275,302,91.1,43,79,54.4,22,16,13,5,4,7,14,50.0,7,11,4,7,9,31,9,0,1.5,1.5,+1.2,+1.2,1.3,1.2,+0.5,+0.5,+0.7,0.09,17,0.12,0.40,5,29.4,15.2,0,0.0,,0.0,742,42,165,255,245,36,742,451,2609,1206,22,18,13,9,11,536,45,Match Report
4,Crystal Palace,2023-05-06,Tottenham,eng Premier League,L 0-1,0,1,-1,44,0,0,0,0,314,424,74.1,5,18,7,3,27,5567,1922,125,149,83.9,152,176,86.4,27,71,38.0,15,11,7,5,3,6,15,40.0,9,10,2,8,12,27,18,0,0.4,0.4,-0.5,-0.5,0.3,0.4,-0.4,-0.4,-0.3,0.05,7,0.00,0.00,2,28.6,17.6,1,0.6,0.21,-0.4,508,53,169,217,130,20,508,252,1421,713,17,7,6,16,9,311,27,Match Report
5,Crystal Palace,2023-04-29,West Ham,eng Premier League,W 4-3,4,3,+1,59,3,1,1,0,416,541,76.9,10,30,10,1,51,6922,2745,198,224,88.4,156,191,81.7,41,85,48.2,21,13,9,8,4,8,10,80.0,2,7,1,6,5,26,30,0,2.1,1.3,+0.4,-0.4,0.6,1.0,+1.9,+1.7,+0.4,0.09,15,0.20,0.60,5,33.3,18.1,1,2.0,0.49,-1.0,664,55,208,255,180,35,663,345,1908,992,27,16,12,17,15,412,50,Match Report
6,Crystal Palace,2023-04-25,Wolves,eng Premier League,L 0-2,0,2,-2,59,0,0,0,0,403,510,79.0,12,41,10,5,38,6693,2287,200,228,87.7,162,184,88.0,32,65,49.2,11,6,6,2,3,6,15,40.0,9,9,2,7,6,17,15,0,0.8,0.8,-0.6,+0.2,0.7,0.6,-0.8,-0.8,-0.7,0.06,14,0.00,0.00,4,28.6,18.3,0,1.4,0.13,+0.4,612,55,167,255,169,27,612,370,1898,933,19,12,8,22,14,401,38,Match Report
7,Crystal Palace,2023-04-22,Everton,eng Premier League,D 0-0,0,0,0,56,0,0,0,0,343,476,72.1,9,34,5,1,27,6765,2645,129,155,83.2,168,198,84.8,41,97,42.3,15,11,9,5,1,11,18,61.1,7,11,2,9,5,20,21,0,0.5,0.5,+0.1,+0.1,0.4,0.9,-0.5,-0.5,-0.4,0.04,12,0.00,0.00,2,16.7,19.8,0,1.0,0.21,+1.0,590,62,213,219,163,23,590,329,1618,893,17,9,4,19,10,341,27,Match Report
8,Crystal Palace,2023-04-15,Southampton,eng Premier League,W 2-0,2,0,+2,42,2,0,0,0,287,389,73.8,2,17,10,0,26,5298,2051,112,140,80.0,135,156,86.5,36,77,46.8,22,17,9,11,2,8,20,40.0,12,12,3,9,8,30,19,0,0.9,0.9,+0.1,+0.1,0.3,0.3,+1.1,+1.1,+0.7,0.09,10,0.20,1.00,2,20.0,23.7,2,1.1,0.28,+1.1,499,67,199,209,95,17,499,251,1438,691,11,11,3,14,8,280,25,Match Report
9,Crystal Palace,2023-04-09,Leeds United,eng Premier League,W 5-1,5,1,+4,52,5,0,0,0,361,490,73.7,14,32,7,2,37,6351,2476,169,199,84.9,149,190,78.4,36,76,47.4,22,16,12,10,0,5,12,41.7,7,8,0,8,8,30,19,1,3.0,3.0,+2.1,+2.1,3.1,1.1,+2.0,+2.0,+1.9,0.20,16,0.31,0.71,7,43.8,12.3,1,1.9,0.27,+0.9,621,59,196,255,129,29,621,304,1536,827,15,4,9,16,21,358,37,Match Report
10,Crystal Palace,2023-04-01,Leicester City,eng Premier League,W 2-1,2,1,+1,52,1,0,0,0,395,505,78.2,22,28,17,2,59,7277,2527,171,193,88.6,183,210,87.1,39,82,47.6,12,8,8,1,3,5,9,55.6,4,10,1,9,9,21,13,0,2.3,2.3,+2.1,+2.1,1.9,1.4,-1.3,-1.3,-0.9,0.08,31,0.03,0.11,9,29.0,19.0,2,0.2,0.11,-0.8,626,39,190,234,204,43,626,349,2144,1262,22,17,7,20,14,392,58,Match Report
11,Crystal Palace,2023-03-19,Arsenal,eng Premier League,L 1-4,1,4,-3,38,1,0,0,0,299,389,76.9,7,22,5,1,29,5319,2091,121,138,87.7,137,159,86.2,33,67,49.3,18,10,11,6,1,10,17,58.8,7,14,5,9,18,36,34,0,0.8,0.8,-0.8,-0.8,0.4,0.6,+0.2,+0.2,-0.4,0.09,9,0.11,0.20,5,55.6,14.6,1,1.5,0.30,-2.5,513,97,226,198,93,20,513,321,1463,530,13,10,6,15,7,298,29,Match Report
12,Crystal Palace,2023-03-15,Brighton,eng Premier League,L 0-1,0,1,-1,43,0,0,0,0,366,462,79.2,9,16,8,2,27,6248,2064,177,197,89.8,153,172,89.0,31,72,43.1,15,11,2,11,2,9,13,69.2,4,12,1,11,13,28,15,0,1.1,1.1,+0.5,+0.5,1.1,0.9,-1.1,-1.1,-1.1,0.11,11,0.00,0.00,3,27.3,17.3,1,0.8,0.17,-0.2,579,76,220,239,123,17,579,230,1237,588,8,7,3,18,11,364,26,Match Report
13,Crystal Palace,2023-03-11,Manchester City,eng Premier League,L 0-1,0,1,-1,33,0,0,0,0,240,324,74.1,4,15,3,2,26,4118,1950,114,139,82.0,94,111,84.7,22,54,40.7,11,8,7,4,0,7,21,33.3,14,17,5,12,9,20,24,0,0.2,0.2,-1.9,-1.1,0.2,0.1,-0.2,-0.2,-0.2,0.05,4,0.00,,0,0.0,17.5,0,1.9,0.24,+0.9,439,75,212,156,74,9,439,215,1019,480,8,8,1,20,9,238,26,Match Report
14,Crystal Palace,2023-03-04,Aston Villa,eng Premier League,L 0-1,0,1,-1,42,0,0,0,0,324,404,80.2,3,27,2,0,21,6080,1902,128,140,91.4,158,177,89.3,36,71,50.7,22,13,9,6,7,8,15,53.3,7,10,3,7,9,31,8,0,0.2,0.2,-1.0,-1.0,0.2,0.2,-0.2,-0.2,-0.2,0.06,3,0.00,,0,0.0,16.9,0,0.1,0.07,+0.1,495,46,175,229,97,4,495,257,1215,587,9,3,1,14,6,324,21,Match Report
15,Crystal Palace,2023-02-25,Liverpool,eng Premier League,D 0-0,0,0,0,37,0,0,0,0,285,403,70.7,4,24,4,3,33,5207,2274,133,160,83.1,120,157,76.4,29,66,43.9,16,11,8,6,2,3,12,25.0,9,11,2,9,6,22,25,0,0.7,0.7,-0.2,-0.2,0.4,0.5,-0.7,-0.7,-0.4,0.12,6,0.00,,0,0.0,15.0,0,0.3,0.09,+0.3,508,58,174,215,126,11,508,268,1533,725,13,9,2,14,8,282,33,Match Report
16,Crystal Palace,2023-02-18,Brentford,eng Premier League,D 1-1,1,1,0,41,1,0,0,0,297,399,74.4,9,26,5,2,26,5454,2111,136,157,86.6,124,148,83.8,33,77,42.9,15,9,6,8,1,9,14,64.3,5,8,1,7,14,29,36,0,1.1,1.1,+0.2,+0.2,1.0,0.8,-0.1,-0.1,0.0,0.11,10,0.10,0.25,4,40.0,14.4,0,1.2,0.24,+0.2,517,74,182,244,94,14,517,252,1422,622,9,7,3,14,6,293,26,Match Report
17,Crystal Palace,2023-02-11,Brighton,eng Premier League,D 1-1,1,1,0,27,1,0,0,0,183,272,67.3,4,16,3,1,22,3656,1640,72,86,83.7,86,111,77.5,24,65,36.9,19,14,10,5,4,5,18,27.8,13,11,5,6,15,34,24,0,1.1,1.1,-1.4,-1.4,0.2,0.2,-0.1,-0.1,-0.2,0.18,6,0.17,1.00,1,16.7,12.4,0,2.3,0.33,+1.3,389,76,169,138,85,15,389,173,775,335,7,5,3,16,16,180,22,Match Report
18,Crystal Palace,2023-02-04,Manchester Utd,eng Premier League,L 1-2,1,2,-1,48,1,0,0,0,374,480,77.9,6,34,6,3,38,6299,2378,179,205,87.3,151,182,83.0,34,56,60.7,16,9,14,1,1,10,12,83.3,2,11,3,8,13,29,16,1,1.3,1.3,-0.7,+0.1,1.1,0.6,-0.3,-0.3,-0.1,0.14,10,0.10,0.33,3,30.0,12.8,0,2.5,0.31,+0.5,577,69,205,241,138,26,577,270,1302,590,11,7,6,11,11,370,38,Match Report
19,Crystal Palace,2023-01-21,Newcastle Utd,eng Premier League,D 0-0,0,0,0,40,0,0,0,0,237,356,66.6,4,19,3,1,19,4371,1783,111,145,76.6,85,109,78.0,34,81,42.0,29,17,12,14,3,9,15,60.0,6,13,2,11,16,45,30,0,0.3,0.3,-1.0,-1.0,0.2,0.3,-0.3,-0.3,-0.2,0.05,6,0.00,0.00,1,16.7,19.9,0,0.6,0.09,+0.6,487,86,175,205,112,12,487,215,1132,541,8,6,3,10,12,236,19,Match Report
20,Crystal Palace,2023-01-18,Manchester Utd,eng Premier League,D 1-1,1,1,0,40,1,0,0,0,319,441,72.3,7,27,7,2,43,5446,2511,150,183,82.0,127,166,76.5,35,69,50.7,24,11,10,9,5,10,12,83.3,2,17,3,14,21,45,18,0,0.5,0.5,-1.5,-1.5,0.4,0.7,+0.5,+0.5,-0.4,0.05,10,0.10,0.20,5,50.0,18.2,2,0.6,0.16,-0.4,595,67,188,255,149,20,595,257,1534,894,16,19,3,22,14,316,43,Match Report
21,Crystal Palace,2023-01-15,Chelsea,eng Premier League,L 0-1,0,1,-1,39,0,0,0,0,279,396,70.5,5,28,6,1,30,5241,2060,116,140,82.9,134,169,79.3,29,73,39.7,24,11,12,11,1,9,18,50.0,9,12,5,7,8,32,27,1,0.7,0.7,-0.8,-0.8,0.3,0.4,-0.7,-0.7,-0.3,0.07,10,0.00,0.00,5,50.0,17.9,0,0.6,0.12,-0.4,529,69,172,192,171,16,529,271,1227,534,8,10,4,13,17,277,30,Match Report
22,Crystal Palace,2023-01-04,Tottenham,eng Premier League,L 0-4,0,4,-4,47,0,0,0,0,406,511,79.5,14,35,6,1,41,7178,2480,183,199,92.0,179,209,85.6,37,81,45.7,22,13,11,8,3,11,16,68.8,5,14,5,9,8,30,10,1,0.8,0.8,-0.6,-0.6,0.7,0.7,-0.8,-0.8,-0.7,0.04,19,0.00,0.00,4,21.1,20.1,0,2.3,0.39,-1.7,629,55,166,255,179,24,629,321,1553,771,12,11,8,21,12,404,41,Match Report
