Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Everton,2023-05-28,Bournemouth,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,248,360,68.9,9,29,6,3,31,5043,2250,86,113,76.1,108,139,77.7,44,81,54.3,18,9,8,8,2,13,19,68.4,6,11,3,8,13,31,24,0,1.0,1.0,+0.6,+0.6,0.6,0.4,0.0,0.0,-0.6,0.08,13,0.08,0.17,6,46.2,17.2,0,0.2,0.20,+0.2,469,53,145,191,137,19,469,191,1225,718,18,15,5,11,6,248,31,Match Report
2,Everton,2023-05-20,Wolves,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,320,436,73.4,13,26,12,2,35,5859,2590,153,180,85.0,112,140,80.0,44,91,48.4,19,10,4,8,7,13,19,68.4,6,6,2,4,12,31,5,0,2.0,2.0,+0.4,+0.4,1.6,2.1,-1.0,-1.0,-0.6,0.10,19,0.05,0.25,4,21.1,17.1,2,1.1,0.25,+0.1,536,34,165,184,193,29,536,212,1400,716,12,10,1,18,4,317,35,Match Report
3,Everton,2023-05-14,Manchester City,eng Premier League,L 0-3,0,3,-3,37,0,0,0,0,343,417,82.3,5,25,3,2,26,5812,1990,182,197,92.4,129,144,89.6,29,64,45.3,16,11,9,4,3,6,14,42.9,8,10,2,8,11,27,17,0,1.6,1.6,+0.8,+0.8,1.4,0.7,-1.6,-1.6,-1.4,0.27,7,0.00,0.00,2,28.6,7.6,0,1.2,0.30,-1.8,498,66,211,170,124,14,498,303,1556,756,10,13,1,8,3,343,26,Match Report
4,Everton,2023-05-08,Brighton,eng Premier League,W 5-1,5,1,+4,22,4,0,0,0,149,234,63.7,9,8,6,1,13,2767,1542,73,89,82.0,49,69,71.0,20,56,35.7,19,11,13,4,2,10,26,38.5,16,17,9,8,16,35,56,0,2.3,2.3,-0.9,-0.9,2.2,1.1,+1.7,+1.7,+1.8,0.23,10,0.40,0.80,5,50.0,12.8,0,2.4,0.49,+1.4,398,100,232,108,63,22,398,185,1047,592,13,13,6,13,6,149,13,Match Report
5,Everton,2023-05-01,Leicester City,eng Premier League,D 2-2,2,2,0,46,1,1,1,0,282,416,67.8,15,20,11,2,35,5000,2385,131,157,83.4,95,128,74.2,36,89,40.4,15,9,7,7,1,3,20,15.0,17,12,6,6,11,26,19,0,3.1,2.3,-0.3,-0.3,1.1,1.0,-1.1,-1.3,-1.1,0.11,22,0.05,0.14,7,31.8,14.9,0,2.3,0.28,+0.3,542,54,152,210,187,31,541,272,1522,796,17,17,5,16,10,278,34,Match Report
6,Everton,2023-04-27,Newcastle Utd,eng Premier League,L 1-4,1,4,-3,40,1,0,0,0,213,338,63.0,9,24,5,0,29,3862,1431,90,118,76.3,92,116,79.3,21,73,28.8,18,9,8,9,1,7,17,41.2,10,22,5,17,17,35,26,0,0.9,0.9,-1.6,-1.6,0.7,0.3,+0.1,+0.1,-0.7,0.07,13,0.08,0.20,5,38.5,22.3,1,3.7,0.53,-0.3,470,56,141,234,109,15,469,222,1379,665,10,11,1,17,8,211,28,Match Report
7,Everton,2023-04-22,Crystal Palace,eng Premier League,D 0-0,0,0,0,44,0,0,0,0,241,368,65.5,7,15,4,1,24,4257,1903,124,149,83.2,88,114,77.2,26,83,31.3,14,9,6,6,2,4,13,30.8,9,11,5,6,12,26,26,0,0.4,0.4,-0.1,-0.1,0.3,0.4,-0.4,-0.4,-0.3,0.04,10,0.00,0.00,5,50.0,22.4,0,0.4,0.18,+0.4,497,64,186,192,124,14,497,203,1181,537,4,6,0,15,4,239,24,Match Report
8,Everton,2023-04-15,Fulham,eng Premier League,L 1-3,1,3,-2,46,1,0,0,0,323,450,71.8,10,35,5,3,40,5255,1962,157,182,86.3,128,165,77.6,25,72,34.7,14,10,7,7,0,6,12,50.0,6,18,5,13,7,21,15,0,1.4,1.4,-0.4,-0.4,1.0,0.7,-0.4,-0.4,0.0,0.10,15,0.07,0.14,7,46.7,17.1,0,2.6,0.37,-0.4,554,69,163,255,133,16,554,345,1874,923,17,9,3,17,12,321,40,Match Report
9,Everton,2023-04-08,Manchester Utd,eng Premier League,L 0-2,0,2,-2,37,0,0,0,0,260,373,69.7,12,21,6,2,33,4637,2072,117,153,76.5,85,110,77.3,40,77,51.9,30,20,17,9,4,16,29,55.2,13,15,8,7,6,36,14,3,1.0,1.0,-2.4,-2.4,0.9,0.5,-1.0,-1.0,-0.9,0.07,15,0.00,0.00,1,6.7,18.0,0,2.2,0.20,+0.2,480,80,157,201,125,16,480,271,1306,660,15,9,3,11,4,255,30,Match Report
10,Everton,2023-04-03,Tottenham,eng Premier League,D 1-1,1,1,0,39,1,0,0,0,320,416,76.9,12,42,13,2,36,5549,2148,158,176,89.8,119,138,86.2,34,75,45.3,23,15,10,9,4,12,24,50.0,12,12,2,10,8,31,19,0,0.9,0.9,-0.5,+0.3,0.8,0.7,+0.1,+0.1,+0.2,0.06,15,0.07,0.17,6,40.0,19.3,0,1.0,0.00,0.0,545,52,131,234,189,28,545,369,1643,817,19,14,7,26,3,320,36,Match Report
