Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Manchester City,2023-05-28,Brentford,eng Premier League,L 0-1,0,1,-1,65,0,0,0,0,589,664,88.7,13,50,11,1,33,9181,2577,323,341,94.7,212,228,93.0,40,66,60.6,14,5,12,2,0,5,12,41.7,7,8,3,5,7,21,16,0,1.6,1.6,+0.4,+0.4,1.4,1.8,-1.6,-1.6,-1.4,0.11,17,0.00,0.00,2,11.8,16.8,0,1.3,0.33,+0.3,752,88,207,255,255,22,752,501,2790,1371,26,26,4,11,13,585,33,Match Report
2,Manchester City,2023-05-24,Brighton,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,556,629,88.4,13,26,9,4,31,8647,2792,296,318,93.1,195,214,91.1,42,59,71.2,12,4,3,7,2,7,15,46.7,8,12,7,5,3,15,12,0,1.8,1.8,-0.4,-0.4,1.8,1.5,-0.8,-0.8,-0.8,0.14,13,0.08,0.25,4,30.8,13.9,0,2.1,0.31,+1.1,714,95,254,255,138,29,714,513,2420,1214,28,19,9,12,4,544,31,Match Report
3,Manchester City,2023-05-21,Chelsea,eng Premier League,W 1-0,1,0,+1,64,1,0,0,0,661,733,90.2,10,37,6,1,36,10867,2925,316,331,95.5,285,306,93.1,47,66,71.2,8,6,3,3,2,7,17,41.2,10,5,3,2,4,12,12,2,1.2,1.2,-0.1,-0.1,1.0,1.0,-0.2,-0.2,0.0,0.08,15,0.07,0.50,2,13.3,18.8,0,1.4,0.24,+1.4,801,81,248,255,178,31,801,543,3018,1740,28,21,11,8,8,645,35,Match Report
4,Manchester City,2023-05-14,Everton,eng Premier League,W 3-0,3,0,+3,63,3,0,0,0,630,706,89.2,6,48,8,1,51,11286,2860,271,286,94.8,298,318,93.7,54,80,67.5,7,5,4,3,0,4,13,30.8,9,4,2,2,5,12,21,0,0.8,0.8,-0.8,-0.8,0.6,0.9,+2.2,+2.2,+1.4,0.08,9,0.33,0.75,4,44.4,19.3,2,0.5,0.26,+0.5,781,73,214,255,210,26,781,520,2736,1649,21,14,4,4,10,622,51,Match Report
5,Manchester City,2023-05-06,Leeds United,eng Premier League,W 2-1,2,1,+1,80,2,0,1,1,817,917,89.1,12,92,14,1,79,13140,3779,402,426,94.4,359,395,90.9,44,67,65.7,7,5,2,4,1,2,3,66.7,1,9,1,8,5,12,8,0,2.6,1.8,+2.3,+1.5,1.4,2.0,-0.6,+0.2,+0.6,0.10,17,0.12,0.33,6,35.3,18.7,2,0.4,0.18,-0.6,994,45,179,255,255,35,993,710,3082,1681,23,19,9,17,8,809,79,Match Report
6,Manchester City,2023-05-03,West Ham,eng Premier League,W 3-0,3,0,+3,69,3,0,0,0,679,769,88.3,12,51,14,0,62,11138,3003,313,337,92.9,314,340,92.4,39,66,59.1,16,9,3,8,5,9,15,60.0,6,7,1,6,5,21,12,0,2.3,2.3,+1.9,+1.9,2.1,1.9,+0.7,+0.7,-0.1,0.14,16,0.19,0.43,7,43.8,16.3,0,0.5,0.25,+0.5,853,60,206,255,251,35,853,500,3083,1775,37,33,7,11,8,669,61,Match Report
7,Manchester City,2023-04-30,Fulham,eng Premier League,W 2-1,2,1,+1,62,1,1,1,0,587,683,85.9,9,42,10,2,44,10558,3102,301,325,92.6,212,235,90.2,70,97,72.2,14,10,5,7,2,3,9,33.3,6,9,2,7,5,19,15,0,2.5,1.7,+2.3,+1.5,1.1,1.5,-0.5,-0.7,-0.1,0.16,11,0.09,0.13,8,72.7,14.1,0,0.7,0.66,-0.3,784,51,186,255,178,34,783,536,2562,1135,12,12,4,12,10,582,44,Match Report
8,Manchester City,2023-04-26,Arsenal,eng Premier League,W 4-1,4,1,+3,52,4,0,0,0,436,516,84.5,13,18,7,0,34,7699,2600,196,209,93.8,189,218,86.7,42,68,61.8,11,8,7,4,0,3,12,25.0,9,7,2,5,9,20,8,0,2.5,2.5,+2.0,+2.0,2.5,1.0,+1.5,+1.5,+1.5,0.18,14,0.29,0.44,9,64.3,15.9,0,0.2,0.08,-0.8,590,74,236,255,99,21,590,329,1853,1013,24,12,5,12,6,424,33,Match Report
9,Manchester City,2023-04-15,Leicester City,eng Premier League,W 3-1,3,1,+2,70,2,1,1,0,719,799,90.0,8,57,6,2,58,12613,3019,341,364,93.7,299,324,92.3,71,92,77.2,11,6,4,4,3,5,15,33.3,10,9,3,6,1,12,9,1,1.6,1.2,-0.7,-1.1,1.1,0.4,+1.4,+0.8,+0.9,0.12,11,0.18,0.67,3,27.3,17.8,0,2.2,0.58,+1.2,868,54,187,255,255,23,867,578,3337,1851,29,18,7,11,5,712,57,Match Report
10,Manchester City,2023-04-08,Southampton,eng Premier League,W 4-1,4,1,+3,73,3,1,1,0,675,777,86.9,9,40,12,1,52,11478,3536,308,342,90.1,306,330,92.7,47,71,66.2,9,7,6,3,0,6,19,31.6,13,8,1,7,6,15,4,0,2.9,2.1,+2.5,+1.7,1.6,1.6,+1.1,+0.9,+0.4,0.18,12,0.25,0.43,7,58.3,13.2,0,0.5,0.54,-0.5,833,65,244,255,161,30,832,521,2691,1294,20,18,7,8,7,666,52,Match Report
