Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Wolves,2023-05-28,Arsenal,eng Premier League,L 0-5,0,5,-5,49,0,0,0,0,404,468,86.3,5,24,3,1,22,7150,2235,174,181,96.1,194,214,90.7,31,57,54.4,9,4,4,5,0,4,15,26.7,11,7,2,5,2,11,23,2,0.5,0.5,-2.3,-2.3,0.4,0.6,-0.5,-0.5,-0.4,0.08,6,0.00,,0,0.0,14.7,1,2.9,0.37,-2.1,553,75,233,238,89,12,553,292,1752,865,13,7,3,10,9,400,22,Match Report
2,Wolves,2023-05-20,Everton,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,375,481,78.0,7,25,9,1,33,6483,2502,182,208,87.5,152,187,81.3,33,67,49.3,12,5,8,4,0,8,14,57.1,6,12,6,6,5,17,29,0,1.6,1.6,-0.4,-0.4,0.5,0.2,-0.6,-0.6,-0.5,0.13,13,0.08,0.20,5,38.5,17.9,1,1.4,0.35,+0.4,598,103,255,198,96,18,598,237,1501,860,17,9,6,9,6,373,32,Match Report
3,Wolves,2023-05-13,Manchester Utd,eng Premier League,L 0-2,0,2,-2,52,0,0,0,0,406,517,78.5,5,16,8,3,36,7524,2279,176,197,89.3,169,199,84.9,52,94,55.3,8,7,4,2,2,5,18,27.8,13,18,5,13,7,15,16,1,0.3,0.3,-2.8,-2.8,0.3,0.6,-0.3,-0.3,-0.3,0.07,5,0.00,,0,0.0,10.5,0,2.5,0.28,+0.5,620,89,245,250,131,22,620,286,1815,1067,21,10,4,11,8,404,35,Match Report
4,Wolves,2023-05-06,Aston Villa,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,211,297,71.0,5,7,2,1,12,3916,1231,91,110,82.7,90,108,83.3,27,67,40.3,13,9,6,5,2,8,15,53.3,7,20,7,13,9,22,23,0,0.8,0.8,-0.7,-0.7,0.7,0.3,+0.2,+0.2,+0.3,0.13,6,0.17,0.50,2,33.3,17.6,0,0.5,0.15,+0.5,393,77,179,154,69,8,393,189,932,420,9,9,1,6,8,210,11,Match Report
5,Wolves,2023-04-29,Brighton,eng Premier League,L 0-6,0,6,-6,43,0,0,0,0,329,414,79.5,8,13,3,1,19,5789,1735,142,161,88.2,158,180,87.8,24,60,40.0,16,9,9,5,2,9,16,56.3,7,14,7,7,10,26,13,3,0.8,0.8,-2.5,-2.5,0.7,0.6,-0.8,-0.8,-0.7,0.08,10,0.00,0.00,2,20.0,18.7,0,4.1,0.51,-1.9,508,68,201,206,107,13,508,292,1543,743,12,9,5,8,7,325,19,Match Report
6,Wolves,2023-04-25,Crystal Palace,eng Premier League,W 2-0,2,0,+2,41,0,1,1,0,253,349,72.5,5,15,3,1,22,5142,1669,99,123,80.5,112,133,84.2,42,79,53.2,21,8,12,5,4,7,19,36.8,12,17,6,11,8,29,30,1,1.4,0.6,+0.6,-0.2,0.5,0.3,-0.4,-0.6,-0.5,0.07,8,0.00,0.00,2,25.0,17.0,0,0.5,0.13,+0.5,478,79,208,176,97,15,477,202,1162,579,8,5,3,11,5,253,22,Match Report
7,Wolves,2023-04-22,Leicester City,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,437,548,79.7,10,28,8,1,35,7014,2344,214,242,88.4,163,189,86.2,38,77,49.4,12,8,4,7,1,4,16,25.0,12,15,3,12,7,19,11,1,0.9,0.9,-1.5,-0.7,0.7,0.4,+0.1,+0.1,+0.3,0.06,16,0.06,0.33,3,18.8,20.7,2,2.2,0.19,+0.2,653,55,168,255,162,13,653,380,1804,931,21,16,2,14,14,435,35,Match Report
8,Wolves,2023-04-15,Brentford,eng Premier League,W 2-0,2,0,+2,50,2,0,0,0,381,489,77.9,6,30,3,0,25,6519,2141,169,196,86.2,154,172,89.5,38,90,42.2,21,11,8,13,0,8,15,53.3,7,11,4,7,4,25,22,1,0.8,0.8,-0.4,-0.4,0.3,0.3,+1.2,+1.2,-0.3,0.07,11,0.18,0.22,9,81.8,18.4,0,1.1,0.37,+1.1,595,70,209,255,105,16,595,392,1534,664,8,3,3,8,15,380,25,Match Report
9,Wolves,2023-04-08,Chelsea,eng Premier League,W 1-0,1,0,+1,38,1,0,0,0,255,362,70.4,5,26,5,1,30,4430,1844,114,140,81.4,103,133,77.4,25,62,40.3,22,13,13,8,1,9,23,39.1,14,26,8,18,10,32,31,0,0.6,0.6,-0.6,-0.6,0.2,0.2,+0.4,+0.4,-0.2,0.06,9,0.11,0.25,4,44.4,24.2,0,0.0,0.01,0.0,497,83,192,181,132,16,497,274,1563,770,11,13,3,13,15,254,29,Match Report
10,Wolves,2023-04-01,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,71,1,0,0,0,577,687,84.0,6,43,8,3,60,10852,3131,223,247,90.3,295,319,92.5,52,88,59.1,14,6,9,3,2,11,22,50.0,11,7,3,4,6,20,24,0,0.5,0.5,-0.8,-0.8,0.2,0.4,+0.5,+0.5,-0.2,0.06,8,0.13,1.00,1,12.5,17.2,0,0.7,0.10,-0.3,793,82,255,255,153,14,793,501,2692,1427,8,10,2,11,9,573,59,Match Report
