Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Arsenal,2023-08-12,Nott'ham Forest,eng Premier League,W 2-1,2,1,+1,78,2,0,0,0,716,807,88.7,13,61,13,1,58,11400,3204,367,393,93.4,306,334,91.6,35,55,63.6,19,15,4,12,3,8,15,53.3,7,6,1,5,7,26,9,0,0.8,0.8,-0.4,-0.4,0.6,0.9,+1.2,+1.2,+1.4,0.06,15,0.13,0.29,7,46.7,19.1,0,0.9,0.47,-0.1,902,44,185,255,238,30,902,706,3482,1908,34,24,6,10,9,712,58,Match Report
2,Arsenal,2023-08-21,Crystal Palace,eng Premier League,W 1-0,1,0,+1,53,0,1,1,0,436,527,82.7,8,46,13,2,40,7448,2162,222,244,91.0,164,187,87.7,38,71,53.5,14,7,9,4,1,9,19,47.4,10,13,7,6,8,22,18,0,2.0,1.2,+1.0,+0.2,0.9,0.7,-1.0,-1.2,-0.9,0.09,13,0.00,0.00,2,15.4,16.4,0,0.2,0.12,+0.2,627,60,162,255,199,31,626,395,2182,1143,21,12,8,8,8,432,40,Match Report
3,Arsenal,2023-08-26,Fulham,eng Premier League,D 2-2,2,2,0,71,1,1,1,0,644,741,86.9,15,63,25,4,93,10897,3297,322,353,91.2,258,288,89.6,54,76,71.1,14,8,3,9,2,5,6,83.3,1,14,2,12,6,20,11,2,3.2,2.4,+2.6,+1.8,2.0,3.1,-1.2,-1.4,-1.0,0.14,18,0.06,0.11,9,50.0,13.8,0,0.4,0.14,-1.6,845,36,138,255,255,57,844,470,2742,1518,28,17,11,18,8,639,92,Match Report
4,Arsenal,2023-09-03,Manchester Utd,eng Premier League,W 3-1,3,1,+2,55,3,0,0,0,490,583,84.0,15,50,12,0,45,8429,2660,218,235,92.8,230,262,87.8,31,56,55.4,11,8,7,3,1,6,10,60.0,4,14,7,7,8,19,8,0,2.3,2.3,+1.3,+1.3,2.0,1.2,+0.7,+0.7,+1.0,0.13,17,0.18,0.60,5,29.4,15.0,0,0.6,0.28,-0.4,680,46,168,255,246,41,680,434,2127,1083,25,14,7,11,5,484,43,Match Report
5,Arsenal,2023-09-17,Everton,eng Premier League,W 1-0,1,0,+1,74,1,0,0,0,627,721,87.0,9,37,16,3,60,11578,3473,233,257,90.7,324,350,92.6,60,84,71.4,9,8,3,4,2,4,7,57.1,3,9,4,5,6,15,12,0,1.0,1.0,+0.7,+0.7,0.7,0.7,0.0,0.0,+0.3,0.08,13,0.08,0.25,4,30.8,17.4,0,0.1,0.09,+0.1,797,62,250,255,223,28,797,545,2285,1209,15,14,5,13,12,618,58,Match Report
6,Arsenal,2023-09-24,Tottenham,eng Premier League,D 2-2,2,2,0,47,0,1,1,0,346,423,81.8,8,29,5,2,32,6586,2377,143,163,87.7,161,183,88.0,40,67,59.7,24,12,9,8,7,11,17,64.7,6,17,4,13,11,35,12,1,1.8,1.2,+0.3,-0.2,0.6,0.6,-0.8,-1.2,-0.6,0.10,12,0.00,0.00,4,33.3,16.9,0,2.6,0.63,+0.6,529,54,146,216,174,25,528,313,1643,833,17,15,6,12,19,343,31,Match Report
7,Arsenal,2023-09-30,Bournemouth,eng Premier League,W 4-0,4,0,+4,57,2,2,2,0,495,564,87.8,11,18,11,1,31,7132,2569,285,305,93.4,179,196,91.3,16,33,48.5,28,10,14,12,2,19,33,57.6,14,17,4,13,9,37,14,0,3.4,1.9,+2.8,+1.2,1.0,1.4,+0.6,+0.1,0.0,0.14,13,0.15,0.33,6,46.2,15.5,0,0.2,0.17,+0.2,686,82,255,250,163,35,684,450,2327,1130,20,11,6,19,11,490,30,Match Report
8,Arsenal,2023-10-08,Manchester City,eng Premier League,W 1-0,1,0,+1,49,1,0,0,0,454,535,84.9,10,22,6,0,34,7261,2184,238,260,91.5,179,197,90.9,26,56,46.4,20,12,5,9,6,10,18,55.6,8,16,2,14,9,29,9,0,0.4,0.4,-0.1,-0.1,0.4,0.6,+0.6,+0.6,+0.6,0.03,12,0.08,0.50,2,16.7,19.2,0,0.0,,0.0,638,66,227,224,192,25,638,421,2054,843,13,14,5,6,11,442,34,Match Report
9,Arsenal,2023-10-21,Chelsea,eng Premier League,D 2-2,2,2,0,56,2,0,0,0,509,608,83.7,11,40,7,2,55,9108,3084,216,251,86.1,239,259,92.3,44,72,61.1,19,9,7,6,6,7,11,63.6,4,9,1,8,9,28,5,2,1.0,1.0,-0.3,+0.4,0.9,0.7,+1.0,+1.0,+0.1,0.08,13,0.15,0.67,3,23.1,14.3,0,1.9,0.18,-0.1,699,60,221,255,172,17,699,407,1720,873,13,13,3,13,8,502,55,Match Report
10,Arsenal,2023-10-28,Sheffield Utd,eng Premier League,W 5-0,5,0,+5,67,4,1,1,0,613,693,88.5,8,46,8,1,57,10330,3085,263,294,89.5,288,306,94.1,42,58,72.4,10,4,5,4,1,6,9,66.7,3,9,1,8,8,18,8,0,2.8,2.0,+2.7,+1.9,1.6,1.3,+2.2,+2.0,+0.4,0.17,12,0.33,0.67,6,50.0,17.0,0,0.0,,0.0,771,32,168,255,201,37,770,542,2516,1278,23,11,12,12,15,603,57,Match Report
11,Arsenal,2023-11-04,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,58,0,0,0,0,431,525,82.1,11,52,10,3,52,7721,2366,187,209,89.5,201,231,87.0,39,69,56.5,11,8,3,7,1,2,9,22.2,7,19,5,14,7,18,13,0,0.6,0.6,-0.4,-0.4,0.5,0.9,-0.6,-0.6,-0.5,0.04,14,0.00,0.00,1,7.1,20.7,0,0.9,0.94,-0.1,620,40,123,255,241,30,620,352,1541,840,15,12,4,9,10,429,52,Match Report
12,Arsenal,2023-11-11,Burnley,eng Premier League,W 3-1,3,1,+2,63,3,0,0,0,507,614,82.6,12,54,19,2,73,9164,2493,198,225,88.0,272,297,91.6,36,76,47.4,17,8,10,6,1,11,14,78.6,3,9,0,9,3,20,11,1,1.8,1.8,+1.5,+1.5,1.8,1.4,+1.2,+1.2,+0.2,0.12,16,0.19,0.50,6,37.5,13.8,0,1.1,0.22,+0.1,691,44,143,255,255,45,691,448,2141,1053,21,3,10,5,7,503,70,Match Report
13,Arsenal,2023-11-25,Brentford,eng Premier League,W 1-0,1,0,+1,64,1,0,0,0,442,564,78.4,11,35,11,2,50,7090,2335,224,254,88.2,159,193,82.4,37,73,50.7,8,5,4,3,1,4,8,50.0,4,11,3,8,5,13,15,1,1.6,1.6,+0.4,+0.4,1.4,1.3,-0.6,-0.6,-0.4,0.11,15,0.07,0.25,4,26.7,15.2,0,0.1,0.12,+0.1,661,59,160,224,255,32,661,421,1818,844,21,17,9,15,8,439,50,Match Report
14,Arsenal,2023-12-02,Wolves,eng Premier League,W 2-1,2,1,+1,57,2,0,0,0,567,655,86.6,16,70,15,3,77,10105,2956,222,242,91.7,303,330,91.8,36,62,58.1,17,8,6,7,4,7,16,43.8,9,8,0,8,12,29,9,1,2.8,2.8,+2.1,+2.1,2.6,1.9,-0.8,-0.8,-0.6,0.15,19,0.11,0.33,6,31.6,15.6,0,0.9,0.31,-0.1,754,44,146,255,255,36,754,491,2285,1112,23,12,9,15,8,561,77,Match Report
