Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Brentford,2023-08-13,Tottenham,eng Premier League,D 2-2,2,2,0,31,1,1,1,0,256,344,74.4,7,16,11,2,29,4769,2102,118,133,88.7,101,129,78.3,33,63,52.4,17,9,11,5,1,10,26,38.5,16,15,5,10,8,25,35,0,2.2,1.4,+0.9,+0.1,1.3,1.0,-0.2,-0.4,-0.3,0.14,10,0.10,0.20,5,50.0,18.0,0,1.1,0.18,-0.9,464,82,220,150,96,27,463,213,912,446,10,5,4,11,12,254,29,Match Report
2,Brentford,2023-08-19,Fulham,eng Premier League,W 3-0,3,0,+3,45,2,1,1,0,344,427,80.6,9,25,7,0,30,6497,2265,142,164,86.6,154,174,88.5,43,73,58.9,13,9,7,4,2,5,13,38.5,8,12,3,9,9,22,24,0,3.7,3.1,+3.2,+2.6,2.3,2.3,-0.7,-1.1,-1.3,0.20,16,0.13,0.29,7,43.8,13.8,1,0.2,0.11,+0.2,527,93,249,167,117,34,526,339,1606,835,10,7,4,12,5,338,30,Match Report
3,Brentford,2023-08-26,Crystal Palace,eng Premier League,D 1-1,1,1,0,60,1,0,0,0,465,566,82.2,10,39,5,2,41,8636,3297,202,223,90.6,200,233,85.8,57,84,67.9,9,6,4,4,1,5,22,22.7,17,17,6,11,6,15,9,1,1.0,1.0,+0.2,+0.2,0.9,0.7,0.0,0.0,+0.1,0.08,12,0.08,1.00,1,8.3,13.7,0,0.6,0.15,-0.4,670,65,225,255,153,26,670,386,1963,941,11,8,4,16,9,459,41,Match Report
4,Brentford,2023-09-02,Bournemouth,eng Premier League,D 2-2,2,2,0,60,2,0,0,0,429,529,81.1,14,24,14,5,47,7566,3277,201,220,91.4,175,209,83.7,44,79,55.7,22,15,7,12,3,13,21,61.9,8,9,2,7,6,28,15,1,2.9,2.9,+0.8,+0.8,2.5,2.4,-0.9,-0.9,-1.5,0.14,21,0.10,0.29,7,33.3,14.7,1,2.0,0.41,0.0,662,90,253,249,164,45,662,286,1450,780,19,7,9,24,8,418,47,Match Report
5,Brentford,2023-09-16,Newcastle Utd,eng Premier League,L 0-1,0,1,-1,44,0,0,0,0,286,406,70.4,10,25,9,2,36,5114,1869,135,160,84.4,115,153,75.2,31,78,39.7,30,19,16,10,4,11,25,44.0,14,11,2,9,9,39,26,0,0.5,0.5,-0.9,-0.1,0.5,0.7,-0.5,-0.5,-0.5,0.05,11,0.00,0.00,2,18.2,15.7,0,1.0,0.02,0.0,526,70,199,210,130,22,526,303,1194,556,9,4,5,12,8,284,36,Match Report
6,Brentford,2023-09-23,Everton,eng Premier League,L 1-3,1,3,-2,57,1,0,0,0,510,629,81.1,6,26,6,1,42,9264,2877,189,229,82.5,275,304,90.5,40,76,52.6,20,15,13,7,0,6,10,60.0,4,11,1,10,7,27,17,2,1.0,1.0,-0.9,-0.9,0.6,1.1,0.0,0.0,+0.4,0.09,12,0.08,0.50,2,16.7,13.9,1,1.5,0.25,-1.5,731,85,255,255,117,17,731,434,2182,1282,14,13,2,13,6,505,42,Match Report
7,Brentford,2023-10-01,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,59,1,0,0,0,525,637,82.4,13,39,12,3,56,8841,2866,254,282,90.1,226,262,86.3,34,60,56.7,11,7,3,5,3,5,14,35.7,9,10,1,9,10,21,10,0,1.6,1.6,+1.2,+1.2,1.3,1.7,-0.6,-0.6,-0.3,0.09,18,0.06,0.33,3,16.7,14.1,0,0.1,0.08,-0.9,738,48,196,255,215,36,738,521,2845,1580,22,18,4,17,10,521,56,Match Report
8,Brentford,2023-10-07,Manchester Utd,eng Premier League,L 1-2,1,2,-1,36,1,0,0,0,252,351,71.8,10,13,2,1,16,4771,1919,99,119,83.2,109,135,80.7,35,74,47.3,18,11,14,4,0,7,15,46.7,8,11,4,7,16,34,45,0,0.9,0.9,-0.5,-0.5,0.9,0.6,+0.1,+0.1,+0.1,0.09,11,0.09,0.33,3,27.3,17.3,0,1.5,0.20,-0.5,476,123,255,139,72,21,476,175,1135,571,16,5,6,10,3,247,16,Match Report
9,Brentford,2023-10-21,Burnley,eng Premier League,W 3-0,3,0,+3,50,3,0,0,0,365,475,76.8,14,23,11,3,43,6506,2176,159,182,87.4,160,193,82.9,37,75,49.3,16,11,6,7,3,7,15,46.7,8,10,1,9,8,24,12,0,3.1,3.1,+1.9,+1.9,2.5,2.2,-0.1,-0.1,-0.5,0.14,23,0.13,0.33,9,39.1,15.2,1,0.4,0.35,+0.4,573,59,163,242,172,53,573,306,1520,807,20,14,10,12,4,363,45,Match Report
10,Brentford,2023-10-28,Chelsea,eng Premier League,W 2-0,2,0,+2,31,2,0,0,0,260,357,72.8,5,15,7,3,26,4659,1919,124,151,82.1,104,129,80.6,29,65,44.6,19,10,12,6,1,6,20,30.0,14,15,5,10,7,26,34,0,2.2,2.2,+0.3,+0.3,1.6,0.8,-0.2,-0.2,+0.4,0.28,7,0.29,0.40,5,71.4,12.9,0,0.8,0.38,+0.8,469,101,238,170,67,14,469,200,1007,597,9,4,1,13,4,262,27,Match Report
