Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Burnley,2023-08-11,Manchester City,eng Premier League,L 0-3,0,3,-3,35,0,0,0,0,313,395,79.2,5,14,3,0,18,5807,1910,133,148,89.9,134,151,88.7,40,74,54.1,12,8,5,5,2,3,6,50.0,3,12,5,7,7,19,16,0,0.3,0.3,-1.6,-1.6,0.3,0.2,-0.3,-0.3,-0.3,0.05,6,0.00,0.00,1,16.7,14.9,0,2.7,0.34,-0.3,496,89,224,192,81,14,496,225,1181,508,10,9,3,13,5,313,18,Match Report
2,Burnley,2023-08-27,Aston Villa,eng Premier League,L 1-3,1,3,-2,57,1,0,0,0,553,636,86.9,9,41,9,2,47,8783,2567,299,324,92.3,220,239,92.1,28,50,56.0,10,4,1,6,3,4,14,28.6,10,6,6,0,11,21,14,1,0.7,0.7,-1.8,-1.8,0.7,0.9,+0.3,+0.3,+0.3,0.08,9,0.11,0.50,2,22.2,17.7,0,3.8,0.64,+0.8,712,46,155,255,164,16,712,528,2430,1418,15,19,4,10,9,547,46,Match Report
3,Burnley,2023-09-02,Tottenham,eng Premier League,L 2-5,2,5,-3,47,2,0,0,0,413,515,80.2,11,16,9,3,27,7206,2467,178,202,88.1,176,199,88.4,47,83,56.6,27,16,10,11,6,14,28,50.0,14,11,6,5,8,35,11,3,1.3,1.3,-0.9,-0.9,1.2,1.4,+0.7,+0.7,+0.8,0.08,16,0.13,0.50,4,25.0,17.9,1,4.5,0.42,-0.5,627,115,255,204,150,30,627,412,1654,780,20,16,8,11,7,413,27,Match Report
4,Burnley,2023-09-18,Nott'ham Forest,eng Premier League,D 1-1,1,1,0,54,1,0,0,0,424,529,80.2,4,25,1,0,31,7094,2256,212,235,90.2,168,191,88.0,33,73,45.2,10,7,5,1,4,7,16,43.8,9,12,5,7,7,17,32,0,0.5,0.5,-0.2,-0.2,0.3,0.2,+0.5,+0.5,+0.7,0.06,10,0.10,0.33,3,30.0,18.9,0,1.0,0.24,0.0,640,77,243,255,134,21,640,420,2383,1115,18,8,8,15,7,417,31,Match Report
5,Burnley,2023-09-23,Manchester Utd,eng Premier League,L 0-1,0,1,-1,61,0,0,0,0,586,687,85.3,10,27,9,1,45,10603,2785,224,253,88.5,304,331,91.8,48,78,61.5,13,6,7,4,2,7,9,77.8,2,15,5,10,7,20,14,0,1.1,1.1,+0.1,+0.1,0.9,1.3,-1.1,-1.1,-0.9,0.09,12,0.00,0.00,4,33.3,15.6,0,0.8,0.20,-0.2,777,78,255,255,189,20,777,492,2423,1456,28,19,3,9,4,582,43,Match Report
6,Burnley,2023-09-30,Newcastle Utd,eng Premier League,L 0-2,0,2,-2,47,0,0,0,0,391,500,78.2,6,9,3,0,14,6374,2032,216,237,91.1,147,180,81.7,24,61,39.3,13,6,6,6,1,7,16,43.8,9,15,7,8,4,17,23,2,0.6,0.6,-2.5,-1.7,0.6,0.6,-0.6,-0.6,-0.6,0.08,8,0.00,0.00,2,25.0,16.3,0,2.1,0.16,+0.1,611,110,255,246,90,16,611,380,1583,771,14,8,4,13,9,388,13,Match Report
7,Burnley,2023-10-03,Luton Town,eng Premier League,W 2-1,2,1,+1,51,2,0,0,0,313,452,69.2,9,22,2,0,24,5851,2370,144,177,81.4,131,163,80.4,34,88,38.6,15,9,7,5,3,6,15,40.0,9,15,6,9,7,22,38,0,1.1,1.1,-0.2,-0.2,1.0,0.8,+0.9,+0.9,+1.0,0.08,14,0.14,0.50,4,28.6,20.2,0,0.3,0.13,-0.7,586,71,211,187,195,26,586,280,1268,597,19,9,10,14,6,310,24,Match Report
8,Burnley,2023-10-07,Chelsea,eng Premier League,L 1-4,1,4,-3,38,1,0,0,0,353,432,81.7,8,9,3,1,13,6275,2149,162,182,89.0,153,172,89.0,35,61,57.4,24,15,14,4,6,14,22,63.6,8,6,2,4,4,28,10,0,0.7,0.7,-1.1,-0.3,0.6,0.7,+0.3,+0.3,+0.4,0.08,10,0.10,0.33,3,30.0,18.2,1,2.8,0.37,-0.2,532,78,250,190,96,8,532,333,1710,887,11,7,2,13,10,350,12,Match Report
9,Burnley,2023-10-21,Brentford,eng Premier League,L 0-3,0,3,-3,50,0,0,0,0,390,484,80.6,5,23,2,0,22,6850,2364,175,190,92.1,175,201,87.1,34,71,47.9,7,4,5,2,0,3,13,23.1,10,14,6,8,11,18,27,0,1.1,1.1,-1.9,-1.9,1.1,0.6,-1.1,-1.1,-1.1,0.19,6,0.00,0.00,1,16.7,20.2,0,3.0,0.34,0.0,596,119,255,235,110,11,596,355,1815,906,22,15,6,19,9,386,22,Match Report
10,Burnley,2023-10-28,Bournemouth,eng Premier League,L 1-2,1,2,-1,55,1,0,0,0,409,520,78.7,5,24,5,1,34,6674,2326,199,229,86.9,165,187,88.2,31,72,43.1,12,9,7,5,0,6,16,37.5,10,11,3,8,9,21,24,1,0.8,0.8,-0.3,-0.3,0.3,0.6,+0.2,+0.2,+0.7,0.14,6,0.17,0.33,3,50.0,18.0,0,1.4,0.24,-0.6,623,101,255,255,104,16,623,388,2048,906,12,8,5,12,14,406,34,Match Report
11,Burnley,2023-11-04,Crystal Palace,eng Premier League,L 0-2,0,2,-2,67,0,0,0,0,531,653,81.3,15,34,9,3,44,9229,2619,241,272,88.6,245,284,86.3,41,76,53.9,15,8,5,8,2,8,11,72.7,3,7,1,6,8,23,7,1,1.1,1.1,-0.2,-0.2,0.8,0.9,-1.1,-1.1,-0.8,0.07,17,0.00,0.00,5,29.4,13.3,0,1.8,0.60,-0.2,743,36,207,255,200,38,743,504,2955,1654,23,17,9,11,6,527,44,Match Report
