Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Fulham,2023-08-12,Everton,eng Premier League,W 1-0,1,0,+1,58,1,0,0,0,498,600,83.0,7,33,9,3,38,8460,2970,221,248,89.1,221,252,87.7,42,67,62.7,10,4,5,4,1,7,14,50.0,7,10,4,6,4,14,31,0,1.5,1.5,-1.2,-1.2,0.7,0.5,-0.5,-0.5,-0.7,0.17,9,0.11,0.50,2,22.2,13.2,0,3.3,0.37,+3.3,691,93,255,255,119,18,691,507,2441,1270,14,14,2,8,9,495,38,Match Report
2,Fulham,2023-08-19,Brentford,eng Premier League,L 0-3,0,3,-3,55,0,0,0,0,419,513,81.7,6,32,11,1,31,7521,2282,175,192,91.1,201,221,91.0,35,75,46.7,10,9,3,3,4,5,13,38.5,8,7,2,5,3,13,23,1,0.5,0.5,-3.2,-2.6,0.2,0.5,-0.5,-0.5,-0.2,0.05,10,0.00,0.00,2,20.0,22.3,1,3.4,0.30,+0.4,598,73,188,255,142,19,598,375,2009,951,15,11,3,11,8,411,31,Match Report
3,Fulham,2023-08-26,Arsenal,eng Premier League,D 2-2,2,2,0,29,2,0,0,0,211,299,70.6,4,15,3,1,14,3997,1852,94,116,81.0,88,109,80.7,28,62,45.2,18,10,12,6,0,10,25,40.0,15,12,4,8,6,24,37,0,0.6,0.6,-2.6,-1.8,0.4,0.3,+1.4,+1.4,+0.6,0.07,8,0.25,0.67,3,37.5,17.8,0,2.0,0.10,0.0,415,97,222,146,49,10,415,180,849,445,8,7,4,11,9,210,13,Match Report
4,Fulham,2023-09-02,Manchester City,eng Premier League,L 1-5,1,5,-4,32,1,0,0,0,290,367,79.0,4,15,3,0,17,5463,1930,115,139,82.7,131,147,89.1,37,61,60.7,11,9,6,5,0,4,16,25.0,12,10,1,9,7,18,12,1,1.4,1.4,-0.8,0.0,0.8,0.3,-0.4,-0.4,-0.8,0.31,6,0.17,0.25,4,66.7,11.4,0,3.4,0.48,-1.6,447,40,193,184,75,11,447,207,1241,556,7,5,3,10,11,283,17,Match Report
5,Fulham,2023-09-16,Luton Town,eng Premier League,W 1-0,1,0,+1,77,1,0,0,0,765,858,89.2,10,68,10,4,68,13420,3603,325,349,93.1,372,403,92.3,53,78,67.9,17,9,8,5,4,7,11,63.6,4,6,1,5,7,24,10,0,1.0,1.0,-0.1,-0.1,0.5,1.0,0.0,0.0,-0.5,0.07,13,0.08,0.50,2,15.4,19.5,2,0.9,0.44,+0.9,947,31,140,255,240,21,947,634,3051,1457,19,19,2,19,12,760,68,Match Report
6,Fulham,2023-09-23,Crystal Palace,eng Premier League,D 0-0,0,0,0,49,0,0,0,0,404,502,80.5,8,35,11,2,49,7060,2285,185,211,87.7,165,193,85.5,42,72,58.3,27,11,16,8,3,12,27,44.4,15,9,2,7,9,36,20,0,0.6,0.6,+0.3,+0.3,0.4,0.6,-0.6,-0.6,-0.4,0.06,10,0.00,0.00,5,50.0,18.7,1,0.7,0.25,+0.7,620,51,204,255,149,14,620,327,2416,1425,24,15,3,16,9,396,47,Match Report
7,Fulham,2023-10-02,Chelsea,eng Premier League,L 0-2,0,2,-2,56,0,0,0,0,530,617,85.9,9,42,10,3,48,9648,3340,248,270,91.9,219,235,93.2,59,90,65.6,16,7,8,5,3,7,15,46.7,8,10,1,9,13,29,5,1,1.1,1.1,-0.6,-0.6,1.1,1.0,-1.1,-1.1,-1.1,0.11,10,0.00,0.00,3,30.0,13.2,0,0.8,0.20,-1.2,710,62,255,255,178,26,710,432,2429,1420,21,8,7,15,18,525,48,Match Report
8,Fulham,2023-10-07,Sheffield Utd,eng Premier League,W 3-1,3,1,+2,60,2,0,0,0,445,581,76.6,13,28,9,3,46,8179,2801,176,206,85.4,207,247,83.8,51,91,56.0,24,15,13,8,3,11,19,57.9,8,13,1,12,12,36,13,0,2.2,2.2,+1.6,+1.6,1.7,1.3,-0.2,-0.2,-0.7,0.11,20,0.10,0.33,6,30.0,20.2,0,0.2,0.11,+0.2,706,54,205,255,228,34,706,437,2709,1385,34,23,10,13,15,441,46,Match Report
9,Fulham,2023-10-23,Tottenham,eng Premier League,L 0-2,0,2,-2,45,0,0,0,0,419,513,81.7,9,29,6,2,27,8011,2609,169,183,92.3,170,194,87.6,66,97,68.0,19,11,9,7,3,7,16,43.8,9,24,6,18,12,31,13,2,1.0,1.0,-0.5,-0.5,1.0,0.8,-1.0,-1.0,-1.0,0.10,10,0.00,0.00,3,30.0,17.6,0,1.3,0.25,-0.7,619,72,241,255,125,12,619,387,1588,690,11,8,3,14,9,417,27,Match Report
10,Fulham,2023-10-29,Brighton,eng Premier League,D 1-1,1,1,0,29,1,0,0,0,276,358,77.1,7,22,6,1,23,5040,1730,120,138,87.0,124,150,82.7,27,57,47.4,27,17,12,12,3,14,20,70.0,6,7,4,3,19,46,16,1,0.7,0.7,-0.7,-0.7,0.7,0.5,+0.3,+0.3,+0.3,0.07,10,0.10,0.20,5,50.0,19.3,0,1.2,0.21,+0.2,468,66,184,194,98,18,468,254,1233,515,7,11,6,12,13,275,23,Match Report
11,Fulham,2023-11-04,Manchester Utd,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,280,404,69.3,12,23,4,1,28,5625,2136,93,117,79.5,143,170,84.1,40,91,44.0,14,9,7,3,4,7,14,50.0,7,11,2,9,9,23,21,0,1.0,1.0,+0.3,+0.3,0.7,0.6,-1.0,-1.0,-0.7,0.06,18,0.00,0.00,2,11.1,18.6,1,1.3,0.26,+0.3,526,75,193,208,140,19,526,237,1679,960,22,12,5,20,6,277,28,Match Report
12,Fulham,2023-11-12,Aston Villa,eng Premier League,L 1-3,1,3,-2,49,1,0,0,0,434,527,82.4,8,24,7,4,28,7158,2254,204,225,90.7,177,202,87.6,34,61,55.7,15,6,6,5,4,5,16,31.3,11,13,1,12,13,28,14,0,0.9,0.9,-2.1,-2.1,0.9,0.7,+0.1,+0.1,+0.1,0.10,9,0.11,0.20,5,55.6,19.5,0,2.1,0.35,+0.1,626,45,212,255,118,11,626,390,2141,981,12,15,1,13,5,430,26,Match Report
13,Fulham,2023-11-27,Wolves,eng Premier League,W 3-2,3,2,+1,60,1,2,2,0,569,687,82.8,8,35,14,2,53,9935,3190,253,281,90.0,251,283,88.7,53,88,60.2,17,7,4,7,6,8,13,61.5,5,8,0,8,16,33,14,1,2.9,1.3,+1.5,+0.8,1.2,1.2,+0.1,-0.3,-0.2,0.13,10,0.10,0.25,4,40.0,22.9,0,1.8,0.14,-0.2,798,67,232,255,187,24,796,461,1836,904,16,14,3,20,7,565,53,Match Report
14,Fulham,2023-12-03,Liverpool,eng Premier League,L 3-4,3,4,-1,39,3,0,0,0,309,428,72.2,7,26,4,0,36,5146,2321,154,187,82.4,110,140,78.6,29,59,49.2,22,9,12,8,2,13,21,61.9,8,18,6,12,33,55,32,0,1.2,1.2,-0.9,-0.9,0.6,0.9,+1.8,+1.8,+1.4,0.13,9,0.33,0.60,5,55.6,13.3,0,2.2,0.18,-0.8,595,88,252,219,133,16,595,303,1654,795,16,15,3,17,3,308,36,Match Report
