Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Luton Town,2023-08-12,Brighton,eng Premier League,L 1-4,1,4,-3,30,0,1,1,0,189,276,68.5,7,17,6,3,27,4180,2101,75,94,79.8,73,89,82.0,40,79,50.6,17,12,9,6,2,9,15,60.0,6,10,5,5,9,26,28,2,1.5,0.7,-2.5,-2.5,0.7,1.1,-0.5,-0.7,-0.7,0.09,8,0.00,0.00,2,25.0,16.6,0,4.9,0.32,+0.9,395,87,185,131,83,19,394,189,1218,542,13,12,5,13,6,187,27,Match Report
2,Luton Town,2023-08-25,Chelsea,eng Premier League,L 0-3,0,3,-3,33,0,0,0,0,256,338,75.7,6,26,2,0,30,4614,1626,114,131,87.0,116,128,90.6,21,63,33.3,18,10,11,5,2,7,14,50.0,7,7,5,2,5,23,19,0,0.4,0.4,-1.8,-1.8,0.2,0.5,-0.4,-0.4,-0.2,0.04,11,0.00,0.00,1,9.1,19.0,1,2.7,0.34,-0.3,427,57,128,189,118,17,427,259,1509,768,8,5,4,8,6,253,30,Match Report
3,Luton Town,2023-09-01,West Ham,eng Premier League,L 1-2,1,2,-1,39,1,0,0,0,295,419,70.4,12,27,10,5,37,5318,2199,146,171,85.4,108,137,78.8,35,90,38.9,14,12,8,3,3,8,16,50.0,8,14,2,12,7,21,25,0,1.4,1.4,+0.4,+0.4,1.1,1.5,-0.4,-0.4,-0.1,0.09,16,0.06,1.00,1,6.3,11.9,0,1.3,0.44,-0.7,547,60,158,206,188,30,547,219,1299,528,12,10,5,17,8,294,37,Match Report
4,Luton Town,2023-09-16,Fulham,eng Premier League,L 0-1,0,1,-1,23,0,0,0,0,176,260,67.7,7,11,7,4,14,3175,1583,91,109,83.5,65,92,70.7,17,51,33.3,20,13,16,4,0,8,12,66.7,4,11,6,5,11,31,17,1,1.1,1.1,+0.1,+0.1,1.1,0.6,-1.1,-1.1,-1.1,0.16,7,0.00,0.00,2,28.6,10.0,0,1.0,0.49,0.0,366,50,166,136,65,16,366,170,985,501,7,5,3,16,10,174,14,Match Report
5,Luton Town,2023-09-23,Wolves,eng Premier League,D 1-1,1,1,0,57,0,1,1,0,364,501,72.7,15,35,12,1,58,6341,2529,179,207,86.5,126,159,79.2,45,96,46.9,20,9,7,9,4,9,17,52.9,8,3,0,3,8,28,5,0,2.1,1.4,+1.5,+0.8,1.2,1.4,-1.1,-1.4,-1.2,0.07,19,0.00,0.00,3,15.8,17.3,0,0.8,0.32,-0.2,609,24,109,255,226,40,608,372,2031,1219,34,21,8,11,10,357,56,Match Report
6,Luton Town,2023-09-30,Everton,eng Premier League,W 2-1,2,1,+1,33,2,0,0,0,172,321,53.6,7,17,3,0,20,3865,2191,62,85,72.9,61,96,63.5,43,95,45.3,24,14,11,13,0,16,26,61.5,10,17,5,12,10,34,30,0,0.9,0.9,-2.0,-2.0,0.5,0.3,+1.1,+1.1,+0.5,0.10,9,0.22,1.00,2,22.2,13.4,0,1.3,0.61,+0.3,474,94,212,155,109,16,474,158,1021,395,8,11,4,17,10,168,18,Match Report
7,Luton Town,2023-10-03,Burnley,eng Premier League,L 1-2,1,2,-1,49,1,0,0,0,292,437,66.8,15,28,11,6,35,5881,2333,106,136,77.9,120,154,77.9,48,102,47.1,14,8,9,5,0,8,16,50.0,8,11,2,9,8,22,17,0,1.3,1.3,+0.2,+0.2,0.9,1.0,-0.3,-0.3,+0.1,0.07,18,0.06,0.50,2,11.1,13.1,0,1.7,0.44,-0.3,563,47,178,210,184,33,563,239,1324,656,17,13,5,20,9,291,35,Match Report
8,Luton Town,2023-10-07,Tottenham,eng Premier League,L 0-1,0,1,-1,34,0,0,0,0,195,306,63.7,10,24,6,4,23,4241,2198,79,105,75.2,73,99,73.7,38,78,48.7,26,15,16,6,4,15,24,62.5,9,19,2,17,12,38,25,1,0.8,0.8,-1.2,-1.2,0.6,1.0,-0.8,-0.8,-0.6,0.06,12,0.00,0.00,2,16.7,16.3,0,1.1,0.26,+0.1,440,66,167,130,149,29,440,168,988,458,13,6,8,17,9,195,23,Match Report
9,Luton Town,2023-10-21,Nott'ham Forest,eng Premier League,D 2-2,2,2,0,43,2,0,0,0,276,412,67.0,6,20,12,5,33,5319,2256,108,138,78.3,115,148,77.7,40,91,44.0,9,6,4,3,2,5,12,41.7,7,15,2,13,7,16,26,2,1.7,1.7,-1.2,-1.2,1.1,0.7,+0.3,+0.3,-0.1,0.13,13,0.15,0.50,4,30.8,17.6,0,2.9,0.36,+0.9,537,57,154,244,147,24,537,235,1683,733,17,11,4,20,9,272,33,Match Report
10,Luton Town,2023-10-29,Aston Villa,eng Premier League,L 1-3,1,3,-2,30,0,0,0,0,207,282,73.4,5,12,2,0,18,3597,1506,114,119,95.8,66,85,77.6,22,55,40.0,17,8,4,10,3,9,16,56.3,7,11,6,5,7,24,9,0,0.5,0.5,-1.8,-1.8,0.3,0.5,-0.5,-0.5,-0.3,0.07,7,0.00,0.00,1,14.3,17.3,0,3.5,0.64,+1.5,358,49,120,166,74,13,358,197,1319,767,15,6,2,7,6,204,17,Match Report
