Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Manchester Utd,2023-08-14,Wolves,eng Premier League,W 1-0,1,0,+1,51,1,0,0,0,402,502,80.1,13,32,15,1,50,6421,2253,205,239,85.8,155,179,86.6,30,59,50.8,18,11,7,9,2,9,31,29.0,22,21,10,11,8,26,21,0,2.2,2.2,0.0,0.0,2.2,1.7,-1.2,-1.2,-1.2,0.15,15,0.07,0.50,2,13.3,14.7,0,0.8,0.13,+0.8,643,84,219,244,187,34,643,380,2064,1267,22,19,10,21,14,393,49,Match Report
2,Manchester Utd,2023-08-19,Tottenham,eng Premier League,L 0-2,0,2,-2,45,0,0,0,0,360,443,81.3,19,30,10,0,48,6203,2289,179,199,89.9,132,147,89.8,38,66,57.6,22,11,9,9,4,13,27,48.1,14,18,3,15,8,30,18,0,2.1,2.1,+0.3,+0.3,1.9,1.4,-2.1,-2.1,-1.9,0.09,22,0.00,0.00,6,27.3,15.6,1,1.8,0.29,+0.8,584,78,181,228,183,33,584,336,1775,991,22,13,11,15,5,357,48,Match Report
3,Manchester Utd,2023-08-26,Nott'ham Forest,eng Premier League,W 3-2,3,2,+1,66,2,1,1,0,567,681,83.3,15,59,12,0,76,8741,2639,307,334,91.9,206,239,86.2,38,75,50.7,15,9,9,5,1,9,19,47.4,10,7,1,6,7,22,25,0,2.8,2.0,+1.6,+0.8,1.9,2.1,+0.2,0.0,+0.1,0.12,17,0.12,0.25,8,47.1,20.3,0,2.0,0.50,0.0,780,50,165,255,255,28,779,568,2602,1565,36,26,8,14,13,559,75,Match Report
4,Manchester Utd,2023-09-03,Arsenal,eng Premier League,L 1-3,1,3,-2,45,1,0,0,0,406,481,84.4,8,20,3,0,22,6852,2209,201,221,91.0,159,175,90.9,35,59,59.3,15,6,8,6,1,10,22,45.5,12,21,8,13,8,23,28,0,0.9,0.9,-1.3,-1.3,0.8,0.6,+0.1,+0.1,+0.2,0.09,10,0.10,0.50,2,20.0,16.5,0,1.6,0.32,-1.4,589,85,255,249,82,17,589,358,1826,1046,17,8,8,12,5,400,21,Match Report
5,Manchester Utd,2023-09-16,Brighton,eng Premier League,L 1-3,1,3,-2,44,1,0,0,0,445,539,82.6,11,43,7,1,45,7627,2446,213,232,91.8,179,200,89.5,39,76,51.3,16,10,6,4,6,10,16,62.5,6,7,0,7,4,20,2,0,1.0,1.0,-0.7,-0.7,0.8,0.7,0.0,0.0,+0.2,0.07,14,0.07,0.25,4,28.6,18.6,1,2.5,0.31,-0.5,612,48,177,255,160,20,612,412,1902,956,19,11,8,8,10,445,45,Match Report
6,Manchester Utd,2023-09-23,Burnley,eng Premier League,W 1-0,1,0,+1,39,1,0,0,0,342,437,78.3,10,25,9,1,25,6045,1795,152,178,85.4,138,161,85.7,42,74,56.8,13,10,7,4,2,9,19,47.4,10,11,3,8,7,20,27,0,1.0,1.0,-0.1,-0.1,0.9,1.3,0.0,0.0,+0.1,0.09,11,0.09,0.25,4,36.4,15.0,0,0.6,0.16,+0.6,533,73,186,239,113,20,533,233,1213,630,12,3,3,12,6,331,25,Match Report
7,Manchester Utd,2023-09-30,Crystal Palace,eng Premier League,L 0-1,0,1,-1,77,0,0,0,0,688,810,84.9,14,61,20,2,86,11227,3373,328,363,90.4,293,338,86.7,43,65,66.2,32,21,12,12,8,10,20,50.0,10,8,2,6,4,36,13,1,1.3,1.3,+0.4,+0.4,1.1,1.4,-1.3,-1.3,-1.1,0.07,19,0.00,0.00,3,15.8,15.5,0,0.4,0.22,-0.6,925,44,200,255,255,43,925,610,3455,1813,36,27,9,11,18,685,86,Match Report
8,Manchester Utd,2023-10-07,Brentford,eng Premier League,W 2-1,2,1,+1,64,2,0,0,0,528,633,83.4,18,55,27,7,66,8916,2951,268,303,88.4,173,200,86.5,60,87,69.0,4,2,2,1,1,1,6,16.7,5,8,1,7,10,14,9,0,1.4,1.4,+0.5,+0.5,1.2,1.2,+0.6,+0.6,-0.2,0.07,21,0.10,0.25,8,38.1,18.3,1,0.3,0.12,-0.7,723,48,123,255,255,40,723,445,2195,1173,18,22,5,11,11,525,65,Match Report
9,Manchester Utd,2023-10-21,Sheffield Utd,eng Premier League,W 2-1,2,1,+1,62,2,0,0,0,471,603,78.1,8,42,5,1,36,8015,2574,225,260,86.5,161,201,80.1,53,90,58.9,16,8,9,5,2,10,17,58.8,7,8,3,5,6,22,18,0,1.1,1.1,-0.3,+0.5,0.5,0.6,+0.9,+0.9,+1.5,0.08,14,0.14,0.40,5,35.7,20.6,1,2.0,0.16,+1.0,712,64,235,255,167,19,712,471,2106,1132,16,4,6,16,11,464,36,Match Report
10,Manchester Utd,2023-10-29,Manchester City,eng Premier League,L 0-3,0,3,-3,40,0,0,0,0,335,429,78.1,7,16,5,1,22,5609,1782,161,190,84.7,129,156,82.7,33,56,58.9,14,8,9,3,2,4,16,25.0,12,8,5,3,6,20,25,0,0.9,0.9,-3.0,-2.3,0.9,0.5,-0.9,-0.9,-0.9,0.14,7,0.00,0.00,3,42.9,15.2,0,3.9,0.30,+0.9,521,84,228,200,99,13,521,292,1606,764,15,12,4,11,8,332,21,Match Report
