Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Cmp,Att,Cmp%,KP,1/3,PPA,CrsPA,PrgP,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,xG,npxG,xGD,npxGD,xAG,xA,G-xG,np:G-xG,A-xAG,npxG/Sh,Sh,G/Sh,G/SoT,SoT,SoT%,Dist,FK,PSxG,PSxG/SoT,PSxG+/-,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Match Report
1,Nott'ham Forest,2023-08-12,Arsenal,eng Premier League,L 1-2,1,2,-1,22,1,0,0,0,154,228,67.5,5,15,5,0,14,3239,1786,57,76,75.0,68,83,81.9,25,53,47.2,17,10,13,3,1,8,12,66.7,4,10,5,5,8,25,18,0,1.2,1.2,+0.4,+0.4,1.2,0.9,-0.2,-0.2,-0.2,0.20,6,0.17,0.50,2,33.3,17.3,0,2.0,0.28,0.0,336,61,160,126,54,12,336,159,959,579,11,8,2,11,11,151,14,Match Report
2,Nott'ham Forest,2023-08-18,Sheffield Utd,eng Premier League,W 2-1,2,1,+1,50,2,0,0,0,371,494,75.1,13,29,8,2,40,6984,2763,156,189,82.5,166,208,79.8,47,79,59.5,20,11,14,3,3,15,21,71.4,6,10,1,9,14,34,25,1,1.4,1.4,+0.9,+0.9,1.0,1.1,+0.6,+0.6,+1.0,0.09,16,0.13,0.50,4,25.0,15.6,0,1.5,0.51,+0.5,624,67,188,255,166,25,624,303,1632,752,16,16,2,16,6,369,39,Match Report
3,Nott'ham Forest,2023-08-26,Manchester Utd,eng Premier League,L 2-3,2,3,-1,34,2,0,0,0,246,353,69.7,7,14,3,1,14,4533,2227,115,145,79.3,93,120,77.5,29,64,45.3,19,13,14,3,2,6,13,46.2,7,10,4,6,14,33,31,0,1.2,1.2,-1.6,-0.8,1.0,0.4,+0.8,+0.8,0.0,0.13,9,0.22,0.50,4,44.4,14.7,0,3.9,0.34,+0.9,475,86,215,168,100,20,475,206,1177,618,9,8,4,13,6,242,11,Match Report
4,Nott'ham Forest,2023-09-02,Chelsea,eng Premier League,W 1-0,1,0,+1,25,1,0,0,0,155,258,60.1,5,5,1,0,15,2877,1711,69,96,71.9,53,81,65.4,22,59,37.3,23,11,15,8,0,9,22,40.9,13,19,13,6,9,32,42,0,0.8,0.8,-1.5,-1.5,0.6,0.3,+0.2,+0.2,+0.4,0.11,7,0.14,0.33,3,42.9,19.0,0,0.2,0.08,+0.2,397,95,214,147,41,9,397,147,836,432,12,9,4,14,9,153,15,Match Report
5,Nott'ham Forest,2023-09-18,Burnley,eng Premier League,D 1-1,1,1,0,46,1,0,0,0,347,455,76.3,11,19,8,1,33,6189,2253,154,181,85.1,153,183,83.6,37,74,50.0,13,9,5,4,4,6,13,46.2,7,10,3,7,6,19,18,0,0.7,0.7,+0.2,+0.2,0.6,0.7,+0.3,+0.3,+0.4,0.05,14,0.07,0.25,4,28.6,18.8,0,0.6,0.18,-0.4,557,71,219,192,153,26,557,296,1532,877,20,14,7,16,3,344,32,Match Report
6,Nott'ham Forest,2023-09-23,Manchester City,eng Premier League,L 0-2,0,2,-2,43,0,0,0,0,369,450,82.0,6,31,10,0,43,6152,2022,195,216,90.3,141,170,82.9,30,49,61.2,18,11,10,6,2,10,18,55.6,8,5,2,3,8,26,14,0,1.0,1.0,-0.3,-0.3,0.8,0.7,-1.0,-1.0,-0.8,0.10,10,0.00,0.00,3,30.0,17.8,1,1.0,0.25,-1.0,537,32,134,237,170,22,537,360,1835,1034,19,24,7,14,6,366,43,Match Report
7,Nott'ham Forest,2023-10-01,Brentford,eng Premier League,D 1-1,1,1,0,41,1,0,0,0,337,443,76.1,6,24,4,2,19,5790,2166,170,190,89.5,127,160,79.4,35,74,47.3,17,11,12,5,0,7,12,58.3,5,21,9,12,6,23,40,1,0.5,0.5,-1.2,-1.2,0.5,0.5,+0.5,+0.5,+0.5,0.08,6,0.17,1.00,1,16.7,15.4,0,0.7,0.24,-0.3,567,91,227,238,108,12,567,274,1317,641,13,10,3,13,6,336,19,Match Report
8,Nott'ham Forest,2023-10-07,Crystal Palace,eng Premier League,D 0-0,0,0,0,48,0,0,0,0,443,522,84.9,10,36,10,1,41,7148,2490,215,243,88.5,172,190,90.5,32,60,53.3,20,10,9,9,2,4,13,30.8,9,7,2,5,9,29,23,0,1.0,1.0,+0.2,+0.2,0.7,0.7,-1.0,-1.0,-0.7,0.07,16,0.00,0.00,5,31.3,18.4,0,0.1,0.07,+0.1,626,60,198,255,170,27,626,358,1873,1017,15,19,5,8,10,438,40,Match Report
9,Nott'ham Forest,2023-10-21,Luton Town,eng Premier League,D 2-2,2,2,0,57,2,0,0,0,414,543,76.2,11,28,8,6,33,7095,2801,175,211,82.9,180,221,81.4,40,70,57.1,14,9,7,6,1,5,11,45.5,6,16,4,12,9,23,26,1,2.9,2.9,+1.2,+1.2,1.6,1.1,-0.9,-0.9,+0.4,0.16,19,0.11,0.25,8,42.1,11.1,0,1.2,0.31,-0.8,667,59,248,255,117,31,667,316,1794,1008,17,7,3,17,4,409,31,Match Report
10,Nott'ham Forest,2023-10-29,Liverpool,eng Premier League,L 0-3,0,3,-3,28,0,0,0,0,206,297,69.4,5,14,4,1,22,3708,1813,107,124,86.3,72,94,76.6,26,64,40.6,19,10,15,3,1,6,14,42.9,8,10,4,6,11,30,32,1,0.4,0.4,-2.7,-2.7,0.3,0.3,-0.4,-0.4,-0.3,0.05,9,0.00,0.00,1,11.1,15.6,0,2.2,0.31,-0.8,424,86,201,159,67,20,424,151,983,464,9,0,3,13,7,205,22,Match Report
