Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
1,Crystal Palace,2020-07-26,Tottenham,eng Premier League,D 1-1,1,1,0,48,1,0,0,0,594,32,156,255,156,25,594,Match Report
2,Norwich City,2020-07-26,Manchester City,eng Premier League,L 0-5,0,5,-5,27,0,0,0,0,390,118,221,130,40,8,390,Match Report
3,Newcastle Utd,2020-07-26,Liverpool,eng Premier League,L 1-3,1,3,-2,26,1,0,0,0,401,62,200,161,43,2,401,Match Report
4,Liverpool,2020-07-26,Newcastle Utd,eng Premier League,W 3-1,3,1,+2,74,3,0,0,0,949,35,124,255,240,25,949,Match Report
5,Watford,2020-07-26,Arsenal,eng Premier League,L 2-3,2,3,-1,50,1,1,1,0,560,44,134,233,204,42,559,Match Report
6,Chelsea,2020-07-26,Wolves,eng Premier League,W 2-0,2,0,+2,62,2,0,0,0,793,65,247,255,151,19,793,Match Report
7,Tottenham,2020-07-26,Crystal Palace,eng Premier League,D 1-1,1,1,0,52,1,0,0,0,658,64,197,255,119,8,658,Match Report
8,Sheffield Utd,2020-07-26,Southampton,eng Premier League,L 1-3,1,3,-2,28,1,0,0,0,395,74,190,143,65,13,395,Match Report
9,West Ham,2020-07-26,Aston Villa,eng Premier League,D 1-1,1,1,0,62,1,0,0,0,623,59,206,255,142,11,623,Match Report
10,Wolves,2020-07-26,Chelsea,eng Premier League,L 0-2,0,2,-2,38,0,0,0,0,523,41,191,232,104,8,523,Match Report
11,Leicester City,2020-07-26,Manchester Utd,eng Premier League,L 0-2,0,2,-2,46,0,0,0,0,586,51,182,255,117,14,586,Match Report
12,Arsenal,2020-07-26,Watford,eng Premier League,W 3-2,3,2,+1,50,2,1,1,0,593,97,255,236,99,23,592,Match Report
13,Everton,2020-07-26,Bournemouth,eng Premier League,L 1-3,1,3,-2,69,1,0,0,0,878,96,255,255,191,30,878,Match Report
14,Southampton,2020-07-26,Sheffield Utd,eng Premier League,W 3-1,3,1,+2,72,2,1,1,0,825,41,203,255,199,30,824,Match Report
15,Manchester Utd,2020-07-26,Leicester City,eng Premier League,W 2-0,2,0,+2,54,1,1,1,0,639,53,188,255,140,18,638,Match Report
16,Burnley,2020-07-26,Brighton,eng Premier League,L 1-2,1,2,-1,55,1,0,0,0,539,39,134,255,149,26,539,Match Report
17,Aston Villa,2020-07-26,West Ham,eng Premier League,D 1-1,1,1,0,38,1,0,0,0,415,42,115,212,97,14,415,Match Report
18,Manchester City,2020-07-26,Norwich City,eng Premier League,W 5-0,5,0,+5,73,5,0,0,0,860,35,109,255,255,79,860,Match Report
19,Brighton,2020-07-26,Burnley,eng Premier League,W 2-1,2,1,+1,45,2,0,0,0,482,75,183,187,115,15,482,Match Report
20,Bournemouth,2020-07-26,Everton,eng Premier League,W 3-1,3,1,+2,31,2,1,1,0,468,51,150,168,152,26,467,Match Report
21,Chelsea,2020-07-22,Liverpool,eng Premier League,L 3-5,3,5,-2,50,3,0,0,0,721,74,255,255,126,14,721,Match Report
22,Liverpool,2020-07-22,Chelsea,eng Premier League,W 5-3,5,3,+2,50,5,0,0,0,716,64,229,255,136,19,716,Match Report
23,West Ham,2020-07-22,Manchester Utd,eng Premier League,D 1-1,1,1,0,43,0,1,1,0,579,64,217,235,132,14,578,Match Report
24,Manchester Utd,2020-07-22,West Ham,eng Premier League,D 1-1,1,1,0,57,1,0,0,0,749,58,177,255,255,28,749,Match Report
25,Watford,2020-07-21,Manchester City,eng Premier League,L 0-4,0,4,-4,24,0,0,0,0,374,81,205,128,47,5,374,Match Report
26,Arsenal,2020-07-21,Aston Villa,eng Premier League,L 0-1,0,1,-1,69,0,0,0,0,742,56,209,255,177,19,742,Match Report
27,Aston Villa,2020-07-21,Arsenal,eng Premier League,W 1-0,1,0,+1,31,1,0,0,0,406,72,157,152,103,17,406,Match Report
