Rk,Team,Date,Opp,Comp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
1,Stoke City,2018-05-13,Swansea City,eng Premier League,W 2-1,2,1,+1,43,2,0,1,1,569,110,255,241,52,6,568,Match Report
2,Manchester City,2018-05-13,Southampton,eng Premier League,W 1-0,1,0,+1,69,1,0,0,0,745,53,188,255,239,25,745,Match Report
3,Swansea City,2018-05-13,Stoke City,eng Premier League,L 1-2,1,2,-1,58,1,0,0,0,697,26,112,255,255,44,697,Match Report
4,Huddersfield,2018-05-13,Arsenal,eng Premier League,L 0-1,0,1,-1,45,0,0,0,0,578,47,153,254,175,28,578,Match Report
5,Everton,2018-05-13,West Ham,eng Premier League,L 1-3,1,3,-2,43,1,0,0,0,498,47,152,234,114,20,498,Match Report
6,Brighton,2018-05-13,Liverpool,eng Premier League,L 0-4,0,4,-4,28,0,0,0,0,409,99,230,130,52,6,409,Match Report
7,Arsenal,2018-05-13,Huddersfield,eng Premier League,W 1-0,1,0,+1,55,1,0,0,0,669,88,235,255,132,17,669,Match Report
8,Chelsea,2018-05-13,Newcastle Utd,eng Premier League,L 0-3,0,3,-3,58,0,0,0,0,719,69,195,255,172,14,719,Match Report
9,Newcastle Utd,2018-05-13,Chelsea,eng Premier League,W 3-0,3,0,+3,42,3,0,0,0,550,31,155,253,150,14,550,Match Report
10,Leicester City,2018-05-13,Tottenham,eng Premier League,L 4-5,4,5,-1,36,4,0,0,0,414,55,139,184,101,32,414,Match Report
11,Burnley,2018-05-13,Bournemouth,eng Premier League,L 1-2,1,2,-1,51,1,0,0,0,558,47,131,255,143,22,558,Match Report
12,Manchester Utd,2018-05-13,Watford,eng Premier League,W 1-0,1,0,+1,52,1,0,0,0,611,61,187,255,142,12,611,Match Report
13,Liverpool,2018-05-13,Brighton,eng Premier League,W 4-0,4,0,+4,72,4,0,0,0,863,34,156,255,236,43,863,Match Report
14,West Ham,2018-05-13,Everton,eng Premier League,W 3-1,3,1,+2,57,3,0,0,0,617,53,131,255,183,25,617,Match Report
15,West Brom,2018-05-13,Crystal Palace,eng Premier League,L 0-2,0,2,-2,41,0,0,0,0,533,46,165,255,109,6,533,Match Report
16,Watford,2018-05-13,Manchester Utd,eng Premier League,L 0-1,0,1,-1,48,0,0,0,0,588,43,162,255,145,28,588,Match Report
17,Bournemouth,2018-05-13,Burnley,eng Premier League,W 2-1,2,1,+1,49,2,0,0,0,558,61,206,238,116,17,558,Match Report
18,Crystal Palace,2018-05-13,West Brom,eng Premier League,W 2-0,2,0,+2,59,2,0,0,0,729,41,176,255,212,27,729,Match Report
19,Tottenham,2018-05-13,Leicester City,eng Premier League,W 5-4,5,4,+1,64,4,0,0,0,617,67,222,255,145,21,617,Match Report
20,Southampton,2018-05-13,Manchester City,eng Premier League,L 0-1,0,1,-1,31,0,0,0,0,407,71,149,167,97,10,407,Match Report
21,Manchester Utd,2018-05-10,West Ham,eng Premier League,D 0-0,0,0,0,56,0,0,0,0,729,48,178,255,197,18,729,Match Report
22,West Ham,2018-05-10,Manchester Utd,eng Premier League,D 0-0,0,0,0,44,0,0,0,0,604,47,164,255,121,16,604,Match Report
23,Manchester City,2018-05-09,Brighton,eng Premier League,W 3-1,3,1,+2,73,3,0,0,0,974,31,113,255,255,37,974,Match Report
24,Huddersfield,2018-05-09,Chelsea,eng Premier League,D 1-1,1,1,0,22,1,0,0,0,429,105,249,150,34,3,429,Match Report
25,Brighton,2018-05-09,Manchester City,eng Premier League,L 1-3,1,3,-2,27,1,0,0,0,426,77,219,177,39,6,426,Match Report
26,Arsenal,2018-05-09,Leicester City,eng Premier League,L 1-3,1,3,-2,59,1,0,0,0,623,72,215,255,152,33,623,Match Report
27,Chelsea,2018-05-09,Huddersfield,eng Premier League,D 1-1,1,1,0,78,1,0,0,0,1002,27,142,255,255,61,1002,Match Report
28,Newcastle Utd,2018-05-09,Tottenham,eng Premier League,L 0-1,0,1,-1,37,0,0,0,0,463,54,180,186,106,20,463,Match Report
29,Leicester City,2018-05-09,Arsenal,eng Premier League,W 3-1,3,1,+2,41,2,1,1,0,481,52,143,188,158,22,480,Match Report
30,Tottenham,2018-05-09,Newcastle Utd,eng Premier League,W 1-0,1,0,+1,63,1,0,0,0,712,56,162,255,191,24,712,Match Report
31,Swansea City,2018-05-08,Southampton,eng Premier League,L 0-1,0,1,-1,54,0,0,0,0,576,53,187,238,154,15,576,Match Report
32,Southampton,2018-05-08,Swansea City,eng Premier League,W 1-0,1,0,+1,46,1,0,0,0,539,61,173,247,122,21,539,Match Report
33,Manchester City,2018-05-06,Huddersfield,eng Premier League,D 0-0,0,0,0,78,0,0,0,0,885,42,170,255,255,30,885,Match Report
34,Huddersfield,2018-05-06,Manchester City,eng Premier League,D 0-0,0,0,0,22,0,0,0,0,356,97,183,105,73,7,356,Match Report
35,Chelsea,2018-05-06,Liverpool,eng Premier League,W 1-0,1,0,+1,32,1,0,0,0,505,70,226,172,119,20,505,Match Report
36,Arsenal,2018-05-06,Burnley,eng Premier League,W 5-0,5,0,+5,63,5,0,0,0,792,62,205,255,228,40,792,Match Report
