Rk,Team,Date,Opp,Result,GF,GA,GD,Poss,G-PK,PK,PKatt,PKm,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Match Report
1,Aston Villa,2022-05-22,Manchester City,L 2-3,2,3,-1,29,2,0,0,0,388,115,227,107,55,11,388,Match Report
2,Everton,2022-05-22,Arsenal,L 1-5,1,5,-4,27,1,0,0,0,358,80,177,113,75,16,358,Match Report
3,Arsenal,2022-05-22,Everton,W 5-1,5,1,+4,73,4,1,1,0,789,48,167,255,255,42,788,Match Report
4,West Ham,2022-05-22,Brighton,L 1-3,1,3,-2,50,1,0,0,0,624,77,212,255,162,14,624,Match Report
5,Watford,2022-05-22,Chelsea,L 1-2,1,2,-1,29,1,0,0,0,421,67,183,167,76,12,421,Match Report
6,Crystal Palace,2022-05-22,Manchester Utd,W 1-0,1,0,+1,39,1,0,0,0,479,75,195,172,117,14,479,Match Report
7,Leeds United,2022-05-22,Brentford,W 2-1,2,1,+1,51,1,1,1,0,565,47,143,255,135,20,564,Match Report
8,Burnley,2022-05-22,Newcastle Utd,L 1-2,1,2,-1,52,1,0,0,0,517,45,127,222,175,21,517,Match Report
9,Southampton,2022-05-22,Leicester City,L 1-4,1,4,-3,49,0,1,1,0,566,46,160,251,158,14,565,Match Report
10,Tottenham,2022-05-22,Norwich City,W 5-0,5,0,+5,59,5,0,0,0,735,50,215,255,134,28,735,Match Report
11,Newcastle Utd,2022-05-22,Burnley,W 2-1,2,1,+1,48,1,1,1,0,492,61,215,192,94,16,491,Match Report
12,Liverpool,2022-05-22,Wolves,W 3-1,3,1,+2,63,3,0,0,0,835,42,157,255,255,59,835,Match Report
13,Manchester City,2022-05-22,Aston Villa,W 3-2,3,2,+1,71,3,0,0,0,762,29,113,255,255,52,762,Match Report
14,Wolves,2022-05-22,Liverpool,L 1-3,1,3,-2,37,1,0,0,0,570,104,255,217,84,15,570,Match Report
15,Chelsea,2022-05-22,Watford,W 2-1,2,1,+1,71,2,0,0,0,898,43,190,255,245,33,898,Match Report
16,Brighton,2022-05-22,West Ham,W 3-1,3,1,+2,50,3,0,0,0,626,76,198,235,199,33,626,Match Report
17,Leicester City,2022-05-22,Southampton,W 4-1,4,1,+3,51,4,0,0,0,588,55,223,250,121,22,588,Match Report
18,Brentford,2022-05-22,Leeds United,L 1-2,1,2,-1,49,1,0,0,0,562,64,198,255,79,17,562,Match Report
19,Manchester Utd,2022-05-22,Crystal Palace,L 0-1,0,1,-1,61,0,0,0,0,679,53,190,255,175,15,679,Match Report
20,Norwich City,2022-05-22,Tottenham,L 0-5,0,5,-5,41,0,0,0,0,513,60,184,233,98,16,513,Match Report
21,Crystal Palace,2022-05-19,Everton,L 2-3,2,3,-1,57,2,0,0,0,636,84,243,255,117,11,636,Match Report
22,Leicester City,2022-05-19,Chelsea,D 1-1,1,1,0,33,1,0,0,0,507,96,255,186,52,0,507,Match Report
23,Chelsea,2022-05-19,Leicester City,D 1-1,1,1,0,67,1,0,0,0,902,32,130,255,255,24,902,Match Report
24,Aston Villa,2022-05-19,Burnley,D 1-1,1,1,0,71,1,0,0,0,754,46,183,255,215,29,754,Match Report
25,Burnley,2022-05-19,Aston Villa,D 1-1,1,1,0,29,0,1,1,0,361,76,147,129,89,16,360,Match Report
26,Everton,2022-05-19,Crystal Palace,W 3-2,3,2,+1,43,3,0,0,0,525,42,140,215,176,24,525,Match Report
27,Southampton,2022-05-17,Liverpool,L 1-2,1,2,-1,30,1,0,0,0,477,109,246,161,72,7,477,Match Report
28,Liverpool,2022-05-17,Southampton,W 2-1,2,1,+1,70,2,0,0,0,906,50,188,255,255,36,906,Match Report
29,Newcastle Utd,2022-05-16,Arsenal,W 2-0,2,0,+2,51,1,0,0,0,485,37,128,194,164,30,485,Match Report
30,Arsenal,2022-05-16,Newcastle Utd,L 0-2,0,2,-2,49,0,0,0,0,464,67,167,195,104,16,464,Match Report
31,West Ham,2022-05-15,Manchester City,D 2-2,2,2,0,22,2,0,0,0,347,114,197,97,60,13,347,Match Report
32,Brentford,2022-05-15,Everton,W 3-2,3,2,+1,72,2,0,0,0,722,62,241,255,226,30,722,Match Report
33,Leeds United,2022-05-15,Brighton,D 1-1,1,1,0,50,1,0,0,0,549,55,202,199,153,29,549,Match Report
34,Everton,2022-05-15,Brentford,L 2-3,2,3,-1,28,1,1,1,0,356,59,125,115,124,20,355,Match Report
35,Watford,2022-05-15,Leicester City,L 1-5,1,5,-4,41,1,0,0,0,492,47,144,207,145,25,492,Match Report
36,Wolves,2022-05-15,Norwich City,D 1-1,1,1,0,64,1,0,0,0,758,47,155,255,255,31,758,Match Report
37,Tottenham,2022-05-15,Burnley,W 1-0,1,0,+1,68,0,1,1,0,791,46,177,255,231,33,790,Match Report
38,Norwich City,2022-05-15,Wolves,D 1-1,1,1,0,36,1,0,0,0,470,95,248,176,57,13,470,Match Report
39,Crystal Palace,2022-05-15,Aston Villa,D 1-1,1,1,0,51,1,0,0,0,642,59,235,255,151,23,642,Match Report
40,Leicester City,2022-05-15,Watford,W 5-1,5,1,+4,59,5,0,0,0,687,69,240,255,136,15,687,Match Report
41,Manchester City,2022-05-15,West Ham,D 2-2,2,2,0,78,1,0,1,1,846,29,114,255,255,55,845,Match Report
42,Brighton,2022-05-15,Leeds United,D 1-1,1,1,0,50,1,0,0,0,574,82,196,236,147,26,574,Match Report
43,Aston Villa,2022-05-15,Crystal Palace,D 1-1,1,1,0,49,1,0,0,0,618,65,200,255,124,15,618,Match Report
